league_name,teams,scoring_preset,reception_points,pass_td_points,te_premium,qb_starters,rb_starters,wr_starters,te_starters,flex_starters,superflex_starters
My League,8,PPR,1,4,0.5,1,2,2,1,2,1
Spider Ben,8,PPR,1,4,0.5,1,2,2,1,2,1
