season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_target_pos_OTHER,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2018,00-0019596,NE,592,592,110,222,148,198,94,7.871929824561404,0.1858108108108108,0.375,0.25,0.3344594594594595,0.15878378378378377,0.3616636528028933,0.14647377938517178,0.4918625678119349,0,0.06521739130434782,0.6467391304347826,0.09963768115942029,0.18840579710144928,0,0
2018,00-0020531,NO,508,508,90,189,86,214,97,7.161554192229039,0.17716535433070865,0.3720472440944882,0.16929133858267717,0.421259842519685,0.19094488188976377,0.2892561983471074,0.18181818181818182,0.5268595041322314,0.002066115702479339,0.06444906444906445,0.6715176715176715,0.08731808731808732,0.17671517671517672,0,0
2018,00-0021206,NYJ,117,117,20,39,26,44,13,7.318181818181818,0.17094017094017094,0.3333333333333333,0.2222222222222222,0.37606837606837606,0.1111111111111111,0.26666666666666666,0.24761904761904763,0.4857142857142857,0,0.047619047619047616,0.7238095238095238,0.09523809523809523,0.13333333333333333,0,0
2018,00-0022787,ATL,7,7,0,1,3,3,0,4.571428571428571,0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0,0.8333333333333334,0,0.16666666666666666,0,0
2018,00-0022803,NYG,628,628,115,209,118,248,95,7.342013888888889,0.18312101910828024,0.3328025477707006,0.18789808917197454,0.39490445859872614,0.15127388535031847,0.263986013986014,0.19755244755244755,0.5367132867132867,0.0017482517482517483,0.06537102473498234,0.6731448763250883,0.0706713780918728,0.19081272084805653,0,0
2018,00-0022921,ARI,1,1,1,0,0,1,0,28,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2018,00-0022924,PIT,704,704,133,224,216,232,100,7.783703703703703,0.18892045454545456,0.3181818181818182,0.3068181818181818,0.32954545454545453,0.14204545454545456,0.1631736526946108,0.1781437125748503,0.657185628742515,0.0014970059880239522,0.07401812688821752,0.6042296072507553,0.13897280966767372,0.18277945619335348,0,0
2018,00-0022942,LAC,547,547,104,177,139,192,82,7.771653543307087,0.19012797074954296,0.3235831809872029,0.25411334552102377,0.3510054844606947,0.14990859232175502,0.27647058823529413,0.14705882352941177,0.5764705882352941,0,0.06560636182902585,0.6322067594433399,0.06958250497017893,0.23260437375745527,0,0
2018,00-0023436,WAS,351,351,64,125,95,105,37,8.103975535168196,0.18233618233618235,0.3561253561253561,0.2706552706552707,0.29914529914529914,0.10541310541310542,0.2310126582278481,0.29430379746835444,0.47468354430379744,0,0.09206349206349207,0.6412698412698413,0.08571428571428572,0.18095238095238095,0,0
2018,00-0023459,GB,649,649,140,251,108,236,79,8.77889447236181,0.21571648690292758,0.386748844375963,0.16640986132511557,0.36363636363636365,0.12172573189522343,0.13321799307958476,0.20242214532871972,0.6643598615916955,0,0.0817391304347826,0.6052173913043478,0.10956521739130434,0.20347826086956522,0,0
2018,00-0023645,BUF,75,75,18,28,14,28,4,8.82857142857143,0.24,0.37333333333333335,0.18666666666666668,0.37333333333333335,0.05333333333333334,0.3188405797101449,0.21739130434782608,0.463768115942029,0,0.043478260869565216,0.6376811594202898,0.07246376811594203,0.2463768115942029,0,0
2018,00-0023662,DET,18,18,2,4,5,8,0,7.294117647058823,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.4444444444444444,0,0.1875,0.1875,0.625,0,0.125,0.75,0,0.125,0,0
2018,00-0023682,TB,261,261,71,100,58,88,43,10.34959349593496,0.2720306513409962,0.3831417624521073,0.2222222222222222,0.3371647509578544,0.16475095785440613,0.17073170731707318,0.18699186991869918,0.6422764227642277,0,0.05714285714285714,0.6285714285714286,0.061224489795918366,0.2530612244897959,0,0
2018,00-0023853,DET,1,1,0,1,0,0,1,8,0,1,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0
2018,00-0024417,BAL,1,1,1,0,1,0,0,19,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,0,0
2018,00-0026035,MIA,1,1,1,0,0,1,0,25,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2018,00-0026143,ATL,656,656,127,248,144,215,92,8.554276315789474,0.19359756097560976,0.3780487804878049,0.21951219512195122,0.3277439024390244,0.1402439024390244,0.14666666666666667,0.175,0.6783333333333333,0,0.0907563025210084,0.6571428571428571,0.08907563025210084,0.16302521008403362,0,0
2018,00-0026158,BAL,397,397,79,93,139,144,49,8.54089709762533,0.19899244332493704,0.23425692695214106,0.3501259445843829,0.36272040302267,0.12342569269521411,0.18059299191374664,0.21293800539083557,0.601078167115903,0.005390835579514825,0.08152173913043478,0.6195652173913043,0.07336956521739131,0.22554347826086957,0,0
2018,00-0026197,KC,3,3,0,0,2,1,0,6,0,0,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,0,0,0,0
2018,00-0026300,WAS,102,102,22,32,23,35,12,9.322222222222223,0.21568627450980393,0.3137254901960784,0.22549019607843138,0.3431372549019608,0.11764705882352941,0.25842696629213485,0.15730337078651685,0.5842696629213483,0,0.034482758620689655,0.6896551724137931,0.06896551724137931,0.20689655172413793,0,0
2018,00-0026498,DET,598,598,88,197,131,226,80,6.911711711711711,0.14715719063545152,0.3294314381270903,0.21906354515050167,0.3779264214046823,0.13377926421404682,0.25045703839122485,0.11517367458866545,0.6252285191956124,0.009140767824497258,0.04604051565377532,0.6832412523020258,0.09760589318600368,0.17311233885819521,0,0
2018,00-0026544,CHI,86,86,15,17,11,48,12,8.526315789473685,0.1744186046511628,0.19767441860465115,0.12790697674418605,0.5581395348837209,0.13953488372093023,0.38961038961038963,0.14285714285714285,0.4675324675324675,0,0.039473684210526314,0.5789473684210527,0.11842105263157894,0.2631578947368421,0,0
2018,00-0026625,NE,2,2,0,1,1,0,0,2,0,0.5,0.5,0,0,0,0,1,0,0.5,0,0.5,0,0,0
