season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_out_break,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_vertical,rec_route_other
2024,00-0024243,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
2024,00-0029892,31,6.225806451612903,5,13,15,7,9,2,0.16129032258064516,0.41935483870967744,0.4838709677419355,0.22580645161290322,0.2903225806451613,0.06451612903225806,0.25806451612903225,0.3225806451612903,0.12903225806451613,0.16129032258064516,0.12903225806451613,0
2024,00-0030035,62,11.161290322580646,18,15,23,20,19,8,0.2903225806451613,0.24193548387096775,0.3709677419354839,0.3225806451612903,0.3064516129032258,0.12903225806451613,0.1774193548387097,0.14516129032258066,0.20967741935483872,0.08064516129032258,0.3870967741935484,0
2024,00-0030061,93,7.538461538461538,11,33,20,47,24,23,0.11827956989247312,0.3548387096774194,0.21505376344086022,0.5053763440860215,0.25806451612903225,0.24731182795698925,0.21348314606741572,0.25842696629213485,0.3595505617977528,0.033707865168539325,0.1348314606741573,0
2024,00-0030279,123,9.214876033057852,28,35,50,24,47,17,0.22764227642276422,0.2845528455284553,0.4065040650406504,0.1951219512195122,0.3821138211382114,0.13821138211382114,0.3445378151260504,0.20168067226890757,0.18487394957983194,0.06722689075630252,0.20168067226890757,0
2024,00-0030431,30,9.466666666666667,6,8,7,6,17,3,0.2,0.26666666666666666,0.23333333333333334,0.2,0.5666666666666667,0.1,0.23333333333333334,0.23333333333333334,0.3,0.13333333333333333,0.1,0
2024,00-0030506,134,6.639097744360902,18,64,32,53,48,27,0.13432835820895522,0.47761194029850745,0.23880597014925373,0.39552238805970147,0.3582089552238806,0.20149253731343283,0.22137404580152673,0.29770992366412213,0.2900763358778626,0.0916030534351145,0.09923664122137404,0
2024,00-0030564,80,11.2,24,18,37,13,30,11,0.3,0.225,0.4625,0.1625,0.375,0.1375,0.1375,0.2875,0.2875,0,0.2875,0
2024,00-0030578,15,3,1,9,4,7,3,3,0.06666666666666667,0.6,0.26666666666666666,0.4666666666666667,0.2,0.2,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0
2024,00-0031235,18,7.555555555555555,2,3,3,8,7,4,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.3888888888888889,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5,0.05555555555555555,0.2222222222222222,0
2024,00-0031236,54,11.74074074074074,16,13,20,9,25,8,0.2962962962962963,0.24074074074074073,0.37037037037037035,0.16666666666666666,0.46296296296296297,0.14814814814814814,0.3018867924528302,0.22641509433962265,0.1320754716981132,0.03773584905660377,0.3018867924528302,0
2024,00-0031299,1,16,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2024,00-0031357,1,7,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0
2024,00-0031381,142,8.312056737588652,29,60,50,24,67,27,0.20422535211267606,0.4225352112676056,0.352112676056338,0.16901408450704225,0.47183098591549294,0.19014084507042253,0.21739130434782608,0.2028985507246377,0.2826086956521739,0.07246376811594203,0.2246376811594203,0
2024,00-0031408,110,11.581818181818182,37,20,38,31,41,15,0.33636363636363636,0.18181818181818182,0.34545454545454546,0.2818181818181818,0.37272727272727274,0.13636363636363635,0.18181818181818182,0.14545454545454545,0.35454545454545455,0,0.3181818181818182,0
2024,00-0031428,7,7.285714285714286,1,2,2,1,4,0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5714285714285714,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0,0.14285714285714285,0
2024,00-0031484,4,3.75,0,3,0,1,3,1,0,0.75,0,0.25,0.75,0.25,0.5,0,0.25,0,0.25,0
2024,00-0031544,85,13.658823529411764,32,16,49,8,28,5,0.3764705882352941,0.18823529411764706,0.5764705882352941,0.09411764705882353,0.32941176470588235,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.3411764705882353,0.011764705882352941,0.29411764705882354,0
2024,00-0031549,29,13.344827586206897,10,4,10,12,7,2,0.3448275862068966,0.13793103448275862,0.3448275862068966,0.41379310344827586,0.2413793103448276,0.06896551724137931,0.03571428571428571,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.35714285714285715,0
2024,00-0031585,10,3.3,0,6,4,3,3,1,0,0.6,0.4,0.3,0.3,0.1,0.3,0,0.5,0.2,0,0
2024,00-0031588,64,8.6875,15,23,22,19,23,5,0.234375,0.359375,0.34375,0.296875,0.359375,0.078125,0.3125,0.15625,0.328125,0.078125,0.125,0
2024,00-0031595,10,2.4,1,8,3,1,6,2,0.1,0.8,0.3,0.1,0.6,0.2,0.7,0.2,0,0,0.1,0
2024,00-0031687,24,0.6086956521739131,0,18,7,7,9,3,0,0.75,0.2916666666666667,0.2916666666666667,0.375,0.125,0.125,0.125,0.25,0.375,0.125,0
2024,00-0031690,4,2,0,3,0,1,3,1,0,0.75,0,0.25,0.75,0.25,0.25,0,0.5,0.25,0,0
2024,00-0031763,14,11.071428571428571,4,5,8,2,4,3,0.2857142857142857,0.35714285714285715,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0
2024,00-0031941,13,8.307692307692308,1,1,3,6,4,3,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.3076923076923077,0
2024,00-0032104,47,0.6595744680851063,1,41,18,8,21,6,0.02127659574468085,0.8723404255319149,0.3829787234042553,0.1702127659574468,0.44680851063829785,0.1276595744680851,0.34782608695652173,0.2391304347826087,0.043478260869565216,0.32608695652173914,0.043478260869565216,0
2024,00-0032128,12,17.25,6,1,6,5,1,1,0.5,0.08333333333333333,0.5,0.4166666666666667,0.08333333333333333,0.08333333333333333,0,0.3333333333333333,0.25,0,0.4166666666666667,0
2024,00-0032141,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
2024,00-0032211,74,10.58108108108108,22,16,30,12,32,10,0.2972972972972973,0.21621621621621623,0.40540540540540543,0.16216216216216217,0.43243243243243246,0.13513513513513514,0.2361111111111111,0.25,0.20833333333333334,0.08333333333333333,0.2222222222222222,0
2024,00-0032381,1,2,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
2024,00-0032385,52,9.27450980392157,13,21,20,15,16,7,0.25,0.40384615384615385,0.38461538461538464,0.28846153846153844,0.3076923076923077,0.1346153846153846,0.2549019607843137,0.058823529411764705,0.3333333333333333,0.13725490196078433,0.21568627450980393,0
2024,00-0032392,59,6.5423728813559325,8,28,20,15,24,9,0.13559322033898305,0.4745762711864407,0.3389830508474576,0.2542372881355932,0.4067796610169492,0.15254237288135594,0.3508771929824561,0.2631578947368421,0.17543859649122806,0.05263157894736842,0.15789473684210525,0
2024,00-0032394,20,1.1,0,17,8,3,9,5,0,0.85,0.4,0.15,0.45,0.25,0.4,0.15,0.2,0.15,0.1,0
2024,00-0032464,22,8,7,8,7,4,11,2,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.18181818181818182,0.5,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.22727272727272727,0.2727272727272727,0.18181818181818182,0
2024,00-0032688,4,11.75,1,1,2,1,1,2,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0.5,0,0.5,0
2024,00-0032764,22,-1.1363636363636365,0,21,10,2,10,5,0,0.9545454545454546,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.22727272727272727,0.5454545454545454,0.045454545454545456,0.09090909090909091,0.3181818181818182,0,0
2024,00-0032775,66,15.359375,27,12,32,11,21,14,0.4090909090909091,0.18181818181818182,0.48484848484848486,0.16666666666666666,0.3181818181818182,0.21212121212121213,0.22727272727272727,0.12121212121212122,0.21212121212121213,0,0.4393939393939394,0
2024,00-0032918,6,0.16666666666666666,0,6,3,0,3,0,0,1,0.5,0,0.5,0,0.8333333333333334,0,0,0.16666666666666666,0,0
2024,00-0033009,58,7.368421052631579,5,20,26,18,13,8,0.08620689655172414,0.3448275862068966,0.4482758620689655,0.3103448275862069,0.22413793103448276,0.13793103448275862,0.2982456140350877,0.12280701754385964,0.2982456140350877,0.15789473684210525,0.12280701754385964,0
2024,00-0033040,124,11.357723577235772,50,36,47,22,54,20,0.4032258064516129,0.2903225806451613,0.3790322580645161,0.1774193548387097,0.43548387096774194,0.16129032258064516,0.22131147540983606,0.18032786885245902,0.20491803278688525,0.10655737704918032,0.28688524590163933,0
2024,00-0033045,15,-1.8,0,15,5,3,7,2,0,1,0.3333333333333333,0.2,0.4666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.5333333333333333,0,0
2024,00-0033090,97,7.030927835051546,8,38,18,33,46,18,0.08247422680412371,0.3917525773195876,0.18556701030927836,0.3402061855670103,0.4742268041237113,0.18556701030927836,0.3829787234042553,0.22340425531914893,0.19148936170212766,0.05319148936170213,0.14893617021276595,0
2024,00-0033106,1,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2024,00-0033110,12,2.1666666666666665,0,9,3,1,8,6,0,0.75,0.25,0.08333333333333333,0.6666666666666666,0.5,0.5,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0
2024,00-0033217,23,9.590909090909092,6,7,9,6,7,7,0.2608695652173913,0.30434782608695654,0.391304347826087,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.45454545454545453,0
2024,00-0033246,27,4.2592592592592595,2,18,15,3,9,5,0.07407407407407407,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.18518518518518517,0.5185185185185185,0.2222222222222222,0.18518518518518517,0.037037037037037035,0.037037037037037035,0
2024,00-0033280,19,3.1578947368421053,1,13,7,6,6,4,0.05263157894736842,0.6842105263157895,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.05555555555555555,0
2024,00-0033282,46,4.608695652173913,7,30,22,3,21,6,0.15217391304347827,0.6521739130434783,0.4782608695652174,0.06521739130434782,0.45652173913043476,0.13043478260869565,0.2391304347826087,0.13043478260869565,0.2608695652173913,0.2826086956521739,0.08695652173913043,0
