season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_OTHER,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2019,00-0019596,NE,642,642,107,239,140,234,106,7.525285481239805,0.16666666666666666,0.37227414330218067,0.21806853582554517,0.3644859813084112,0.16510903426791276,0.001718213058419244,0.2800687285223368,0.1323024054982818,0.5859106529209622,0.05199306759098787,0.6741767764298093,0.09705372616984402,0.17677642980935876,0,0
2019,00-0020531,NO,391,391,60,152,71,150,66,6.415343915343915,0.1534526854219949,0.3887468030690537,0.1815856777493606,0.3836317135549872,0.16879795396419436,0,0.27595628415300544,0.22131147540983606,0.5027322404371585,0.07123287671232877,0.6547945205479452,0.09315068493150686,0.18082191780821918,0,0
2019,00-0021206,PHI,5,5,0,2,0,3,1,4.4,0,0.4,0,0.6,0.2,0,0.4,0.6,0,0,1,0,0,0,0
2019,00-0022787,ATL,72,72,12,31,12,22,12,7.2835820895522385,0.16666666666666666,0.4305555555555556,0.16666666666666666,0.3055555555555556,0.16666666666666666,0,0.14925373134328357,0.19402985074626866,0.6567164179104478,0.109375,0.734375,0.015625,0.140625,0,0
2019,00-0022803,NYG,152,152,28,58,37,52,14,8.156462585034014,0.18421052631578946,0.3815789473684211,0.24342105263157895,0.34210526315789475,0.09210526315789473,0,0.1702127659574468,0.2198581560283688,0.6099290780141844,0.07801418439716312,0.6666666666666666,0.05673758865248227,0.19858156028368795,0,0
2019,00-0022824,ARI,1,1,1,1,0,0,0,26,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0
2019,00-0022924,PIT,64,64,14,25,13,24,4,9.290322580645162,0.21875,0.390625,0.203125,0.375,0.0625,0,0.12903225806451613,0.11290322580645161,0.7580645161290323,0.08064516129032258,0.6290322580645161,0.08064516129032258,0.20967741935483872,0,0
2019,00-0022942,LAC,626,626,146,211,162,215,92,8.539763113367174,0.23322683706070288,0.33706070287539935,0.25878594249201275,0.34345047923322686,0.14696485623003194,0.0017513134851138354,0.31348511383537653,0.17162872154115585,0.5131348511383538,0.042105263157894736,0.6789473684210526,0.05964912280701754,0.21929824561403508,0,0
2019,00-0023459,GB,607,607,139,232,110,226,88,8.797891036906854,0.22899505766062603,0.38220757825370677,0.1812191103789127,0.3723228995057661,0.14497528830313014,0,0.2462962962962963,0.17222222222222222,0.5814814814814815,0.04275092936802974,0.6431226765799256,0.10223048327137546,0.21189591078066913,0,0
2019,00-0023534,KC,2,2,0,1,0,0,1,4,0,0.5,0,0,0.5,0,1,0,0,NA,NA,NA,NA,0,0
