season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0024243,5,1.8,0,3,1,1,3,2,0,0.6,0.2,0.2,0.6,0.4,0.4,0.2,0.4,0,0,0
2023,00-0026498,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2023,00-0027696,7,6,0,2,2,1,4,5,0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.42857142857142855,0,0.14285714285714285,0.2857142857142857,0
2023,00-0027944,19,6.894736842105263,3,9,6,4,9,4,0.15789473684210525,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.47368421052631576,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.10526315789473684,0
2023,00-0028002,18,9.705882352941176,3,7,4,3,10,5,0.16666666666666666,0.3888888888888889,0.2222222222222222,0.16666666666666666,0.5555555555555556,0.2777777777777778,0.05555555555555555,0.3888888888888889,0,0.4444444444444444,0.1111111111111111,0
2023,00-0029293,10,8,2,4,5,1,4,2,0.2,0.4,0.5,0.1,0.4,0.2,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333,0,0
2023,00-0029701,1,-1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2023,00-0029892,17,4.294117647058823,1,11,5,3,9,5,0.058823529411764705,0.6470588235294118,0.29411764705882354,0.17647058823529413,0.5294117647058824,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.35294117647058826,0.058823529411764705,0
2023,00-0030035,138,7.7226277372262775,22,56,51,35,51,16,0.15942028985507245,0.4057971014492754,0.3695652173913043,0.2536231884057971,0.3695652173913043,0.11594202898550725,0.1956521739130435,0.3333333333333333,0.07971014492753623,0.2608695652173913,0.13043478260869565,0
2023,00-0030061,43,7.72093023255814,5,15,10,17,16,8,0.11627906976744186,0.3488372093023256,0.23255813953488372,0.3953488372093023,0.37209302325581395,0.18604651162790697,0.18604651162790697,0.3953488372093023,0.023255813953488372,0.2558139534883721,0.13953488372093023,0
