season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_in_break,rec_route_out_break,rec_route_hitch
2021,00-0023459,1,-4,0,1,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,0,0
2021,00-0024243,28,3.6785714285714284,2,22,9,4,15,7,0.07142857142857142,0.7857142857142857,0.32142857142857145,0.14285714285714285,0.5357142857142857,0.25,0.6785714285714286,0.25,0.07142857142857142,0,0,0
2021,00-0025394,4,-2.75,0,4,2,0,2,1,0,1,0.5,0,0.5,0.25,0.75,0.25,0,0,0,0
2021,00-0026035,39,8.447368421052632,7,10,11,9,18,4,0.1794871794871795,0.2564102564102564,0.28205128205128205,0.23076923076923078,0.46153846153846156,0.10256410256410256,0.7105263157894737,0.05263157894736842,0.23684210526315788,0,0,0
2021,00-0026189,34,19.029411764705884,18,6,13,3,18,0,0.5294117647058824,0.17647058823529413,0.38235294117647056,0.08823529411764706,0.5294117647058824,0,0.5882352941176471,0.058823529411764705,0.35294117647058826,0,0,0
2021,00-0027061,85,8.25301204819277,15,29,34,14,35,15,0.17647058823529413,0.3411764705882353,0.4,0.16470588235294117,0.4117647058823529,0.17647058823529413,0.7951807228915663,0.012048192771084338,0.18072289156626506,0.012048192771084338,0,0
2021,00-0027656,89,10.07865168539326,27,25,20,34,35,12,0.30337078651685395,0.2808988764044944,0.2247191011235955,0.38202247191011235,0.39325842696629215,0.1348314606741573,0.550561797752809,0.033707865168539325,0.3707865168539326,0.0449438202247191,0,0
2021,00-0027685,73,14.958333333333334,36,9,42,11,19,11,0.4931506849315068,0.1232876712328767,0.5753424657534246,0.1506849315068493,0.2602739726027397,0.1506849315068493,0.625,0.013888888888888888,0.3194444444444444,0.041666666666666664,0,0
2021,00-0027691,2,14.5,1,0,0,1,1,0,0.5,0,0,0.5,0.5,0,1,0,0,0,0,0
2021,00-0027696,24,8,5,8,12,4,7,9,0.20833333333333334,0.3333333333333333,0.5,0.16666666666666666,0.2916666666666667,0.375,0.6521739130434783,0,0.34782608695652173,0,0,0
2021,00-0027793,62,11.838709677419354,23,20,34,5,23,3,0.3709677419354839,0.3225806451612903,0.5483870967741935,0.08064516129032258,0.3709677419354839,0.04838709677419355,0.5645161290322581,0.1774193548387097,0.1935483870967742,0.06451612903225806,0,0
2021,00-0027857,1,1,0,1,0,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,0,0
2021,00-0027942,93,12.054347826086957,27,15,5,10,77,18,0.2903225806451613,0.16129032258064516,0.053763440860215055,0.10752688172043011,0.8279569892473119,0.1935483870967742,0.5217391304347826,0.07608695652173914,0.358695652173913,0.043478260869565216,0,0
2021,00-0027944,48,12.0625,14,14,18,14,16,7,0.2916666666666667,0.2916666666666667,0.375,0.2916666666666667,0.3333333333333333,0.14583333333333334,0.6875,0.0625,0.16666666666666666,0.08333333333333333,0,0
2021,00-0027966,36,-0.02857142857142857,2,32,20,7,8,6,0.05555555555555555,0.8888888888888888,0.5555555555555556,0.19444444444444445,0.2222222222222222,0.16666666666666666,0.8,0.17142857142857143,0.02857142857142857,0,0,0
2021,00-0027981,40,6.153846153846154,7,17,11,11,17,9,0.175,0.425,0.275,0.275,0.425,0.225,0.6923076923076923,0.05128205128205128,0.2564102564102564,0,0,0
2021,00-0028002,39,7.871794871794871,8,16,16,14,9,14,0.20512820512820512,0.41025641025641024,0.41025641025641024,0.358974358974359,0.23076923076923078,0.358974358974359,0.5641025641025641,0.10256410256410256,0.20512820512820512,0.1282051282051282,0,0
2021,00-0028042,2,3,0,1,0,2,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0
