season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_vertical,rec_route_hitch,rec_route_in_break,rec_route_out_break,rec_route_screen,rec_route_other
2025,00-0023459,1,-9,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2025,00-0029892,28,4.285714285714286,2,19,14,4,10,5,0.07142857142857142,0.6785714285714286,0.5,0.14285714285714285,0.35714285714285715,0.17857142857142858,0.10714285714285714,0.10714285714285714,0.25,0.5,0.03571428571428571,0
2025,00-0030035,36,8.742857142857142,7,10,15,12,8,4,0.19444444444444445,0.2777777777777778,0.4166666666666667,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.3055555555555556,0.3055555555555556,0.19444444444444445,0.027777777777777776,0
2025,00-0030061,73,9.11111111111111,10,17,30,19,23,9,0.136986301369863,0.2328767123287671,0.410958904109589,0.2602739726027397,0.3150684931506849,0.1232876712328767,0.16666666666666666,0.2916666666666667,0.2916666666666667,0.2361111111111111,0.013888888888888888,0
2025,00-0030279,122,8.418032786885245,19,39,42,24,56,16,0.1557377049180328,0.319672131147541,0.3442622950819672,0.19672131147540983,0.45901639344262296,0.13114754098360656,0.1652892561983471,0.2975206611570248,0.2809917355371901,0.2231404958677686,0.03305785123966942,0
2025,00-0030506,109,6.805555555555555,15,45,39,26,43,13,0.13761467889908258,0.41284403669724773,0.3577981651376147,0.23853211009174313,0.3944954128440367,0.11926605504587157,0.1559633027522936,0.30275229357798167,0.25688073394495414,0.2018348623853211,0.08256880733944955,0
2025,00-0030564,39,13.153846153846153,14,5,17,8,14,3,0.358974358974359,0.1282051282051282,0.4358974358974359,0.20512820512820512,0.358974358974359,0.07692307692307693,0.41025641025641024,0.1794871794871795,0.23076923076923078,0.1794871794871795,0,0
2025,00-0031236,36,14.333333333333334,13,7,15,9,12,1,0.3611111111111111,0.19444444444444445,0.4166666666666667,0.25,0.3333333333333333,0.027777777777777776,0.25,0.1388888888888889,0.3333333333333333,0.25,0.027777777777777776,0
2025,00-0031279,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
2025,00-0031381,114,12.666666666666666,48,29,56,23,35,32,0.42105263157894735,0.2543859649122807,0.49122807017543857,0.20175438596491227,0.30701754385964913,0.2807017543859649,0.38596491228070173,0.14035087719298245,0.2719298245614035,0.20175438596491227,0,0
2025,00-0031408,62,13.290322580645162,21,8,24,10,28,9,0.3387096774193548,0.12903225806451613,0.3870967741935484,0.16129032258064516,0.45161290322580644,0.14516129032258066,0.39344262295081966,0.09836065573770492,0.29508196721311475,0.21311475409836064,0,0
2025,00-0031484,2,5.5,0,1,0,0,2,1,0,0.5,0,0,1,0.5,0.5,0,0,0.5,0,0
2025,00-0031503,1,13,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2025,00-0031588,102,8.53921568627451,23,40,39,28,35,12,0.22549019607843138,0.39215686274509803,0.38235294117647056,0.27450980392156865,0.3431372549019608,0.11764705882352941,0.15841584158415842,0.18811881188118812,0.3069306930693069,0.3069306930693069,0.039603960396039604,0
2025,00-0031610,35,10.558823529411764,10,10,13,12,9,8,0.2857142857142857,0.2857142857142857,0.37142857142857144,0.34285714285714286,0.2571428571428571,0.22857142857142856,0.4,0.08571428571428572,0.3142857142857143,0.17142857142857143,0.02857142857142857,0
2025,00-0031687,12,-1.3333333333333333,0,12,0,3,9,1,0,1,0,0.25,0.75,0.08333333333333333,0,0.25,0.08333333333333333,0.16666666666666666,0.5,0
2025,00-0032104,17,-0.17647058823529413,0,16,1,7,9,1,0,0.9411764705882353,0.058823529411764705,0.4117647058823529,0.5294117647058824,0.058823529411764705,0,0.11764705882352941,0.35294117647058826,0.058823529411764705,0.47058823529411764,0
2025,00-0032211,56,7.745454545454545,7,16,20,16,19,3,0.125,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.3392857142857143,0.05357142857142857,0.09090909090909091,0.18181818181818182,0.3090909090909091,0.34545454545454546,0.07272727272727272,0
2025,00-0032385,54,8.547169811320755,11,24,24,9,20,8,0.2037037037037037,0.4444444444444444,0.4444444444444444,0.16666666666666666,0.37037037037037035,0.14814814814814814,0.20754716981132076,0.1509433962264151,0.2830188679245283,0.20754716981132076,0.1509433962264151,0
2025,00-0032392,26,9,7,9,5,8,13,5,0.2692307692307692,0.34615384615384615,0.19230769230769232,0.3076923076923077,0.5,0.19230769230769232,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.23076923076923078,0.038461538461538464,0
2025,00-0032398,23,14.434782608695652,9,2,14,2,7,2,0.391304347826087,0.08695652173913043,0.6086956521739131,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.22727272727272727,0.36363636363636365,0.22727272727272727,0.18181818181818182,0,0
2025,00-0032464,30,5.633333333333334,4,17,7,11,12,2,0.13333333333333333,0.5666666666666667,0.23333333333333334,0.36666666666666664,0.4,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.2,0
2025,00-0032688,9,14.555555555555555,4,2,2,0,7,0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0,0.7777777777777778,0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0,0
2025,00-0032764,21,0.5714285714285714,0,19,8,2,11,2,0,0.9047619047619048,0.38095238095238093,0.09523809523809523,0.5238095238095238,0.09523809523809523,0,0.09523809523809523,0.047619047619047616,0.5714285714285714,0.2857142857142857,0
2025,00-0032775,36,13.485714285714286,15,8,13,9,13,4,0.4166666666666667,0.2222222222222222,0.3611111111111111,0.25,0.3611111111111111,0.1111111111111111,0.25,0.1388888888888889,0.25,0.3333333333333333,0.027777777777777776,0
2025,00-0032918,2,1,0,2,1,0,1,0,0,1,0.5,0,0.5,0,0,0,0,0.5,0.5,0
2025,00-0033040,29,13.758620689655173,11,5,12,0,17,2,0.3793103448275862,0.1724137931034483,0.41379310344827586,0,0.5862068965517241,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.3103448275862069,0.41379310344827586,0.10344827586206896,0
2025,00-0033090,87,8.160919540229886,17,26,27,32,28,22,0.19540229885057472,0.2988505747126437,0.3103448275862069,0.367816091954023,0.3218390804597701,0.25287356321839083,0.2558139534883721,0.1511627906976744,0.29069767441860467,0.27906976744186046,0.023255813953488372,0
2025,00-0033110,36,6.055555555555555,7,19,7,7,22,8,0.19444444444444445,0.5277777777777778,0.19444444444444445,0.19444444444444445,0.6111111111111112,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.4166666666666667,0.1388888888888889,0
2025,00-0033217,20,4.65,2,11,9,5,6,6,0.1,0.55,0.45,0.25,0.3,0.3,0.25,0.3,0.05,0.4,0,0
2025,00-0033246,19,5.2631578947368425,2,9,6,3,10,1,0.10526315789473684,0.47368421052631576,0.3157894736842105,0.15789473684210525,0.5263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.42105263157894735,0.10526315789473684,0
2025,00-0033280,129,2.5968992248062017,5,99,44,31,54,25,0.03875968992248062,0.7674418604651163,0.34108527131782945,0.24031007751937986,0.4186046511627907,0.1937984496124031,0.06201550387596899,0.2248062015503876,0.1937984496124031,0.3023255813953488,0.21705426356589147,0
2025,00-0033282,9,16.11111111111111,4,4,4,1,4,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.1111111111111111,0,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0
2025,00-0033288,69,6.666666666666667,9,34,33,18,18,13,0.13043478260869565,0.4927536231884058,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.18840579710144928,0.14492753623188406,0.08695652173913043,0.2608695652173913,0.391304347826087,0.11594202898550725,0
2025,00-0033293,41,-0.6097560975609756,1,37,13,4,24,5,0.024390243902439025,0.9024390243902439,0.3170731707317073,0.0975609756097561,0.5853658536585366,0.12195121951219512,0.07317073170731707,0.12195121951219512,0.04878048780487805,0.2682926829268293,0.4878048780487805,0
2025,00-0033307,53,11.018867924528301,13,12,23,10,20,2,0.24528301886792453,0.22641509433962265,0.4339622641509434,0.18867924528301888,0.37735849056603776,0.03773584905660377,0.25,0.15384615384615385,0.34615384615384615,0.21153846153846154,0.038461538461538464,0
2025,00-0033357,16,3.375,2,12,7,3,6,0,0.125,0.75,0.4375,0.1875,0.375,0,0.125,0.1875,0.0625,0.3125,0.3125,0
