season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_target_pos_OTHER,qb_route_hitch,qb_route_in_break,qb_route_out_break,qb_route_screen,qb_route_vertical,qb_route_other
2025,00-0022942,IND,97,97,24,35,25,32,8,7.793478260869565,0.24742268041237114,0.36082474226804123,0.25773195876288657,0.32989690721649484,0.08247422680412371,0.2222222222222222,0.3111111111111111,0.4666666666666667,0,0.13333333333333333,0.23333333333333334,0.17777777777777778,0.15555555555555556,0.3,0
2025,00-0023459,PIT,529,529,75,188,100,208,81,6.040160642570281,0.14177693761814744,0.3553875236294896,0.1890359168241966,0.3931947069943289,0.15311909262759923,0.25738396624472576,0.2974683544303797,0.4409282700421941,0.004219409282700422,0.1271186440677966,0.1843220338983051,0.2521186440677966,0.2309322033898305,0.2055084745762712,0
2025,00-0026158,CIN,267,267,51,80,89,84,36,7.34375,0.19101123595505617,0.299625468164794,0.3333333333333333,0.3146067415730337,0.1348314606741573,0.17355371900826447,0.18181818181818182,0.6446280991735537,0,0.2157676348547718,0.25311203319502074,0.23236514522821577,0.12033195020746888,0.17842323651452283,0
2025,00-0026158,CLE,169,169,34,55,36,68,15,7.29375,0.20118343195266272,0.3254437869822485,0.21301775147928995,0.40236686390532544,0.08875739644970414,0.22602739726027396,0.3150684931506849,0.4520547945205479,0.00684931506849315,0.24647887323943662,0.2112676056338028,0.19718309859154928,0.176056338028169,0.16901408450704225,0
2025,00-0026300,WAS,56,56,7,20,8,24,6,5.796296296296297,0.125,0.35714285714285715,0.14285714285714285,0.42857142857142855,0.10714285714285714,0.16666666666666666,0.1875,0.6458333333333334,0,0.2708333333333333,0.2708333333333333,0.22916666666666666,0.16666666666666666,0.0625,0
2025,00-0026498,LA,620,620,159,219,127,248,113,9.25963149078727,0.2564516129032258,0.3532258064516129,0.20483870967741935,0.4,0.18225806451612903,0.11015490533562823,0.25817555938037867,0.6316695352839932,0,0.16464471403812825,0.22530329289428075,0.2512998266897747,0.09705372616984402,0.2616984402079723,0
2025,00-0027973,CAR,45,45,9,16,3,18,7,9.405405405405405,0.2,0.35555555555555557,0.06666666666666667,0.4,0.15555555555555556,0.027777777777777776,0.2222222222222222,0.75,0,0.2777777777777778,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.2222222222222222,0
2025,00-0028118,NYJ,148,148,25,50,20,63,15,8.544776119402986,0.16891891891891891,0.33783783783783783,0.13513513513513514,0.42567567567567566,0.10135135135135136,0.16535433070866143,0.2125984251968504,0.6220472440944882,0,0.2,0.216,0.344,0.064,0.176,0
2025,00-0029263,NYG,129,129,27,56,18,45,20,8.890756302521009,0.20930232558139536,0.43410852713178294,0.13953488372093023,0.3488372093023256,0.15503875968992248,0.26605504587155965,0.12844036697247707,0.6055045871559633,0,0.24299065420560748,0.1588785046728972,0.205607476635514,0.14018691588785046,0.2523364485981308,0
2025,00-0029604,ATL,284,284,53,108,60,98,37,6.951672862453532,0.18661971830985916,0.38028169014084506,0.2112676056338028,0.34507042253521125,0.13028169014084506,0.2490272373540856,0.2918287937743191,0.45525291828793774,0.0038910505836575876,0.14960629921259844,0.2204724409448819,0.21653543307086615,0.2125984251968504,0.20078740157480315,0
2025,00-0030565,LV,505,505,75,171,89,186,66,6.165178571428571,0.1485148514851485,0.33861386138613864,0.17623762376237623,0.3683168316831683,0.1306930693069307,0.18604651162790697,0.3302325581395349,0.4813953488372093,0.002325581395348837,0.21728971962616822,0.1705607476635514,0.2616822429906542,0.1658878504672897,0.18457943925233644,0
2025,00-0031237,TB,17,17,4,6,5,4,7,6.533333333333333,0.23529411764705882,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.4117647058823529,0.14285714285714285,0.21428571428571427,0.6428571428571429,0,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.2857142857142857,0
2025,00-0031503,NYG,69,69,15,24,9,33,10,9.378787878787879,0.21739130434782608,0.34782608695652173,0.13043478260869565,0.4782608695652174,0.14492753623188406,0.14285714285714285,0.19047619047619047,0.6666666666666666,0,0.1111111111111111,0.2222222222222222,0.31746031746031744,0.1111111111111111,0.23809523809523808,0
2025,00-0032268,WAS,246,246,69,89,41,95,33,10.110132158590309,0.2804878048780488,0.3617886178861789,0.16666666666666666,0.3861788617886179,0.13414634146341464,0.11267605633802817,0.2676056338028169,0.6197183098591549,0,0.1792452830188679,0.22641509433962265,0.18396226415094338,0.15566037735849056,0.25471698113207547,0
2025,00-0032434,TEN,31,31,4,20,1,9,0,3.6333333333333333,0.12903225806451613,0.6451612903225806,0.03225806451612903,0.2903225806451613,0,0.3,0.23333333333333334,0.4666666666666667,0,0.06666666666666667,0.16666666666666666,0.3,0.36666666666666664,0.1,0
2025,00-0032764,BAL,1,1,0,0,0,1,1,10,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
