season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_in_break,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_out_break,rec_route_hitch
2019,00-0022127,85,6.578313253012048,5,24,19,25,39,12,0.058823529411764705,0.2823529411764706,0.2235294117647059,0.29411764705882354,0.4588235294117647,0.1411764705882353,0.03614457831325301,0.8795180722891566,0.012048192771084338,0.07228915662650602,0,0
2019,00-0022921,109,7.81651376146789,20,53,42,31,36,14,0.1834862385321101,0.48623853211009177,0.3853211009174312,0.28440366972477066,0.3302752293577982,0.12844036697247707,0.09174311926605505,0.5229357798165137,0.1743119266055046,0.21100917431192662,0,0
2019,00-0022943,24,8.916666666666666,5,9,7,6,11,3,0.20833333333333334,0.375,0.2916666666666667,0.25,0.4583333333333333,0.125,0.09090909090909091,0.5454545454545454,0.045454545454545456,0.3181818181818182,0,0
2019,00-0023500,16,0.875,0,15,6,4,6,0,0,0.9375,0.375,0.25,0.375,0,0,0.875,0.125,0,0,0
2019,00-0023564,10,1.5,0,9,4,2,4,2,0,0.9,0.4,0.2,0.4,0.2,0,0.9,0.1,0,0,0
2019,00-0024221,19,6.894736842105263,4,10,4,10,5,3,0.21052631578947367,0.5263157894736842,0.21052631578947367,0.5263157894736842,0.2631578947368421,0.15789473684210525,0.10526315789473684,0.7894736842105263,0.05263157894736842,0.05263157894736842,0,0
2019,00-0024243,19,5.7368421052631575,4,9,10,2,7,2,0.21052631578947367,0.47368421052631576,0.5263157894736842,0.10526315789473684,0.3684210526315789,0.10526315789473684,0,0.8947368421052632,0.05263157894736842,0.05263157894736842,0,0
2019,00-0024389,31,7.548387096774194,3,10,8,13,10,5,0.0967741935483871,0.3225806451612903,0.25806451612903225,0.41935483870967744,0.3225806451612903,0.16129032258064516,0.0967741935483871,0.6774193548387096,0.03225806451612903,0.1935483870967742,0,0
2019,00-0025394,23,-1.8695652173913044,0,21,7,1,15,2,0,0.9130434782608695,0.30434782608695654,0.043478260869565216,0.6521739130434783,0.08695652173913043,0,0.6956521739130435,0.30434782608695654,0,0,0
2019,00-0025396,56,15.910714285714286,22,8,20,7,29,6,0.39285714285714285,0.14285714285714285,0.35714285714285715,0.125,0.5178571428571429,0.10714285714285714,0,0.6785714285714286,0,0.32142857142857145,0,0
2019,00-0025418,83,9,15,26,24,20,38,15,0.18072289156626506,0.3132530120481928,0.2891566265060241,0.24096385542168675,0.4578313253012048,0.18072289156626506,0.024390243902439025,0.7560975609756098,0,0.21951219512195122,0,0
