season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_vertical,rec_route_other,rec_route_screen,rec_route_in_break,rec_route_out_break,rec_route_hitch
2022,00-0019596,1,16,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2022,00-0024243,8,8.285714285714286,1,3,3,3,1,3,0.125,0.375,0.375,0.375,0.125,0.375,0.14285714285714285,0.7142857142857143,0.14285714285714285,0,0,0
2022,00-0026189,17,17.764705882352942,7,3,7,2,8,2,0.4117647058823529,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.47058823529411764,0.058823529411764705,0.058823529411764705,0,0
2022,00-0027942,49,10.957446808510639,13,10,8,6,33,8,0.2653061224489796,0.20408163265306123,0.16326530612244897,0.12244897959183673,0.673469387755102,0.16326530612244897,0.2978723404255319,0.5531914893617021,0.0425531914893617,0.10638297872340426,0,0
2022,00-0027944,43,14.023255813953488,16,16,25,7,11,11,0.37209302325581395,0.37209302325581395,0.5813953488372093,0.16279069767441862,0.2558139534883721,0.2558139534883721,0.3488372093023256,0.3953488372093023,0.046511627906976744,0.20930232558139536,0,0
2022,00-0027966,18,-0.9444444444444444,0,18,6,3,9,5,0,1,0.3333333333333333,0.16666666666666666,0.5,0.2777777777777778,0,0.8888888888888888,0.1111111111111111,0,0,0
2022,00-0027981,5,8.8,0,0,2,1,2,2,0,0,0.4,0.2,0.4,0.4,0.2,0.8,0,0,0,0
2022,00-0028002,50,9.5,12,17,21,17,12,7,0.24,0.34,0.42,0.34,0.24,0.14,0.28,0.48,0.02,0.22,0,0
2022,00-0029000,7,3.7142857142857144,0,4,4,1,2,0,0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.2857142857142857,0,0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0
2022,00-0029239,9,3.3333333333333335,1,7,7,0,2,1,0.1111111111111111,0.7777777777777778,0.7777777777777778,0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.1111111111111111,0,0,0
2022,00-0029263,1,-1,0,1,0,0,1,0,0,1,0,0,1,0,NA,NA,NA,NA,0,0
2022,00-0029293,81,13.222222222222221,27,9,27,16,38,11,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.19753086419753085,0.4691358024691358,0.13580246913580246,0.32098765432098764,0.6419753086419753,0.024691358024691357,0.012345679012345678,0,0
2022,00-0029608,10,17.5,3,2,4,1,5,0,0.3,0.2,0.4,0.1,0.5,0,0.3,0.6,0,0.1,0,0
2022,00-0029664,1,12,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2022,00-0029892,23,2.739130434782609,1,15,6,4,13,2,0.043478260869565216,0.6521739130434783,0.2608695652173913,0.17391304347826086,0.5652173913043478,0.08695652173913043,0.043478260869565216,0.9130434782608695,0.043478260869565216,0,0,0
2022,00-0030035,109,9.682242990654206,23,32,39,25,43,24,0.21100917431192662,0.29357798165137616,0.3577981651376147,0.22935779816513763,0.3944954128440367,0.22018348623853212,0.1588785046728972,0.8037383177570093,0.009345794392523364,0.028037383177570093,0,0
2022,00-0030061,71,7.942028985507246,10,20,24,28,17,17,0.14084507042253522,0.28169014084507044,0.3380281690140845,0.39436619718309857,0.23943661971830985,0.23943661971830985,0.14492753623188406,0.7101449275362319,0.07246376811594203,0.07246376811594203,0,0
2022,00-0030068,42,10.523809523809524,13,13,16,9,17,5,0.30952380952380953,0.30952380952380953,0.38095238095238093,0.21428571428571427,0.40476190476190477,0.11904761904761904,0.2619047619047619,0.6190476190476191,0.09523809523809523,0.023809523809523808,0,0
2022,00-0030074,1,1,0,1,1,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,0,0
2022,00-0030108,8,6.625,2,6,5,1,2,2,0.25,0.75,0.625,0.125,0.25,0.25,0.25,0.625,0.125,0,0,0
2022,00-0030279,89,8.651685393258427,19,30,32,17,40,16,0.21348314606741572,0.33707865168539325,0.3595505617977528,0.19101123595505617,0.449438202247191,0.1797752808988764,0.1348314606741573,0.7303370786516854,0.07865168539325842,0.056179775280898875,0,0
2022,00-0030288,51,1.4705882352941178,2,42,24,9,18,9,0.0392156862745098,0.8235294117647058,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.7450980392156863,0.19607843137254902,0,0,0
2022,00-0030431,91,7.868131868131868,14,26,36,19,36,14,0.15384615384615385,0.2857142857142857,0.3956043956043956,0.2087912087912088,0.3956043956043956,0.15384615384615385,0.054945054945054944,0.8791208791208791,0,0.06593406593406594,0,0
2022,00-0030456,2,-4,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
2022,00-0030506,153,7.065789473684211,22,64,61,42,49,32,0.1437908496732026,0.41830065359477125,0.39869281045751637,0.27450980392156865,0.3202614379084967,0.20915032679738563,0.13815789473684212,0.743421052631579,0.08552631578947369,0.03289473684210526,0,0
2022,00-0030513,35,-1.8,0,34,17,7,11,0,0,0.9714285714285714,0.4857142857142857,0.2,0.3142857142857143,0,0,0.42857142857142855,0.5714285714285714,0,0,0
2022,00-0030564,98,10.166666666666666,28,28,62,12,22,8,0.2857142857142857,0.2857142857142857,0.6326530612244898,0.12244897959183673,0.22448979591836735,0.08163265306122448,0.23958333333333334,0.6354166666666666,0.052083333333333336,0.07291666666666667,0,0
2022,00-0030578,31,2.4193548387096775,3,22,14,4,13,4,0.0967741935483871,0.7096774193548387,0.45161290322580644,0.12903225806451613,0.41935483870967744,0.12903225806451613,0.12903225806451613,0.5161290322580645,0.3225806451612903,0.03225806451612903,0,0
2022,00-0030968,2,1,0,2,1,0,1,1,0,1,0.5,0,0.5,0.5,0,1,0,0,0,0
2022,00-0031051,2,43,2,0,0,0,2,0,1,0,0,0,1,0,0.5,0.5,0,0,0,0
2022,00-0031236,93,10.89247311827957,27,28,50,10,33,10,0.2903225806451613,0.3010752688172043,0.5376344086021505,0.10752688172043011,0.3548387096774194,0.10752688172043011,0.22580645161290322,0.5913978494623656,0.13978494623655913,0.043010752688172046,0,0
2022,00-0031260,61,7.049180327868853,11,29,13,20,28,9,0.18032786885245902,0.47540983606557374,0.21311475409836064,0.32786885245901637,0.45901639344262296,0.14754098360655737,0.16393442622950818,0.7704918032786885,0.01639344262295082,0.04918032786885246,0,0
2022,00-0031273,38,6.605263157894737,5,14,11,13,14,4,0.13157894736842105,0.3684210526315789,0.2894736842105263,0.34210526315789475,0.3684210526315789,0.10526315789473684,0.13157894736842105,0.6842105263157895,0.10526315789473684,0.07894736842105263,0,0
2022,00-0031325,27,13.11111111111111,10,8,8,10,9,5,0.37037037037037035,0.2962962962962963,0.2962962962962963,0.37037037037037035,0.3333333333333333,0.18518518518518517,0.4074074074074074,0.2962962962962963,0.14814814814814814,0.14814814814814814,0,0
2022,00-0031376,72,0.676056338028169,2,60,32,8,31,17,0.027777777777777776,0.8333333333333334,0.4444444444444444,0.1111111111111111,0.4305555555555556,0.2361111111111111,0.07042253521126761,0.6619718309859155,0.2676056338028169,0,0,0
2022,00-0031381,181,11.827777777777778,59,50,73,49,58,23,0.3259668508287293,0.27624309392265195,0.40331491712707185,0.27071823204419887,0.32044198895027626,0.1270718232044199,0.3333333333333333,0.5777777777777777,0.03888888888888889,0.05,0,0
2022,00-0031382,40,9.58974358974359,7,12,14,7,18,7,0.175,0.3,0.35,0.175,0.45,0.175,0.20512820512820512,0.6923076923076923,0.02564102564102564,0.07692307692307693,0,0
2022,00-0031384,4,-1,0,4,1,0,3,2,0,1,0.25,0,0.75,0.5,0.25,0.75,0,0,0,0
2022,00-0031408,128,13.204724409448819,45,25,43,24,60,15,0.3515625,0.1953125,0.3359375,0.1875,0.46875,0.1171875,0.3700787401574803,0.4881889763779528,0.047244094488188976,0.09448818897637795,0,0
