player_id,player_name,position,draft_year_24,age_at_draft_24,early_declare_heuristic_24,combine_height_in_24,combine_weight_24,combine_forty_24,combine_vertical_24,combine_broad_24,combine_cone_24,combine_shuttle_24,combine_speed_score_24,combine_bmi_24,combine_athleticism_z_24,draft_round_24,draft_overall_24,draft_capital_log_24,college_seasons_24,college_games_24,college_starts_24,college_career_pass_att_24,college_career_pass_yd_24,college_career_pass_td_24,college_career_int_24,college_career_rush_att_24,college_career_rush_yd_24,college_career_rush_td_24,college_career_rec_24,college_career_rec_yd_24,college_career_rec_td_24,college_final_pass_att_24,college_final_pass_yd_24,college_final_pass_td_24,college_final_int_24,college_final_rush_att_24,college_final_rush_yd_24,college_final_rush_td_24,college_final_rec_24,college_final_rec_yd_24,college_final_rec_td_24,college_final_pass_share_24,college_final_rush_share_24,college_final_rec_yd_share_24,college_peak_pass_share_24,college_peak_rush_share_24,college_peak_rec_yd_share_24,college_final_ypa_24,college_final_ypc_24,college_final_ypr_24,college_breakout_age_24,college_production_score_z_24,combine_missing_24,college_missing_24,games,fantasy_points,rookie_fppg_24
00-0036355,Justin Herbert,QB,2020,22.480492813141684,0,78,236,4.68,35.5,123,7.06,4.46,98.39172764298874,27.269559500328732,1.1244164476559397,1,6,-1.9459101490553132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,15,330.84,22.055999999999997
00-0036906,Khalil Herbert,RB,2021,23.364818617385353,0,68,210,4.46,33,115,6.96,4.31,106.14752089446317,31.92690311418685,-0.2536342728357383,6,217,-5.384495062789089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,16,71.9,4.49375
00-0034766,Chris Herndon,TE,2018,22.521560574948666,0,76,253,NA,NA,NA,NA,NA,NA,30.792763157894736,NA,4,107,-4.68213122712422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,14,93.7,6.692857142857143
00-0031187,Robert Herron,WR,2014,22.247775496235455,0,69,193,4.48,35.5,125,6.84,4.27,95.82421025947843,28.498004620877968,-0.11055082625189518,6,185,-5.225746673713202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,6,14.8,2.466666666666667
00-0032227,Jeff Heuerman,TE,2015,22.767967145790553,0,77,254,4.81,NA,NA,NA,NA,94.90375730583133,30.11671445437679,-0.1806235177499327,3,92,-4.532599493153256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0037304,Connor Heyward,RB,2022,23.60848733744011,0,71,233,4.72,32.5,NA,NA,NA,93.88969368000178,32.49335449315612,-0.7941687651780951,6,208,-5.342334251964811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,15,29.8,1.9866666666666668
00-0033110,Tyler Higbee,TE,2016,23.665982203969882,0,78,249,4.77,NA,NA,NA,NA,96.19573706265128,28.771696252465482,-0.670200179235057,4,110,-4.709530201312334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,12,20,1.6666666666666667
00-0039041,Elijah Higgins,TE,2023,22.844626967830255,0,75,235,4.54,35,126,7.01,NA,110.63039079368107,29.369777777777777,0.44829387501014123,6,197,-5.288267030694535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,11,29.3,2.6636363636363636
00-0040130,Jayden Higgins,WR,2025,22.713210130047912,0,76,214,4.47,39,128,NA,NA,107.20466313325164,26.04605263157895,0.6240901166129004,2,34,-3.5553480614894135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,17,109,6.411764705882353
00-0032977,Rashard Higgins,WR,2016,21.90280629705681,0,73,196,4.64,32,116,NA,NA,84.56957436294769,25.85625820979546,-1.2074979282872575,5,172,-5.153291594497779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,10,10.7,1.0699999999999998
00-0036410,Tee Higgins,WR,2020,21.620807665982205,1,76,216,NA,NA,NA,NA,NA,NA,26.289473684210527,NA,2,33,-3.5263605246161616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,15,163.10000000000002,10.873333333333335
00-0036398,John Hightower,WR,2020,24.254620123203285,0,73,189,4.43,38.5,122,7.07,4.21,98.14696963186977,24.932820416588477,0.14588417349187238,5,168,-5.1298987149230735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,10,21.799999999999997,2.1799999999999997
00-0033567,Brian Hill,RB,2017,21.812457221081452,0,73,219,4.54,34,125,7.03,4.32,103.09810886730278,28.89041095890411,0.3703528822652063,5,156,-5.056245805348308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,8.3,2.075
00-0031301,Jeremy Hill,RB,2014,21.864476386036962,0,73,233,4.56,29,113,NA,NA,107.77711299004238,30.73728654531807,-0.6989707988435332,2,55,-4.02535169073515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,16,197.4,12.3375
00-0034975,Justice Hill,RB,2019,21.796030116358658,0,70,198,4.4,40,130,NA,NA,105.65364387678433,28.406938775510206,1.4257475650191163,4,113,-4.736198448394496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,16,45.5,2.84375
00-0036382,K.J. Hill,WR,2020,22.962354551676935,0,72,196,4.6,32.5,114,NA,NA,87.54971573143324,26.579475308641975,-1.7277024650530224,7,220,-5.3981627015177525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,12,10.8,0.9
00-0036669,Kylin Hill,RB,2021,23.039014373716633,0,70,214,4.51,36,122,7.13,4.35,103.45169279930268,30.702448979591836,-0.08067425602443078,7,256,-5.54907608489522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,8,3.4000000000000004,0.42500000000000004
00-0033040,Tyreek Hill,WR,2016,22.50513347022587,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,165,-5.111987788356544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,16,170.5,10.65625
00-0031625,Kenny Hilliard,RB,2015,23.912388774811774,0,72,226,4.83,27,111,7.17,4.4,83.05196491175583,30.647762345679013,-1.172086120607891,7,235,-5.4638318050256105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0034367,Nyheim Hines,RB,2018,21.801505817932924,0,68,198,4.38,35.5,119,7.18,4.35,107.59664852325028,30.10250865051903,-0.5401089952033212,4,104,-4.653960350157523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,16,129.4,8.0875
00-0035229,T.J. Hockenson,TE,2019,22.16290212183436,0,77,251,4.7,37.5,123,7.02,4.18,102.87557731745167,29.761005228537694,0.9166938395172044,1,8,-2.1972245773362196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,12,64.7,5.391666666666667
00-0033966,Temuchin Hodges,TE,2017,22.067077344284737,0,78,257,4.57,39,134,NA,4.45,117.84151539259989,29.696088099934254,0.6324165020773751,6,201,-5.308267697401205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0036165,Isaiah Hodgins,WR,2020,21.864476386036962,0,76,210,4.61,36.5,124,7.01,4.12,92.9920001193514,25.55921052631579,0.15882491296330495,6,207,-5.337538079701318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
00-0032784,Kevin Hogan,QB,2016,23.865845311430526,0,75,218,4.78,32.5,113,6.9,4.31,83.5170032884561,27.245155555555556,0.41760748640000867,5,162,-5.093750200806762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,16.66,5.553333333333334
00-0033555,Mack Hollins,WR,2017,23.958932238193018,0,76,221,4.53,NA,NA,NA,NA,104.96136290292812,26.898026315789473,0.5287753227816645,4,118,-4.77912349311153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,12,36.6,3.0500000000000003
00-0035594,Travis Homer,RB,2019,21.06776180698152,1,70,201,4.48,39.5,130,7.07,4.31,99.79619824950863,28.83734693877551,0.7777071527537404,6,204,-5.3230099791384085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,7,22.5,3.2142857142857144
00-0033975,Elijah Hood,RB,2017,21.360711841204655,1,72,232,NA,NA,NA,NA,NA,NA,31.46141975308642,NA,7,242,-5.493061443340548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0
00-0038550,Hendon Hooker,QB,2023,25.631759069130734,0,75,217,NA,NA,NA,NA,NA,NA,27.120177777777776,NA,3,68,-4.23410650459726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0
00-0032392,Austin Hooper,TE,2016,21.842573579739906,0,76,254,4.72,33,117,7,4.32,102.35185491296332,30.914473684210527,0.09608524570151218,3,81,-4.406719247264253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,13,54.6,4.2
