season,week,player_id,xfp_24,fpoe_24,xfp_roll3_24,xfp_roll5_24,fpoe_roll3_24,fpoe_roll5_24
2020,11,00-0022924,NA,NA,NA,NA,NA,NA
2020,12,00-0022924,NA,NA,NA,NA,NA,NA
2020,13,00-0022924,NA,NA,NA,NA,NA,NA
2020,14,00-0022924,NA,NA,NA,NA,NA,NA
2020,15,00-0022924,NA,NA,NA,NA,NA,NA
2020,16,00-0022924,NA,NA,NA,NA,NA,NA
2020,18,00-0022924,NA,NA,NA,NA,NA,NA
2021,1,00-0022924,NA,NA,NA,NA,NA,NA
2021,2,00-0022924,NA,NA,NA,NA,NA,NA
2021,3,00-0022924,NA,NA,NA,NA,NA,NA
2021,4,00-0022924,NA,NA,NA,NA,NA,NA
2021,5,00-0022924,NA,NA,NA,NA,NA,NA
2021,6,00-0022924,NA,NA,NA,NA,NA,NA
2021,8,00-0022924,NA,NA,NA,NA,NA,NA
2021,9,00-0022924,NA,NA,NA,NA,NA,NA
2021,11,00-0022924,NA,NA,NA,NA,NA,NA
2021,12,00-0022924,NA,NA,NA,NA,NA,NA
2021,13,00-0022924,NA,NA,NA,NA,NA,NA
2021,14,00-0022924,NA,NA,NA,NA,NA,NA
2021,15,00-0022924,NA,NA,NA,NA,NA,NA
2021,16,00-0022924,NA,NA,NA,NA,NA,NA
2021,17,00-0022924,NA,NA,NA,NA,NA,NA
2021,18,00-0022924,NA,NA,NA,NA,NA,NA
2021,19,00-0022924,NA,NA,NA,NA,NA,NA
2020,1,00-0022942,NA,NA,NA,NA,NA,NA
2020,2,00-0022942,NA,NA,NA,NA,NA,NA
2020,3,00-0022942,NA,NA,NA,NA,NA,NA
2020,4,00-0022942,NA,NA,NA,NA,NA,NA
2020,5,00-0022942,NA,NA,NA,NA,NA,NA
2020,6,00-0022942,NA,NA,NA,NA,NA,NA
2020,8,00-0022942,NA,NA,NA,NA,NA,NA
2020,9,00-0022942,NA,NA,NA,NA,NA,NA
2020,10,00-0022942,NA,NA,NA,NA,NA,NA
2020,11,00-0022942,NA,NA,NA,NA,NA,NA
2020,12,00-0022942,NA,NA,NA,NA,NA,NA
2020,13,00-0022942,NA,NA,NA,NA,NA,NA
2020,14,00-0022942,NA,NA,NA,NA,NA,NA
2020,15,00-0022942,NA,NA,NA,NA,NA,NA
2020,16,00-0022942,NA,NA,NA,NA,NA,NA
2020,17,00-0022942,NA,NA,NA,NA,NA,NA
2020,18,00-0022942,NA,NA,NA,NA,NA,NA
2025,15,00-0022942,7.6692,1.1308000000000007,NA,NA,NA,NA
2025,16,00-0022942,15.8888,3.1911999999999985,7.6692,7.6692,1.1308000000000007,1.1308000000000007
2025,17,00-0022942,14.7384,-4.958400000000001,11.779,11.779,2.1609999999999996,2.1609999999999996
2020,5,00-0023436,NA,NA,NA,NA,NA,NA
2020,9,00-0023436,NA,NA,NA,NA,NA,NA
2020,10,00-0023436,NA,NA,NA,NA,NA,NA
2020,11,00-0023436,NA,NA,NA,NA,NA,NA
2020,12,00-0023436,NA,NA,NA,NA,NA,NA
2020,13,00-0023436,NA,NA,NA,NA,NA,NA
2020,14,00-0023436,NA,NA,NA,NA,NA,NA
2020,17,00-0023436,NA,NA,NA,NA,NA,NA
2020,1,00-0023459,NA,NA,NA,NA,NA,NA
2020,2,00-0023459,NA,NA,NA,NA,NA,NA
2020,3,00-0023459,NA,NA,NA,NA,NA,NA
2020,4,00-0023459,NA,NA,NA,NA,NA,NA
2020,6,00-0023459,NA,NA,NA,NA,NA,NA
2020,7,00-0023459,NA,NA,NA,NA,NA,NA
2020,8,00-0023459,NA,NA,NA,NA,NA,NA
2020,9,00-0023459,NA,NA,NA,NA,NA,NA
2020,10,00-0023459,NA,NA,NA,NA,NA,NA
2020,11,00-0023459,NA,NA,NA,NA,NA,NA
2020,12,00-0023459,NA,NA,NA,NA,NA,NA
2020,13,00-0023459,NA,NA,NA,NA,NA,NA
2020,14,00-0023459,NA,NA,NA,NA,NA,NA
2020,15,00-0023459,NA,NA,NA,NA,NA,NA
2020,16,00-0023459,NA,NA,NA,NA,NA,NA
