season,week,game_id,defense,n_prior_games_24,opp_blitz_rate_roll4_24,opp_rushers5_rate_roll4_24,opp_avg_pass_rushers_roll4_24,opp_pressure_rate_roll4_24,opp_man_rate_roll4_24,opp_zone_rate_roll4_24,opp_cover0_rate_roll4_24,opp_cover1_rate_roll4_24,opp_cover2_rate_roll4_24,opp_cover3_rate_roll4_24,opp_cover4_rate_roll4_24,opp_cover6_rate_roll4_24,opp_avg_box_roll4_24
2016,1,2016_01_NE_ARI,ARI,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,2016_02_TB_ARI,ARI,1,0.34285714285714286,0.34285714285714286,4.171428571428572,0.09090909090909093,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,2016_03_ARI_BUF,ARI,2,0.4077922077922078,0.4077922077922078,4.403896103896104,0.22814685314685315,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,2016_04_LA_ARI,ARI,3,0.45576951783848335,0.45576951783848335,4.464666368114644,0.1920979020979021,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,2016_05_ARI_SF,ARI,4,0.4980771383788625,0.4980771383788625,4.567249776085983,0.2024067599067599,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,2016_06_NYJ_ARI,ARI,4,0.49131022108562944,0.49131022108562944,4.623076843755156,0.22806658395368073,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,7,2016_07_SEA_ARI,ARI,4,0.4520757713248639,0.4520757713248639,4.54951225045372,0.21104475443185122,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,2016_08_ARI_CAR,ARI,4,0.37993421052631576,0.37993421052631576,4.402960526315789,0.28239610578320257,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10,2016_10_SF_ARI,ARI,4,0.3843984962406015,0.3843984962406015,4.398496240601504,0.31665536504246183,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,11,2016_11_ARI_MIN,ARI,4,0.3584814308498519,0.3584814308498519,4.345266575529733,0.31826826826826826,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,12,2016_12_ARI_ATL,ARI,4,0.4045340624287993,0.4045340624287993,4.40974025974026,0.3064439439439439,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,13,2016_13_WAS_ARI,ARI,4,0.4400959400959401,0.4400959400959401,4.47055107055107,0.30068082788671024,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,14,2016_14_ARI_MIA,ARI,4,0.4075867825867826,0.4075867825867826,4.461393561393561,0.2688990461049285,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,15,2016_15_NO_ARI,ARI,4,0.5084026334026334,0.5084026334026334,4.617862092862093,0.2588990461049285,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,16,2016_16_ARI_SEA,ARI,4,0.47163792752028044,0.47163792752028044,4.5511954261954255,0.24327404610492848,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,17,2016_17_ARI_LA,ARI,4,0.4683257918552036,0.4683257918552036,4.617835595776772,0.2532413663663664,NA,NA,NA,NA,NA,NA,NA,NA,NA
