season,week,defense,position,def_pos_residual,def_pos_fppg_allowed
2020,1,ARI,QB,3.6377500000000005,19.259999999999998
2020,1,ARI,RB,6.660416666666667,12.633333333333335
2020,1,ARI,TE,-2.0893749999999995,3.166666666666667
2020,1,ARI,WR,-1.2626805555555551,2.0333333333333337
2020,1,ATL,QB,11.799,31.78
2020,1,ATL,RB,1.8025912698412707,10.4
2020,1,ATL,TE,-3.0043333333333333,4.533333333333333
2020,1,ATL,WR,2.9865401785714303,9.6
2020,1,BAL,QB,-5.311624999999999,9.860000000000001
2020,1,BAL,RB,-3.511420454545455,5.8999999999999995
2020,1,BAL,TE,-0.5545921474358974,4
2020,1,BAL,WR,-3.332465544871795,3.0800000000000005
2020,1,BUF,QB,-2.8647692307692303,11.2
2020,1,BUF,RB,-1.1192991452991448,5.733333333333333
2020,1,BUF,TE,-0.8509640359640358,2.2333333333333334
2020,1,BUF,WR,0.0726395833333335,4.94
2020,1,CAR,QB,-1.185625,13.56
2020,1,CAR,RB,7.153450854700854,14.2
2020,1,CAR,TE,-3.120181818181818,2.7333333333333334
2020,1,CAR,WR,1.4433063811188815,5.35
2020,1,CHI,QB,-2.3723750000000017,16.18
2020,1,CHI,RB,1.1928055555555563,8.033333333333333
2020,1,CHI,TE,8.708333333333336,14.100000000000001
2020,1,CHI,WR,0.7091958974358975,5.4
2020,1,CIN,QB,-0.0753076923076943,9.02
2020,1,CIN,RB,0.812599206349207,7.2
2020,1,CIN,TE,-0.3873214285714274,5.65
2020,1,CIN,WR,-1.514312499999999,4.175
2020,1,CLE,QB,1.7075291666666674,13.88
2020,1,CLE,RB,-0.31473579545454505,5.025
2020,1,CLE,TE,4.065708333333333,10.8
2020,1,CLE,WR,3.1687095238095244,6.78
2020,1,DAL,QB,-6.147499999999997,10.5
2020,1,DAL,RB,5.930492424242424,7.4750000000000005
2020,1,DAL,TE,-3.148083333333333,3.35
2020,1,DAL,WR,-0.9446083333333332,5.34
2020,1,DEN,QB,2.3975606060606047,19.36
2020,1,DEN,RB,-0.8138749999999997,4.866666666666667
2020,1,DEN,TE,2.7979523809523807,6.566666666666666
