season,team,team_pass_attempts_pg,team_carries_pg,team_pass_yd_pg,team_rush_yd_pg,team_points_proxy_pg,team_attempts_total,team_carries_total,prior_season,team_prior_pass_attempts_pg,team_prior_carries_pg,team_prior_pass_yd_pg,team_prior_rush_yd_pg,team_prior_points_pg,target_team_pass_attempts_pg,target_team_carries_pg,team_prior_pass_rate,team_prior_neutral_pass_rate,team_prior_plays_pg,team_prior_redzone_pass_rate,team_prior_redzone_rush_rate,team_prior_deep_throw_rate,team_prior_shotgun_rate,team_prior_no_huddle_rate,team_prior_avg_air_yards
2017,ATL,33.125,26.875,259.125,115.4375,31.65875,530,430,2016,33.5625,26.3125,310,120.5,41.45,33.125,26.875,0,0,0,0,0,0,0,0,0
2018,ATL,38.5625,21.9375,309.3125,98.3125,35.32875,617,351,2017,33.125,26.875,259.125,115.4375,31.65875,38.5625,21.9375,0,0,0,0,0,0,0,0,0
2019,ATL,42.75,22.625,315.5625,85.0625,32.128750000000004,684,362,2018,38.5625,21.9375,309.3125,98.3125,35.32875,42.75,22.625,0.6712598425196851,0.5920745920745921,63.5,0.6482758620689655,0.3517241379310345,0.1924812030075188,0.5068897637795275,0.07381889763779527,8.54132901134522
2020,ATL,39.25,25.5625,288.75,95.75,32.75,628,409,2019,42.75,22.625,315.5625,85.0625,32.128750000000004,39.25,25.5625,0.6914027149321267,0.5729166666666666,69.0625,0.6608187134502924,0.3391812865497076,0.16981132075471697,0.5737556561085972,0.09049773755656108,8.092105263157896
2021,ATL,33.705882352941174,23.11764705882353,234.52941176470588,85.3529411764706,26.50470588235294,573,393,2020,39.25,25.5625,288.75,95.75,32.75,33.705882352941174,23.11764705882353,0.6364477335800185,0.5614035087719298,67.5625,0.580110497237569,0.419889502762431,0.20535714285714285,0.5337650323774283,0.07955596669750231,8.639553429027114
2022,ATL,24.41176470588235,32.88235294117647,172.1764705882353,159.88235294117646,32.87529411764706,415,559,2021,33.705882352941174,23.11764705882353,234.52941176470588,85.3529411764706,26.50470588235294,24.41176470588235,32.88235294117647,0.626362735381566,0.542528735632184,59.35294117647059,0.5914634146341463,0.4085365853658537,0.14471544715447154,0.5252725470763132,0.13280475718533202,7.230366492146596
2023,ATL,31.176470588235293,30.705882352941178,222.05882352941177,127,30.523529411764706,530,522,2022,24.41176470588235,32.88235294117647,172.1764705882353,159.88235294117646,32.87529411764706,31.176470588235293,30.705882352941178,0.485207100591716,0.4439140811455847,59.64705882352941,0.36,0.64,0.2070484581497797,0.7396449704142012,0.15976331360946747,9.718072289156629
2024,ATL,32.88235294117647,29.11764705882353,251.94117647058823,130.52941176470588,34.424705882352946,559,495,2023,31.176470588235293,30.705882352941178,222.05882352941177,127,30.523529411764706,32.88235294117647,29.11764705882353,0.5529197080291971,0.505091649694501,64.47058823529412,0.44666666666666666,0.5533333333333333,0.19895287958115185,0.7627737226277372,0.13594890510948904,8.213610586011342
2025,ATL,32.05882352941177,28.058823529411764,217.8235294117647,125.76470588235294,31.760000000000005,545,477,2024,32.88235294117647,29.11764705882353,251.94117647058823,130.52941176470588,34.424705882352946,32.05882352941177,28.058823529411764,0.5504587155963303,0.5018867924528302,64.11764705882354,0.42857142857142855,0.5714285714285714,0.19561551433389543,0.8055045871559633,0.14770642201834863,7.989266547406082
2015,BAL,42.25,23.9375,278.0625,92.375,28.610000000000003,676,383,2014,34.625,28,249.125,126.1875,35.33375,42.25,23.9375,0,0,0,0,0,0,0,0,0
2016,BAL,42.4375,22.9375,271.4375,91.4375,28.75125,679,367,2015,42.25,23.9375,278.0625,92.375,28.610000000000003,42.4375,22.9375,0,0,0,0,0,0,0,0,0
2017,BAL,35.4375,28.75,202.1875,116,29.9375,567,460,2016,42.4375,22.9375,271.4375,91.4375,28.75125,35.4375,28.75,0,0,0,0,0,0,0,0,0
2018,BAL,34.75,34.1875,231.75,152.5625,36.151250000000005,556,547,2017,35.4375,28.75,202.1875,116,29.9375,34.75,34.1875,0,0,0,0,0,0,0,0,0
2019,BAL,27.5,37.25,209.375,206,46.1,440,596,2018,34.75,34.1875,231.75,152.5625,36.151250000000005,27.5,37.25,0.5364354697102721,0.48785425101214575,71.1875,0.4488636363636363,0.5511363636363638,0.188135593220339,0.7848990342405618,0.05970149253731343,8.638489208633093
2020,BAL,25.375,34.6875,182.4375,191.9375,42.24125,406,555,2019,27.5,37.25,209.375,206,46.1,25.375,34.6875,0.4742750233863424,0.4342105263157895,66.8125,0.4224598930481284,0.5775401069518715,0.19402985074626863,0.9270346117867164,0.0187090739008419,8.686363636363636
2021,BAL,35.94117647058823,30.41176470588235,251,145.8235294117647,35.9164705882353,611,517,2020,25.375,34.6875,182.4375,191.9375,42.24125,35.94117647058823,30.41176470588235,0.4914572864321608,0.4661016949152542,62.1875,0.436046511627907,0.563953488372093,0.19134396355353075,0.9517587939698492,0.02814070351758794,8.69704433497537
2022,BAL,28.705882352941178,30.941176470588236,188.35294117647058,160,32.945882352941176,488,526,2021,35.94117647058823,30.41176470588235,251,145.8235294117647,35.9164705882353,28.705882352941178,30.941176470588236,0.6286672254819782,0.5720338983050848,70.17647058823529,0.5895953757225434,0.4104046242774566,0.17037037037037037,0.9413243922883489,0.06957250628667226,8.591133004926109
