season,team,team_projected_pass_attempts_pg,team_projected_carries_pg
2015,ARI,35.5,24.8125
2015,ATL,39.5,23.25
2015,BAL,34.625,28
2015,BUF,36.1875,25.125
2015,CAR,34.0625,29.5625
2015,CHI,38.0625,22.1875
2015,CIN,31.4375,30.75
2015,CLE,31.375,29.8125
2015,DAL,29.75,31.75
2015,DEN,37.9375,27.6875
2015,DET,37.75,24.75
2015,GB,33.5,27.1875
2015,HOU,30.3125,34.4375
2015,IND,41.3125,25.9375
2015,JAX,34.8125,22.5
2015,KC,30.8125,26.25
2015,LA,32.1875,24.6875
2015,LAC,35.875,24.875
2015,LV,39.3125,21.0625
2015,MIA,37.1875,24.9375
2015,MIN,32.3125,25.8125
2015,NE,38.0625,27.375
2015,NO,41.1875,25.375
2015,NYG,37.9375,28.0625
2015,NYJ,31.125,31.6875
2015,PHI,38.8125,29.625
2015,PIT,38.25,26.4375
2015,SEA,28.375,32.8125
2015,SF,30.4375,29.375
2015,TB,33.1875,22.0625
2015,TEN,32.0625,22.25
2015,WAS,34.1875,25.0625
2016,ARI,35.125,28.25
2016,ATL,38.8125,26.25
2016,BAL,42.25,23.9375
2016,BUF,29.0625,31.8125
2016,CAR,31.3125,32.875
2016,CHI,32.6875,29.25
2016,CIN,31.5625,29.1875
2016,CLE,38.0625,23.75
2016,DAL,33,25.5
2016,DEN,37.875,25.6875
2016,DET,39.5,22.125
2016,GB,35.8125,27.25
2016,HOU,38.6875,29.5
2016,IND,38.6875,24.75
2016,JAX,37.9375,22.125
2016,KC,29.5625,27.25
2016,LA,29.5625,26.8125
2016,LAC,41.6875,24.5625
2016,LV,37.8125,23.125
2016,MIA,36.75,21.5
2016,MIN,28.375,29.625
2016,NE,39.3125,23.9375
2016,NO,41.6875,24.8125
2016,NYG,38.9375,25.1875
2016,NYJ,37.75,28
2016,PHI,38.9375,27.625
2016,PIT,36.875,24.25
2016,SEA,30.5625,31.25
2016,SF,32.875,24.375
2016,TB,33.4375,28.4375
2016,TEN,34.4375,23.1875
2016,WAS,34.6875,26.8125
2017,ARI,39.05362877140221,25.1048080385454
2017,ATL,35.85140185335498,27.490504655934345
2017,BAL,38.206423849587914,23.940511950518843
2017,BUF,33.66424851190476,27.36349165157759
2017,CAR,37.22653975415924,26.348665483821733
2017,CHI,35.438379130061115,26.17738163529179
2017,CIN,36.74563697638146,26.6071290254884
2017,CLE,32.60034637671357,25.99846397092491
2017,DAL,33.16871279761905,28.037772546463952
