player_id,position,draft_year_24,talent_prior_fppg_24,rookie_actual_fppg_24,talent_prior_source_24
00-0031078,RB,2014,3.998451841368508,0,position_prior
00-0031390,RB,2014,3.998451841368508,6.375,position_prior
00-0031091,RB,2014,3.998451841368508,0,position_prior
00-0031066,RB,2014,3.998451841368508,5.550000000000001,position_prior
00-0031375,RB,2014,3.998451841368508,7.6571428571428575,position_prior
00-0031062,RB,2014,3.998451841368508,2.866666666666667,position_prior
00-0031055,RB,2014,3.998451841368508,8.506250000000001,position_prior
00-0031021,WR,2014,3.1182363281559713,0,position_prior
00-0031381,WR,2014,3.1182363281559713,5.828571428571428,position_prior
00-0031235,WR,2014,3.1182363281559713,20.958333333333332,position_prior
00-0031359,WR,2014,3.1182363281559713,11.95625,position_prior
00-0031051,WR,2014,3.1182363281559713,7.6875,position_prior
00-0031373,WR,2014,3.1182363281559713,11.71,position_prior
00-0031025,WR,2014,3.1182363281559713,4.925000000000001,position_prior
00-0031236,WR,2014,3.1182363281559713,11.28,position_prior
00-0031326,WR,2014,3.1182363281559713,2.3076923076923075,position_prior
00-0031023,WR,2014,3.1182363281559713,0,position_prior
00-0031408,WR,2014,3.1182363281559713,14.073333333333334,position_prior
00-0031056,WR,2014,3.1182363281559713,0,position_prior
00-0031068,WR,2014,3.1182363281559713,1.7166666666666668,position_prior
00-0031315,WR,2014,3.1182363281559713,0,position_prior
00-0031187,WR,2014,3.1182363281559713,2.466666666666667,position_prior
00-0030990,WR,2014,3.1182363281559713,1.2083333333333333,position_prior
00-0031001,WR,2014,3.1182363281559713,2.6,position_prior
00-0031189,WR,2014,3.1182363281559713,0,position_prior
00-0031382,WR,2014,3.1182363281559713,9.2125,position_prior
00-0031344,WR,2014,3.1182363281559713,0.8250000000000001,position_prior
00-0031431,WR,2014,3.1182363281559713,5.633333333333333,position_prior
00-0031339,WR,2014,3.1182363281559713,5.721428571428572,position_prior
00-0031327,WR,2014,3.1182363281559713,2.45,position_prior
00-0031268,WR,2014,3.1182363281559713,0,position_prior
00-0031002,WR,2014,3.1182363281559713,0,position_prior
00-0013688,WR,2014,3.1182363281559713,0,position_prior
00-0031257,WR,2014,3.1182363281559713,3.966666666666667,position_prior
00-0031428,WR,2014,3.1182363281559713,9.080000000000002,position_prior
00-0031053,WR,2014,3.1182363281559713,0.15000000000000002,position_prior
00-0031310,WR,2014,3.1182363281559713,0.5599999999999999,position_prior
00-0031060,WR,2014,3.1182363281559713,3.7000000000000006,position_prior
00-0031325,WR,2014,3.1182363281559713,10.46875,position_prior
00-0031291,WR,2014,3.1182363281559713,1.3272727272727272,position_prior
00-0031042,TE,2014,3.2515285495754247,4.678571428571429,position_prior
00-0031194,TE,2014,3.2515285495754247,0,position_prior
00-0031088,TE,2014,3.2515285495754247,0,position_prior
00-0031387,TE,2014,3.2515285495754247,3.608333333333333,position_prior
00-0031302,TE,2014,3.2515285495754247,1.35,position_prior
00-0030992,TE,2014,3.2515285495754247,2.566666666666667,position_prior
00-0031286,TE,2014,3.2515285495754247,0,position_prior
00-0031299,TE,2014,3.2515285495754247,10.54375,position_prior
00-0031044,TE,2014,3.2515285495754247,1.3250000000000002,position_prior
00-0031384,TE,2014,3.2515285495754247,3.423076923076923,position_prior
00-0031418,TE,2014,3.2515285495754247,4.955555555555556,position_prior
00-0031260,TE,2014,3.2515285495754247,3.62,position_prior
00-0032148,QB,2015,4.269540792540792,0,position_prior
00-0031589,QB,2015,4.269540792540792,0,position_prior
00-0032245,QB,2015,4.269540792540792,1.24,position_prior
00-0032268,QB,2015,4.269540792540792,18.043333333333333,position_prior
00-0031568,QB,2015,4.269540792540792,0,position_prior
00-0032156,QB,2015,4.269540792540792,-0.1,position_prior
00-0031503,QB,2015,4.269540792540792,17.18625,position_prior
00-0032104,RB,2015,4.168826806873682,6.53125,position_prior
00-0031590,RB,2015,4.168826806873682,4.133333333333334,position_prior
00-0031577,RB,2015,4.168826806873682,7.700000000000001,position_prior
00-0031599,RB,2015,4.168826806873682,5.433333333333334,position_prior
00-0031595,RB,2015,4.168826806873682,1.31,position_prior
00-0032133,RB,2015,4.168826806873682,2.985714285714286,position_prior
00-0032058,RB,2015,4.168826806873682,3.466666666666667,position_prior
00-0032063,RB,2015,4.168826806873682,2.62,position_prior
00-0032130,RB,2015,4.168826806873682,1.6833333333333336,position_prior
00-0032144,RB,2015,4.168826806873682,6.557142857142858,position_prior
00-0032241,RB,2015,4.168826806873682,15.223076923076926,position_prior
00-0031625,RB,2015,4.168826806873682,0,position_prior
00-0032122,RB,2015,4.168826806873682,2.5500000000000003,position_prior
00-0032187,RB,2015,4.168826806873682,12.1125,position_prior
00-0032068,RB,2015,4.168826806873682,0.7,position_prior
00-0032257,RB,2015,4.168826806873682,8.3625,position_prior
00-0031939,RB,2015,4.168826806873682,8.069230769230769,position_prior
00-0031569,RB,2015,4.168826806873682,8.973333333333333,position_prior
00-0031959,RB,2015,4.168826806873682,0,position_prior
