season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_in_break,rec_route_out_break,rec_route_hitch,rec_ngs_avg_cushion,rec_ngs_avg_separation,rec_ngs_avg_depth,rec_ngs_air_yards_share
2018,00-0019596,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2018,00-0020531,1,-2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00-0021547,48,7.911111111111111,6,12,16,10,19,12,0.125,0.25,0.3333333333333333,0.20833333333333334,0.3958333333333333,0.25,0.6888888888888889,0.022222222222222223,0.28888888888888886,0,0,0,4.449473684210527,2.464236806451032,0,9.805729925921518
2018,00-0022787,1,-7,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,00-0022921,113,9.223214285714286,26,40,33,35,44,15,0.23008849557522124,0.35398230088495575,0.2920353982300885,0.30973451327433627,0.3893805309734513,0.13274336283185842,0.5714285714285714,0.08035714285714286,0.26785714285714285,0.08035714285714286,0,0,6.338921568627452,2.2610111086412688,0,27.101045858420825
2018,00-0022924,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,00-0022943,46,10.217391304347826,13,12,5,13,28,9,0.2826086956521739,0.2608695652173913,0.10869565217391304,0.2826086956521739,0.6086956521739131,0.1956521739130435,0.7608695652173914,0.021739130434782608,0.1956521739130435,0.021739130434782608,0,0,5.1703125,2.642627979604568,0,12.162508475662168
2018,00-0023500,16,1.3125,0,15,5,3,8,3,0,0.9375,0.3125,0.1875,0.5,0.1875,0.875,0.125,0,0,0,0,0,0,0,0
2018,00-0023564,23,1.2173913043478262,1,19,9,1,13,4,0.043478260869565216,0.8260869565217391,0.391304347826087,0.043478260869565216,0.5652173913043478,0.17391304347826086,0.9130434782608695,0,0.08695652173913043,0,0,0,0,0,0,0
2018,00-0024221,37,11.555555555555555,13,10,11,11,14,2,0.35135135135135137,0.2702702702702703,0.2972972972972973,0.2972972972972973,0.3783783783783784,0.05405405405405406,0.5555555555555556,0,0.3333333333333333,0.1111111111111111,0,0,0,0,0,0
2018,00-0024243,4,1.25,0,4,3,0,1,1,0,1,0.75,0,0.25,0.25,0.75,0.25,0,0,0,0,0,0,0,0
2018,00-0024334,23,11.173913043478262,6,4,14,4,5,3,0.2608695652173913,0.17391304347826086,0.6086956521739131,0.17391304347826086,0.21739130434782608,0.13043478260869565,0.34782608695652173,0,0.43478260869565216,0.21739130434782608,0,0,0,0,0,0
2018,00-0024348,1,-1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2018,00-0024389,7,6.571428571428571,0,2,3,1,3,1,0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,1,0,0,0,0,0,0,0,0,0
2018,00-0025394,26,0.34615384615384615,0,23,13,6,7,3,0,0.8846153846153846,0.5,0.23076923076923078,0.2692307692307692,0.11538461538461539,0.8076923076923077,0.19230769230769232,0,0,0,0,0,0,0,0
2018,00-0025396,31,16.633333333333333,14,6,15,3,12,5,0.45161290322580644,0.1935483870967742,0.4838709677419355,0.0967741935483871,0.3870967741935484,0.16129032258064516,0.5666666666666667,0.03333333333333333,0.36666666666666664,0.03333333333333333,0,0,0,0,0,0
2018,00-0025399,20,-0.3,0,19,11,5,4,5,0,0.95,0.55,0.25,0.2,0.25,0.9,0.1,0,0,0,0,0,0,0,0
2018,00-0025415,1,-10,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00-0025418,38,8.868421052631579,9,14,11,14,13,6,0.23684210526315788,0.3684210526315789,0.2894736842105263,0.3684210526315789,0.34210526315789475,0.15789473684210525,0.631578947368421,0.02631578947368421,0.3157894736842105,0.02631578947368421,0,0,0,0,0,0
2018,00-0025580,1,-2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0025944,1,-8,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2018,00-0026035,79,7.455696202531645,10,25,29,20,30,2,0.12658227848101267,0.31645569620253167,0.3670886075949367,0.25316455696202533,0.379746835443038,0.02531645569620253,0.6962025316455697,0.12658227848101267,0.12658227848101267,0.05063291139240506,0,0,6.279117647058823,3.2199118670754148,0,15.565813267345574
2018,00-0026143,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2018,00-0026176,89,9.227272727272727,18,24,39,21,28,8,0.20224719101123595,0.2696629213483146,0.43820224719101125,0.23595505617977527,0.3146067415730337,0.0898876404494382,0.5681818181818182,0.09090909090909091,0.19318181818181818,0.14772727272727273,0,0,5.804216867469879,2.721723652085742,0,21.664616356035534
2018,00-0026189,74,19.2027027027027,41,8,32,10,32,5,0.5540540540540541,0.10810810810810811,0.43243243243243246,0.13513513513513514,0.43243243243243246,0.06756756756756757,0.6081081081081081,0.013513513513513514,0.35135135135135137,0.02702702702702703,0,0,7.337777777777778,2.7365699466874687,0,21.423041318257088
2018,00-0026213,3,1.3333333333333333,0,3,0,2,1,0,0,1,0,0.6666666666666666,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0
2018,00-0026345,47,8.847826086956522,11,15,21,12,13,4,0.23404255319148937,0.3191489361702128,0.44680851063829785,0.2553191489361702,0.2765957446808511,0.0851063829787234,0.5652173913043478,0.06521739130434782,0.10869565217391304,0.2608695652173913,0,0,5.575,2.7825083773804953,0,10.354595798594083
2018,00-0026544,1,-6,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,00-0026901,3,36.333333333333336,3,0,1,0,2,0,1,0,0.3333333333333333,0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0
2018,00-0026983,2,12.5,1,1,0,0,2,0,0.5,0.5,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0
2018,00-0026986,100,10.91,27,21,39,34,27,11,0.27,0.21,0.39,0.34,0.27,0.11,0.5,0.01,0.29,0.2,0,0,5.299285714285714,2.8318179006637134,0,23.35624749016577
2018,00-0027029,46,-1.065217391304348,1,42,27,3,16,2,0.021739130434782608,0.9130434782608695,0.5869565217391305,0.06521739130434782,0.34782608695652173,0.043478260869565216,0.717391304347826,0.21739130434782608,0.06521739130434782,0,0,0,0,0,0,0
2018,00-0027061,101,8.316831683168317,19,35,20,31,50,15,0.18811881188118812,0.3465346534653465,0.19801980198019803,0.3069306930693069,0.49504950495049505,0.1485148514851485,0.7029702970297029,0.019801980198019802,0.2079207920792079,0.06930693069306931,0,0,5.582361111111112,2.965243913338437,0,22.043198049120367
2018,00-0027139,3,10,1,0,0,3,0,1,0.3333333333333333,0,0,1,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0,0,0,0,0,0,0
2018,00-0027150,108,7.694444444444445,16,42,36,37,35,20,0.14814814814814814,0.3888888888888889,0.3333333333333333,0.3425925925925926,0.32407407407407407,0.18518518518518517,0.7037037037037037,0.09259259259259259,0.12962962962962962,0.07407407407407407,0,0,6.227065217391303,3.253567722120477,0,19.16474258826566
2018,00-0027215,9,3.6666666666666665,1,7,2,3,4,2,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.1111111111111111,0,0,0,0,0,0,0
2018,00-0027325,15,-1.2666666666666666,0,15,5,5,5,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.8,0.2,0,0,0,0,0,0,0,0
2018,00-0027440,1,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,00-0027531,20,-0.1,0,18,5,5,10,0,0,0.9,0.25,0.25,0.5,0,0.8,0.2,0,0,0,0,0,0,0,0
2018,00-0027656,72,12.402777777777779,26,11,20,27,25,8,0.3611111111111111,0.1527777777777778,0.2777777777777778,0.375,0.3472222222222222,0.1111111111111111,0.5138888888888888,0.013888888888888888,0.4166666666666667,0.05555555555555555,0,0,6.083559322033899,2.6262426283317932,0,19.965020945955285
2018,00-0027675,13,5.461538461538462,1,7,5,3,5,5,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.07692307692307693,0.46153846153846156,0,0,0,0,0,0,0
2018,00-0027681,16,8.3125,3,4,6,3,7,5,0.1875,0.25,0.375,0.1875,0.4375,0.3125,0.4375,0.0625,0.125,0.375,0,0,0,0,0,0
2018,00-0027685,98,9.622448979591837,21,39,37,17,44,11,0.21428571428571427,0.3979591836734694,0.37755102040816324,0.17346938775510204,0.4489795918367347,0.11224489795918367,0.6530612244897959,0.11224489795918367,0.1836734693877551,0.05102040816326531,0,0,6.150212765957448,3.246848462389276,0,20.92940824031704
2018,00-0027691,18,8.5,4,7,7,3,8,4,0.2222222222222222,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.4444444444444444,0.2222222222222222,0.7222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0
2018,00-0027696,89,9.51685393258427,22,23,34,32,23,9,0.24719101123595505,0.25842696629213485,0.38202247191011235,0.3595505617977528,0.25842696629213485,0.10112359550561797,0.6629213483146067,0,0.23595505617977527,0.10112359550561797,0,0,6.2510810810810815,2.9410835550333534,0,14.667842654277386
2018,00-0027793,168,11.255952380952381,54,55,66,43,59,24,0.32142857142857145,0.3273809523809524,0.39285714285714285,0.25595238095238093,0.35119047619047616,0.14285714285714285,0.44047619047619047,0.1488095238095238,0.27976190476190477,0.13095238095238096,0,0,5.039999999999999,2.6277769233152473,0,36.07485294145799
2018,00-0027796,3,5.666666666666667,0,1,1,1,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0
2018,00-0027873,12,2,0,9,2,2,8,2,0,0.75,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0
2018,00-0027874,90,10.191011235955056,23,29,34,13,42,13,0.25555555555555554,0.32222222222222224,0.37777777777777777,0.14444444444444443,0.4666666666666667,0.14444444444444443,0.5168539325842697,0.14606741573033707,0.23595505617977527,0.10112359550561797,0,0,5.919294117647059,3.021092108367718,0,21.117155931203392
2018,00-0027891,114,6.566371681415929,12,48,32,30,51,13,0.10526315789473684,0.42105263157894735,0.2807017543859649,0.2631578947368421,0.4473684210526316,0.11403508771929824,0.6371681415929203,0.1592920353982301,0.11504424778761062,0.08849557522123894,0,0,6.288712871287128,2.97512100877972,0,17.74602356461754
2018,00-0027925,17,2.3529411764705883,0,13,5,0,12,1,0,0.7647058823529411,0.29411764705882354,0,0.7058823529411765,0.058823529411764705,0.9411764705882353,0.058823529411764705,0,0,0,0,0,0,0,0
2018,00-0027942,78,12.441558441558442,23,11,27,21,29,15,0.2948717948717949,0.14102564102564102,0.34615384615384615,0.2692307692307692,0.3717948717948718,0.19230769230769232,0.4155844155844156,0.012987012987012988,0.4155844155844156,0.15584415584415584,0,0,4.395657894736843,2.028803888184738,0,22.15653165897845
2018,00-0027944,170,13.98235294117647,63,33,71,45,54,17,0.37058823529411766,0.19411764705882353,0.4176470588235294,0.2647058823529412,0.3176470588235294,0.1,0.6,0.03529411764705882,0.27058823529411763,0.09411764705882353,0,0,5.697839506172839,2.4845726567028485,0,45.63692109826258
