season,week,defense,def_games,def_dropbacks,def_rushes,def_pass_epa_allowed,def_rush_epa_allowed,def_pass_success_allowed,def_rush_success_allowed,def_explosive_pass_rate,def_deep_pass_rate,def_middle_pass_rate,def_deep_epa_allowed,def_middle_epa_allowed,def_sack_rate,def_qb_hit_rate,def_redzone_pass_td_rate,def_redzone_rush_td_rate
2020,1,ARI,1,37,24,0.02225717251273899,-0.15234048863688548,0.4594594594594595,0.5,0.1388888888888889,0.16666666666666666,0.2222222222222222,-0.3810606592160172,1.1109918445323954,0.08108108108108109,0.16216216216216217,0.125,0
2020,1,ATL,1,39,19,0.4870153042663423,-0.03115137713183146,0.5384615384615384,0.3157894736842105,0.13157894736842105,0.15789473684210523,0.05263157894736842,1.7795326585570996,0.9414786598645132,0.07692307692307693,0.2307692307692308,0.6,0.3333333333333333
2020,1,BAL,1,42,26,-0.2542374542674316,-0.2212064804692863,0.35714285714285715,0.38461538461538464,0.0975609756097561,0.24390243902439024,0.34146341463414637,0.518231143226148,-0.14630402994425973,0.04761904761904761,0.14285714285714285,1,0
2020,1,BUF,1,39,14,-0.21423102679561903,-0.00610795203205572,0.38461538461538464,0.42857142857142855,0.07894736842105263,0.23684210526315788,0.15789473684210523,-0.48873526705817033,-0.3471184931404412,0.07692307692307693,0.10256410256410256,0,1
2020,1,CAR,1,30,31,0.35924912698815087,0.13865174612522346,0.5666666666666667,0.5483870967741935,0.16666666666666666,0.13333333333333333,0.13333333333333333,1.3794852756909677,0.13169696622935723,0,0,0,0.42857142857142855
2020,1,CHI,1,47,25,0.03950230476379764,-0.11434968287707276,0.44680851063829785,0.32,0.13953488372093023,0.23255813953488372,0.3023255813953488,0.5847736852389059,0.4780430779573181,0.02127659574468085,0.1276595744680851,0.14285714285714285,0.2
2020,1,CIN,1,34,37,0.00917303507072488,-0.176505722624183,0.4117647058823529,0.32432432432432434,0.15625,0.3125,0.125,0.01613579036493288,0.090721963060787,0.0588235294117647,0.1176470588235294,0,0.14285714285714285
2020,1,CLE,1,30,28,0.5619271220024417,-0.1865551267941814,0.5666666666666667,0.35714285714285715,0.17857142857142858,0.25,0.3928571428571429,1.5067793567764711,0.9461667526576844,0.06666666666666667,0.13333333333333333,0.3,0.3333333333333333
2020,1,DAL,1,34,38,0.13699911375242488,-0.07800965507141712,0.4705882352941176,0.3947368421052632,0.21875,0.125,0.09375,0.8018988709809498,0.37322827944687226,0.02941176470588235,0.08823529411764706,0,0.2857142857142857
2020,1,DEN,1,45,33,0.23748361280243663,-0.07620024000502648,0.6,0.42424242424242425,0.09090909090909093,0.06818181818181818,0.20454545454545456,-0.05588040108947797,-0.02040018656060046,0.02222222222222222,0.15555555555555556,0.3333333333333333,0
2020,1,DET,1,39,26,0.12367158641541666,0.0928844567511428,0.4871794871794872,0.5384615384615384,0.16216216216216217,0.32432432432432434,0.1891891891891892,0.1039742641103511,0.06840194352636374,0.02564102564102564,0.1282051282051282,0.16666666666666666,0
2020,1,GB,1,32,20,0.2949823384585232,0.3339788615805559,0.625,0.65,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.9023023825946348,0.8973657884132887,0.0625,0.125,0.5,0.2857142857142857
2020,1,HOU,1,33,34,0.4238736034427406,0.00984643625747696,0.6363636363636364,0.4117647058823529,0.18181818181818185,0.09090909090909093,0.15151515151515152,-0.12058778433129168,1.1817122120875871,0.0303030303030303,0.09090909090909093,0.375,0
2020,1,IND,1,28,19,0.27152087715748696,-0.07623773680901845,0.5357142857142857,0.42105263157894735,0.25,0.08333333333333333,0.20833333333333337,1.82728966444847,1.221774185949473,0.14285714285714285,0.14285714285714285,1,0
2020,1,JAX,1,48,21,0.15827677164457582,-0.277079438589724,0.5416666666666666,0.3333333333333333,0.1276595744680851,0.1276595744680851,0.2127659574468085,0.1882479327032344,0.1133164259304364,0.02083333333333333,0.125,0.125,0.16666666666666666
2020,1,KC,1,41,18,0.08694364718526774,0.29290571097064666,0.5121951219512195,0.5,0.13513513513513514,0.21621621621621623,0.24324324324324328,-0.673161233344722,0.7501040058430389,0.0975609756097561,0.14634146341463414,0.25,1
2020,1,LA,1,45,24,-0.04226416713702065,0.02221446715945287,0.4888888888888889,0.4166666666666667,0.07142857142857142,0.09523809523809525,0.21428571428571427,-0.22956952094682623,0.09625643470714358,0.06666666666666667,0.15555555555555556,0.14285714285714285,0.2
2020,1,LAC,1,43,24,-0.17920015313975088,-0.2966511596944958,0.4186046511627907,0.4166666666666667,0.07692307692307693,0.15384615384615383,0.1794871794871795,-0.6715091237548864,0.4629043822381707,0.06976744186046512,0.13953488372093023,0,0
2020,1,LV,1,40,26,0.17300385502612012,0.04210893587039122,0.45,0.4615384615384616,0.1388888888888889,0.2777777777777778,0.2222222222222222,0.6314780521992357,-0.04164077387395139,0.025,0.075,0,0.2857142857142857
2020,1,MIA,1,22,41,-0.12388363144815506,0.31434959522042627,0.5909090909090909,0.6097560975609756,0.09523809523809525,0.04761904761904761,0.23809523809523808,-0.515282382257283,0.7297726881923164,0.09090909090909093,0.13636363636363635,0,0.3333333333333333
2020,1,MIN,1,44,32,0.40836256700960055,0.1731917144061299,0.5454545454545454,0.5,0.1590909090909091,0.20454545454545456,0.13636363636363635,1.853527567310569,0.96828758790313,0,0.04545454545454545,0.16666666666666666,0.16666666666666666
2020,1,NE,1,34,25,-0.25099866141667493,-0.05858448960992478,0.4705882352941176,0.52,0.06451612903225806,0.1935483870967742,0.25806451612903225,0.5475056057815285,0.1826680811427644,0.02941176470588235,0.14705882352941177,0,0.14285714285714285
2020,1,NO,1,41,25,-0.2609931226587048,0.01385483382036886,0.3902439024390244,0.48,0.15,0.2,0.175,-0.4426849781521018,0.31267067917256847,0.07317073170731707,0.14634146341463414,0.25,0.2
2020,1,NYG,1,35,29,0.439850508865836,-0.19563733847964365,0.5142857142857142,0.2413793103448276,0.2647058823529412,0.17647058823529413,0.2352941176470588,0.561511111891983,0.6735202836352973,0.05714285714285714,0.14285714285714285,0.5,0
2020,1,NYJ,1,52,29,0.313559393422585,-0.5389313904950118,0.5576923076923077,0.27586206896551724,0.14285714285714285,0.08163265306122448,0.1836734693877551,0.8929579918185471,0.05538746982347264,0.05769230769230769,0.07692307692307693,0.13333333333333333,0.09090909090909093
2020,1,PHI,1,36,34,-0.04913721155117823,-0.35557116498924213,0.3333333333333333,0.2058823529411765,0.1176470588235294,0.17647058823529413,0.2647058823529412,-0.3021326681191572,0.17542958906518968,0.08333333333333333,0.2222222222222222,0.14285714285714285,0.13333333333333333
2020,1,PIT,1,48,17,0.01729381548759136,-0.5889817286241692,0.4583333333333333,0.17647058823529413,0.13333333333333333,0.08888888888888889,0.28888888888888886,1.7374273781169896,0.6343837141339749,0.0625,0.16666666666666666,0.09090909090909093,0
2020,1,SEA,1,57,21,0.10690940844750632,-0.3335744766134375,0.47368421052631576,0.42857142857142855,0.17543859649122806,0.22807017543859648,0.19298245614035087,0.8008328556853276,0.1591181812426919,0.03508771929824561,0.14035087719298245,0.2,0.16666666666666666
2020,1,SF,1,50,28,0.15458381967215862,-0.06472472237510393,0.48,0.42857142857142855,0.09523809523809525,0.11904761904761904,0.04761904761904761,-0.666238096961752,1.4916485367575651,0.04,0.06,1,1
2020,1,TB,1,34,32,-0.0032169664823077,-0.44083559574573894,0.35294117647058826,0.25,0.15625,0.15625,0.15625,1.4305169281898993,-0.3170485485228718,0.02941176470588235,0.08823529411764706,0.18181818181818185,0.08333333333333333
2020,1,TEN,1,34,25,-0.17869016350853045,0.04274328947183697,0.4411764705882353,0.36,0.12121212121212122,0.24242424242424243,0.2727272727272727,-1.019624308792118,0.1900601396919223,0,0.14705882352941177,0.2,0.14285714285714285
2020,1,WAS,1,50,17,-0.3915191140364894,-0.05381838338079794,0.34,0.4705882352941176,0.14,0.3,0.38,0.1799005032342394,0.29560935436012664,0.16,0.26,0.25,0
2020,2,ARI,1,39,23,-0.21205617913046737,0.1661740828567468,0.41025641025641024,0.5217391304347826,0.18421052631578944,0.18421052631578944,0.3157894736842105,-0.39392068973808914,0.1112768517756496,0.10256410256410256,0.20512820512820512,0,0.2
2020,2,ATL,1,51,31,0.17716479402208904,-0.1038745044765303,0.5882352941176471,0.4516129032258064,0.14,0.2,0.16,1.0873252534191125,0.7476933283105608,0.0196078431372549,0.0784313725490196,0.14285714285714285,0.3333333333333333
2020,2,BAL,1,45,12,-0.1801449688579899,-0.26085547803086223,0.4666666666666667,0.25,0.125,0.175,0.225,0.3794085720770201,0.43299805862373314,0.08888888888888889,0.24444444444444444,0.3333333333333333,0
2020,2,BUF,1,53,20,0.14586438770435706,0.1798093936231455,0.5094339622641509,0.5,0.1176470588235294,0.1176470588235294,0.35294117647058826,0.7771397160830856,0.7967897652431731,0.05660377358490566,0.18867924528301888,0.2222222222222222,0.16666666666666666
2020,2,CAR,1,35,22,0.01498227837567816,-0.07494490006766633,0.4,0.4090909090909091,0.22857142857142856,0.2,0.22857142857142856,-0.1150441254781438,0.8869353097034052,0,0.02857142857142857,0,0.5
2020,2,CHI,1,47,15,-0.15584716356206993,0.06078550830328159,0.5106382978723404,0.4666666666666667,0.04545454545454545,0.06818181818181818,0.4545454545454546,1.035854223940988,0.12992575908251747,0.0851063829787234,0.0851063829787234,0,1
2020,2,CIN,1,24,34,0.5251988868343084,0.1514661101168982,0.5833333333333334,0.4705882352941176,0.2608695652173913,0.21739130434782608,0.21739130434782608,0.16856221721973158,-0.24601590414531488,0,0,0.25,0.3
2020,2,CLE,1,68,20,0.2255039609062028,-0.4475644756748808,0.5,0.35,0.109375,0.171875,0.171875,0.17785209587382722,0.4585433453568123,0.04411764705882353,0.10294117647058824,0.14285714285714285,0
2020,2,DAL,1,43,30,0.2899857313708898,-0.14208585462183715,0.4418604651162791,0.4,0.28205128205128205,0.2564102564102564,0.2307692307692308,0.2428831536788487,0.0080638113908791,0.02325581395348837,0.09302325581395347,0.2222222222222222,0
2020,2,DEN,1,42,22,0.02637922148624942,-0.5020550761539134,0.4523809523809524,0.3181818181818182,0.09523809523809525,0.14285714285714285,0.380952380952381,0.46523419067185967,-0.01700883756711775,0.0238095238095238,0.07142857142857142,0,0.16666666666666666
2020,2,DET,1,33,34,0.4616525538680403,0.23929977119577067,0.5151515151515151,0.5,0.25806451612903225,0.2258064516129032,0.12903225806451613,0.05663219487473732,2.1615397333953323,0.0303030303030303,0.09090909090909093,0.3333333333333333,0.25
2020,2,GB,1,38,20,-0.13331886475651525,0.15017880199884515,0.47368421052631576,0.45,0.13513513513513514,0.1891891891891892,0.2972972972972973,-0.16063891638935246,0.06227024670542161,0.10526315789473684,0.15789473684210523,0.3333333333333333,0.25
2020,2,HOU,1,31,34,0.16378462717320064,0.1539807088413212,0.4838709677419355,0.38235294117647056,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.12965583818925597,0.6946690740750393,0.12903225806451613,0.16129032258064516,0.16666666666666666,0
2020,2,IND,1,29,19,-0.4496170426818766,-0.01666865244393837,0.27586206896551724,0.42105263157894735,0.13793103448275862,0.3448275862068966,0.1724137931034483,-0.03920615962124411,0.01357240733951319,0.10344827586206896,0.20689655172413793,0,0.25
2020,2,JAX,1,27,32,0.7086133384071418,-0.16680070488291684,0.7037037037037037,0.40625,0.32,0.16,0.28,2.008550961196305,1.471226678680854,0.03703703703703703,0.14814814814814814,1,0
2020,2,KC,1,38,41,0.06214297133965663,0.01771225621100377,0.5,0.4634146341463415,0.2,0.22857142857142856,0.2857142857142857,-0.46465833878755736,0.3968499778013208,0.05263157894736842,0.18421052631578944,0.16666666666666666,0.16666666666666666
2020,2,LA,1,44,26,-0.2057978826871937,0.09891861858229643,0.4090909090909091,0.6153846153846154,0.11627906976744186,0.11627906976744186,0.27906976744186046,-1.1564019092522964,-0.5977623224898704,0,0.06818181818181818,0,0.2857142857142857
2020,2,LAC,1,55,16,0.16673507898134607,-0.04874365734576685,0.4727272727272727,0.25,0.08163265306122448,0.08163265306122448,0.16326530612244897,0.5904109606926803,-0.08173203613114309,0.01818181818181818,0.14545454545454545,0.3333333333333333,0
2020,2,LV,1,38,19,0.10121941162450304,0.33474992078845417,0.47368421052631576,0.7368421052631579,0.10526315789473684,0.13157894736842105,0.42105263157894735,0.1838835178874438,-0.06185203677365006,0,0.18421052631578944,0.2,0.3333333333333333
2020,2,MIA,1,37,22,0.6192064636515253,-0.0852816606347912,0.5675675675675675,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.1111111111111111,2.138901701003003,0.27409477332548604,0.02702702702702703,0.08108108108108109,0.4,0
2020,2,MIN,1,27,40,0.10596823327138195,-0.07770470765558087,0.48148148148148145,0.475,0.18518518518518515,0.2222222222222222,0.2962962962962963,1.126428862184791,0.4879322692224084,0.07407407407407407,0.07407407407407407,0.2,0.1
2020,2,NE,1,34,26,0.3985730068953298,-0.02013406917999086,0.7058823529411765,0.4230769230769231,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.9203603319125253,0.8942685216781682,0.0588235294117647,0.2058823529411765,0.6666666666666666,0
