season,week,player_id,xfp_24,fpoe_24
2023,1,00-0036997,NA,NA
2023,1,00-0037252,NA,NA
2023,1,00-0035406,NA,NA
2023,1,00-0035700,NA,NA
2023,1,00-0038794,NA,NA
2023,1,00-0034348,NA,NA
2023,1,00-0033526,NA,NA
2023,1,00-0032208,NA,NA
2023,1,00-0038976,NA,NA
2023,1,00-0038040,NA,NA
2023,1,00-0032104,NA,NA
2023,1,00-0031595,NA,NA
2023,1,00-0032392,NA,NA
2023,1,00-0031763,NA,NA
2023,1,00-0036212,NA,NA
2023,1,00-0033040,NA,NA
2023,1,00-0036613,NA,NA
2023,1,00-0036355,NA,NA
2023,1,00-0030279,NA,NA
2023,1,00-0034054,NA,NA
2023,1,00-0034798,NA,NA
2023,1,00-0034419,NA,NA
2023,1,00-0033536,NA,NA
2023,1,00-0038573,NA,NA
2023,1,00-0036370,NA,NA
2023,1,00-0035125,NA,NA
2023,1,00-0033699,NA,NA
2023,1,00-0035329,NA,NA
2023,1,00-0038544,NA,NA
2023,1,00-0036988,NA,NA
2023,1,00-0033895,NA,NA
2023,1,00-0036020,NA,NA
2023,1,00-0031687,NA,NA
2023,1,00-0036389,NA,NA
2023,1,00-0036919,NA,NA
2023,1,00-0036271,NA,NA
2023,1,00-0036972,NA,NA
2023,1,00-0033090,NA,NA
2023,1,00-0038621,NA,NA
2023,1,00-0033307,NA,NA
2023,1,00-0033045,NA,NA
2023,1,00-0035676,NA,NA
2023,1,00-0036912,NA,NA
2023,1,00-0033857,NA,NA
2023,1,00-0036275,NA,NA
2023,1,00-0034829,NA,NA
2023,1,00-0032200,NA,NA
2023,1,00-0036875,NA,NA
2023,1,00-0038608,NA,NA
2023,1,00-0034351,NA,NA
2023,1,00-0034414,NA,NA
2023,1,00-0038102,NA,NA
2023,1,00-0037247,NA,NA
2023,1,00-0037837,NA,NA
2023,1,00-0037834,NA,NA
2023,1,00-0035719,NA,NA
2023,1,00-0033288,NA,NA
2023,1,00-0036261,NA,NA
2023,1,00-0035216,NA,NA
2023,1,00-0036259,NA,NA
2023,1,00-0031428,NA,NA
2023,1,00-0033280,NA,NA
2023,1,00-0037228,NA,NA
2023,1,00-0036894,NA,NA
2023,1,00-0036336,NA,NA
2023,1,00-0036893,NA,NA
2023,1,00-0037304,NA,NA
2023,1,00-0036567,NA,NA
2023,1,00-0029604,NA,NA
2023,1,00-0036322,NA,NA
2023,1,00-0034855,NA,NA
2023,1,00-0037311,NA,NA
2023,1,00-0037256,NA,NA
2023,1,00-0032918,NA,NA
2023,1,00-0035229,NA,NA
2023,1,00-0034972,NA,NA
2023,1,00-0033921,NA,NA
2023,1,00-0038129,NA,NA
2023,1,00-0031408,NA,NA
2023,1,00-0035249,NA,NA
2023,1,00-0038994,NA,NA
2023,1,00-0037276,NA,NA
2023,1,00-0036345,NA,NA
2023,1,00-0039052,NA,NA
2023,1,00-0037487,NA,NA
2023,1,00-0038951,NA,NA
2023,1,00-0029701,NA,NA
2023,1,00-0037809,NA,NA
2023,1,00-0039032,NA,NA
2023,1,00-0031280,NA,NA
2023,1,00-0032765,NA,NA
2023,1,00-0033948,NA,NA
2023,1,00-0037545,NA,NA
2023,1,00-0030564,NA,NA
2023,1,00-0036182,NA,NA
2023,1,00-0036040,NA,NA
2023,1,00-0037239,NA,NA
2023,1,00-0033357,NA,NA
2023,1,00-0032764,NA,NA
2023,1,00-0032398,NA,NA
2023,1,00-0037742,NA,NA
2023,1,00-0034317,NA,NA
2023,2,00-0034796,NA,NA
2023,2,00-0037838,NA,NA
2023,2,00-0031235,NA,NA
2023,2,00-0034753,NA,NA
2023,2,00-0036442,NA,NA
2023,2,00-0033009,NA,NA
2023,2,00-0034970,NA,NA
2023,2,00-0036550,NA,NA
2023,2,00-0031549,NA,NA
2023,2,00-0036331,NA,NA
2023,2,00-0039064,NA,NA
2023,2,00-0036900,NA,NA
2023,2,00-0035291,NA,NA
2023,2,00-0036410,NA,NA
2023,2,00-0033897,NA,NA
2023,2,00-0034975,NA,NA
2023,2,00-0034855,NA,NA
