season,week,player_id,xfp_24,fpoe_24
2020,1,00-0031345,NA,NA
2020,1,00-0033288,NA,NA
2020,1,00-0035228,NA,NA
2020,1,00-0030564,NA,NA
2020,1,00-0022921,NA,NA
2020,1,00-0031687,NA,NA
2020,1,00-0033118,NA,NA
2020,1,00-0034775,NA,NA
2020,1,00-0033292,NA,NA
2020,1,00-0034681,NA,NA
2020,1,00-0031376,NA,NA
2020,1,00-0030472,NA,NA
2020,1,00-0031558,NA,NA
2020,1,00-0033307,NA,NA
2020,1,00-0034860,NA,NA
2020,1,00-0034011,NA,NA
2020,1,00-0032058,NA,NA
2020,1,00-0029892,NA,NA
2020,1,00-0026498,NA,NA
2020,1,00-0036277,NA,NA
2020,1,00-0033869,NA,NA
2020,1,00-0027696,NA,NA
2020,1,00-0031428,NA,NA
2020,1,00-0025396,NA,NA
2020,1,00-0026035,NA,NA
2020,1,00-0035685,NA,NA
2020,1,00-0036309,NA,NA
2020,1,00-0034353,NA,NA
2020,1,00-0025394,NA,NA
2020,1,00-0030578,NA,NA
2020,1,00-0033094,NA,NA
2020,1,00-0035229,NA,NA
2020,1,00-0029293,NA,NA
2020,1,00-0033572,NA,NA
2020,1,00-0036290,NA,NA
2020,1,00-0033556,NA,NA
2020,1,00-0034426,NA,NA
2020,1,00-0036275,NA,NA
2020,1,00-0030155,NA,NA
2020,1,00-0034855,NA,NA
2020,1,00-0036232,NA,NA
2020,1,00-0034791,NA,NA
2020,1,00-0033923,NA,NA
2020,1,00-0034854,NA,NA
2020,1,00-0034796,NA,NA
2020,1,00-0036331,NA,NA
2020,1,00-0034753,NA,NA
2020,1,00-0031382,NA,NA
2020,1,00-0032392,NA,NA
2020,1,00-0033885,NA,NA
2020,1,00-0035662,NA,NA
2020,1,00-0031235,NA,NA
2020,1,00-0033376,NA,NA
2020,1,00-0035703,NA,NA
2020,1,00-0030663,NA,NA
2020,1,00-0031598,NA,NA
2020,1,00-0032977,NA,NA
2020,1,00-0035039,NA,NA
2020,1,00-0029665,NA,NA
2020,1,00-0033106,NA,NA
2020,1,00-0030431,NA,NA
2020,1,00-0033077,NA,NA
2020,1,00-0031544,NA,NA
2020,1,00-0033045,NA,NA
2020,1,00-0035261,NA,NA
