position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
TE,model22_gap_vs_base_232,0.021453060143342473,0.01780784466721652,0.005006137597970158,0.00503206547514808,2025
TE,roll5_targets,0.019876137420648348,0.011809305182613214,0.0030590667489157988,0.003094412805986583,2025
TE,xfp_gap_vs_base_232,0.019318852320845775,0.02545748082400756,0.006774531536058559,0.004333442334648274,2025
TE,wr_volume_matchup,0.013673934980105606,0.018597040889919647,0.005231141099221219,0.004661688845533011,2025
TE,legacy_gap_vs_base_232,0.011685435244252584,0.0021513600857749893,3.6028332962364146e-4,0.00424796025235008,2025
TE,direct_gap_vs_base_232,0.01165412613121708,0.008424505660350393,0.0021530633669872845,0.004050346825972458,2025
TE,tw_draft_capital_log_24,0.006465332771681709,0.001173475404378621,3.79350048692606e-4,0.0013371801239816516,2025
TE,roll3_ngs_cushion,0.005523792605760303,0.0014496745985693356,4.557198088254906e-4,0.001265592878656685,2025
TE,expected_team_plays,0.004816628742816705,0.003686648086972314,9.694400005843725e-4,0.002030026224284572,2025
TE,matchup_abs_232,0.002978317748961364,-0.0024811788798875987,-6.528736519820036e-4,-7.354947409950648e-5,2025
TE,tw_college_missing_24,0.0026130530451693446,-0.001035675195523389,-2.478593909558402e-4,7.961533465813038e-5,2025
TE,season_targets_prior,-4.2701970122867766e-7,-3.207888680615648e-8,-2.1589974030788994e-8,0,2025
TE,roll3_team_carries,-9.790041917545622e-5,-8.198541940345194e-4,-2.1941375216250059e-4,-4.6609134722138307e-4,2025
TE,roll3_rec_td_rate,-1.5849828094127716e-4,-5.05990171098721e-5,-1.4900271887404356e-5,-7.82190372217162e-6,2025
TE,season_to_date_rec_td_rate,-0.0017763968325595532,6.217588039646079e-4,1.4344004862657891e-4,-0.0010126036692279146,2025
TE,projected_opportunities_232,-0.0018161057245060046,0.012281253577148673,9.89922920806278e-4,0.0026159633044634534,2025
TE,favorite_rush_interaction,-0.003243135185672763,-0.003492005453471947,-9.398397040848069e-4,-5.489380375281646e-4,2025
TE,roll3_carry_share,-0.004232225341080624,-0.006591153026468177,-0.0017936967355639173,-0.0012985095072211017,2025
TE,roll5_fppg,-0.0051987404496639895,0.0013068470875804057,-2.3482913745568693e-4,-4.201134452749278e-4,2025
