position,promoted_for_2026,seasons_tested,n,locked_MAE,model24_MAE,locked_RMSE,model24_RMSE,locked_correlation,model24_correlation,locked_rank_correlation,model24_rank_correlation,locked_starter_MAE,model24_starter_MAE,MAE_improvement_pct,RMSE_improvement_pct
QB,FALSE,4,2624,6.081912763841297,6.041765757604815,7.596404340713128,7.592396309327311,0.5496683908757005,0.5513839984430847,0.5327554629368143,0.5304552043282648,6.592884794254318,6.643133845436161,0.6601049340129818,0.05276221757095331
RB,FALSE,4,6166,4.180560245051397,4.161900013580322,5.799371579252324,5.792746853482055,0.6307982814521234,0.6318356698094519,0.6953908872621554,0.6953325929325125,6.039170936927346,6.064772933391532,0.4463571956214079,0.11423178666408651
WR,FALSE,4,9815,3.918635168745684,3.9135150832994445,5.409057947041024,5.412528229604622,0.574702900360504,0.5744973998029647,0.6336527334091879,0.6335787755963307,5.831148689306902,5.840540599404029,0.13065991667396126,-0.06415687532977471
TE,TRUE,4,4905,3.0332823933310054,3.016467807191945,4.310310414895011,4.282400173582694,0.5229281491466214,0.5320008751197419,0.5623980974411392,0.5679639696183184,4.882015193078255,4.818262037182616,0.5543363247691401,0.6475227681020033
