position,cohort,base_n,base_MAE,base_RMSE,base_correlation,base_rank_correlation,candidate_n,candidate_MAE,candidate_RMSE,candidate_correlation,candidate_rank_correlation,MAE_improvement_pct,RMSE_improvement_pct
QB,All,2624,6.081912763841297,7.596404340713128,0.5496683908757005,0.5327554629368143,2624,6.052362254020746,7.565682781883292,0.5547565452363792,0.5346939456708173,0.48587526602217684,0.40442237474356807
QB,Relevant,1728,6.139443487139665,7.71889794851611,0.31659363276704333,0.3019898307963817,1728,6.136724223674676,7.702947570452053,0.3188985429336572,0.30177883555366686,0.04429169306117841,0.2066406133420101
QB,Starter,864,6.592884794254318,8.272558041615682,0.2320837392919718,0.22926677969388706,864,6.574059665552525,8.240918196217716,0.23719045221634585,0.23036390807830023,0.2855370492473783,0.3824674935950731
RB,All,6166,4.180560245051397,5.799371579252324,0.6307982814521234,0.6953908872621554,6166,4.0667655276073225,5.770448753965815,0.6376210130864827,0.7013433837855138,2.7219968323330623,0.4987234373803973
RB,Relevant,4320,4.9523327084552,6.554367976154668,0.534792177711466,0.5839431242151502,4320,4.852688258885198,6.52679613831972,0.5443390601733387,0.5921431545193339,2.012070986262225,0.4206635626082747
RB,Starter,1728,6.039170936927346,7.74193782210512,0.27057989964042883,0.27680932474514985,1728,5.9772778194236595,7.7104340871082755,0.28563119308280904,0.2913925454863449,1.0248611630651534,0.40692312080954346
WR,All,9815,3.918635168745684,5.409057947041024,0.574702900360504,0.6336527334091879,9815,3.8141068062044683,5.389286380455422,0.5805105495461259,0.6395124167548025,2.667468596589827,0.3655269878633456
WR,Relevant,5760,4.902335737413967,6.369780404784952,0.4363406183721377,0.46453465972566416,5760,4.8162065693583935,6.348855400607146,0.44475687149281773,0.47173444276695775,1.7569006422438054,0.32850432586478123
WR,Starter,2592,5.831148689306902,7.393588989398906,0.2388686870443412,0.23245356721271812,2592,5.760094737061021,7.365283671543389,0.2515001263747084,0.24409622808382844,1.2185241027411848,0.38283596635006745
TE,All,4905,3.016467807191945,4.282400173582694,0.5320008751197419,0.5679639696183184,4905,2.939761794851259,4.272866034163469,0.5388321203511517,0.5754511272176588,2.542908369776114,0.22263541548590587
TE,Relevant,2592,3.8775535374416594,5.179928341292967,0.40763533348301606,0.43483133576012506,2592,3.801732985092313,5.16799173251853,0.41730380740706885,0.4468290378207142,1.9553708702464887,0.2304396506662306
TE,Starter,864,4.818262037182616,6.352791765906347,0.23895633873886524,0.22835041897107985,864,4.761547506102342,6.347040174061273,0.24811487687623898,0.246619725886076,1.1770744439095941,0.09053644534583245
