feature,importance,importance_pct,position,model_type
career_fppg_before,41.075991912577855,9.294831589368611,QB,Fantasy tier classifier
recent_weighted_fppg,40.30166070845917,9.119612981087787,QB,Fantasy tier classifier
prior_fppg,31.879164874637922,7.2137386079468335,QB,Fantasy tier classifier
prior_fantasy_points,29.506928280064663,6.67693989390424,QB,Fantasy tier classifier
peak_fppg_before,23.674359817300985,5.357124131201977,QB,Fantasy tier classifier
two_year_fppg,21.457402736167875,4.855462655714135,QB,Fantasy tier classifier
prior_pass_yd_pg,16.51397235079475,3.736844436984256,QB,Fantasy tier classifier
prior_carries_pg,10.534709681749506,2.3838341516658335,QB,Fantasy tier classifier
two_year_carries_pg,10.416124548275732,2.357000256893738,QB,Fantasy tier classifier
prior_rush_yd_pg,9.48129788459728,2.1454641259431946,QB,Fantasy tier classifier
age_squared,9.327710144061776,2.110709708192128,QB,Fantasy tier classifier
draft_capital_score,9.098320125228149,2.058802462765688,QB,Fantasy tier classifier
prior_games,8.890158142942553,2.011698778142036,QB,Fantasy tier classifier
age,8.799148923149552,1.9911048659400825,QB,Fantasy tier classifier
career_games_before,8.591165262744212,1.9440415326693379,QB,Fantasy tier classifier
player_qb_prior_redzone_throw_rate,8.251295073017817,1.867134414212479,QB,Fantasy tier classifier
prior_pass_td_rate,8.044861873644662,1.8204219251577596,QB,Fantasy tier classifier
player_qb_prior_wr_target_rate,7.957320857969487,1.8006128113670379,QB,Fantasy tier classifier
player_qb_prior_middle_throw_rate,7.440293058677902,1.683617795600526,QB,Fantasy tier classifier
prior_pass_attempts_pg,7.313141686525689,1.6548454997780102,QB,Fantasy tier classifier
draft_pick,7.178446838839608,1.6243662376371875,QB,Fantasy tier classifier
player_qb_prior_te_target_rate,6.961098708959858,1.5751838766172486,QB,Fantasy tier classifier
experience,6.795334152656081,1.5376740427072313,QB,Fantasy tier classifier
two_year_pass_attempts_pg,6.666152633753309,1.5084423575609394,QB,Fantasy tier classifier
fppg_trend,6.488344137134668,1.4682071750546586,QB,Fantasy tier classifier
player_qb_prior_avg_air_yards,6.205248407936402,1.4041471973390225,QB,Fantasy tier classifier
two_year_games,6.065340625507222,1.3724883325089547,QB,Fantasy tier classifier
weight,5.327907471865735,1.2056191553481774,QB,Fantasy tier classifier
player_qb_prior_rb_target_rate,5.035624144675615,1.1394801730347497,QB,Fantasy tier classifier
player_qb_prior_ngs_time_to_throw,5.010432892349857,1.1337798007006732,QB,Fantasy tier classifier
prior_yards_per_carry,5.006298882164734,1.1328443411616502,QB,Fantasy tier classifier
player_qb_prior_deep_throw_rate,4.97446332713478,1.1256404707551295,QB,Fantasy tier classifier
height,4.818298667380522,1.0903029379277749,QB,Fantasy tier classifier
player_qb_prior_ngs_cpoe,3.9669167366220006,0.8976489983351738,QB,Fantasy tier classifier
draft_round,3.8989044272001494,0.8822589144286046,QB,Fantasy tier classifier
prior_yards_per_target,3.8499728234936925,0.871186485141511,QB,Fantasy tier classifier
player_qb_prior_ngs_aggressiveness,3.567220878862195,0.8072043003044483,QB,Fantasy tier classifier
player_qb_context_available,3.410713785421216,0.7717892802807923,QB,Fantasy tier classifier
prior_yards_per_attempt,3.2809368198746487,0.7424228552045116,QB,Fantasy tier classifier
prior_rec_td_rate,3.0799220287756452,0.6969364641706962,QB,Fantasy tier classifier
prior_rush_td_rate,2.969274845627866,0.6718987989723615,QB,Fantasy tier classifier
years_since_last_season,2.8767361111111107,0.6509587823646761,QB,Fantasy tier classifier
is_rookie,2.477000997130072,0.560505201286988,QB,Fantasy tier classifier
prior_target_share,2.28178666499653,0.5163313601567698,QB,Fantasy tier classifier
prior_catch_rate,2.2200984314980747,0.5023723121894287,QB,Fantasy tier classifier
prior_rec_yd_pg,2.119676299971051,0.47964841053963564,QB,Fantasy tier classifier
prior_wopr,1.903575984096726,0.4307484096160754,QB,Fantasy tier classifier
prior_targets_pg,1.822937388916595,0.41250120177267635,QB,Fantasy tier classifier
prior_air_yards_share,1.6658044462384485,0.3769445622046357,QB,Fantasy tier classifier
two_year_targets_pg,1.4434304990594506,0.3266249401419236,QB,Fantasy tier classifier
recent_weighted_fppg,15.582087950117256,5.4778985894159655,QB,Breakout/upside classifier
prior_pass_yd_pg,15.064962085857646,5.296102475092473,QB,Breakout/upside classifier
prior_fppg,14.243151652523423,5.007194196051795,QB,Breakout/upside classifier
fppg_trend,13.916884343765373,4.892494597632136,QB,Breakout/upside classifier
prior_pass_attempts_pg,10.258001550018232,3.6062106953162725,QB,Breakout/upside classifier
prior_fantasy_points,10.094878805851888,3.548864731602613,QB,Breakout/upside classifier
player_qb_prior_redzone_throw_rate,9.084908154050918,3.19380853973903,QB,Breakout/upside classifier
prior_pass_td_rate,8.453936159700007,2.9719897046200927,QB,Breakout/upside classifier
player_qb_prior_deep_throw_rate,8.419956501255255,2.9600441217393376,QB,Breakout/upside classifier
peak_fppg_before,8.169356473708831,2.8719454316408886,QB,Breakout/upside classifier
player_qb_prior_avg_air_yards,8.019400552924377,2.8192282778442084,QB,Breakout/upside classifier
player_qb_prior_wr_target_rate,7.255720858015965,2.550755917984827,QB,Breakout/upside classifier
prior_yards_per_attempt,6.9849122836735225,2.4555528930666517,QB,Breakout/upside classifier
two_year_pass_attempts_pg,6.829330615910662,2.40085800229813,QB,Breakout/upside classifier
prior_carries_pg,6.717309863226768,2.3614769947542857,QB,Breakout/upside classifier
prior_games,6.565726676064175,2.308187773836309,QB,Breakout/upside classifier
prior_yards_per_carry,6.557711799079053,2.305370135823246,QB,Breakout/upside classifier
prior_rush_yd_pg,6.554758421094855,2.3043318728417095,QB,Breakout/upside classifier
draft_capital_score,6.485182272564293,2.2798723083011505,QB,Breakout/upside classifier
career_fppg_before,6.454239647702158,2.268994397611149,QB,Breakout/upside classifier
age,6.319872625038817,2.2217575365263036,QB,Breakout/upside classifier
draft_pick,6.211899773387058,2.1837995726352104,QB,Breakout/upside classifier
two_year_carries_pg,5.9645498318824295,2.0968434535324345,QB,Breakout/upside classifier
two_year_fppg,5.907567169642185,2.0768111416813992,QB,Breakout/upside classifier
player_qb_prior_middle_throw_rate,5.267486874612227,1.851790274357186,QB,Breakout/upside classifier
age_squared,5.212932353321101,1.8326115778831567,QB,Breakout/upside classifier
prior_rush_td_rate,5.204031855078766,1.8294825988321546,QB,Breakout/upside classifier
player_qb_prior_rb_target_rate,4.866777380556099,1.7109204513089127,QB,Breakout/upside classifier
weight,4.775117913314596,1.678697474008552,QB,Breakout/upside classifier
player_qb_prior_te_target_rate,4.522064844870969,1.5897364149314666,QB,Breakout/upside classifier
height,4.289637859124532,1.5080264758373907,QB,Breakout/upside classifier
career_games_before,4.288741315292337,1.5077112949573024,QB,Breakout/upside classifier
experience,3.9785067235513227,1.3986480142258293,QB,Breakout/upside classifier
player_qb_context_available,3.899417781274588,1.3708442175380522,QB,Breakout/upside classifier
draft_round,3.742463928401169,1.3156669337227447,QB,Breakout/upside classifier
player_qb_prior_ngs_time_to_throw,3.655109650411874,1.2849574500060001,QB,Breakout/upside classifier
two_year_games,3.47215056857962,1.220638001964237,QB,Breakout/upside classifier
player_qb_prior_ngs_aggressiveness,3.1781364836496326,1.1172770566106793,QB,Breakout/upside classifier
prior_catch_rate,2.8193469670524074,0.9911442435270266,QB,Breakout/upside classifier
prior_target_share,2.753832062883112,0.9681124134999085,QB,Breakout/upside classifier
prior_yards_per_target,2.7377936503557403,0.9624740935493719,QB,Breakout/upside classifier
player_qb_prior_ngs_cpoe,2.412975724866098,0.8482840272660315,QB,Breakout/upside classifier
prior_targets_pg,2.297366972091047,0.8076416547047968,QB,Breakout/upside classifier
prior_wopr,1.7684341597962274,0.6216947960013193,QB,Breakout/upside classifier
prior_rec_yd_pg,1.6995317236906664,0.5974720757369829,QB,Breakout/upside classifier
prior_air_yards_share,1.2734880437302223,0.4476959943186168,QB,Breakout/upside classifier
two_year_targets_pg,0.2220989381031149,0.07807910362466423,QB,Breakout/upside classifier
recent_weighted_fppg,122.09244291609886,11.15425653092994,RB,Fantasy tier classifier
prior_fppg,105.08976112516353,9.600906709432866,RB,Fantasy tier classifier
prior_fantasy_points,100.86336193910941,9.214786654846383,RB,Fantasy tier classifier
career_fppg_before,88.31162321641833,8.068071016448402,RB,Fantasy tier classifier
rb_prior_touch_opportunity,83.14844205142104,7.596367397006355,RB,Fantasy tier classifier
prior_rush_yd_pg,73.8808183770282,6.749685576024734,RB,Fantasy tier classifier
peak_fppg_before,44.26794755556277,4.044280148213758,RB,Fantasy tier classifier
prior_carries_pg,43.86074144425002,4.007078161603775,RB,Fantasy tier classifier
draft_capital_score,31.569306064094413,2.88414360407494,RB,Fantasy tier classifier
draft_pick,31.373310329686422,2.866237608844285,RB,Fantasy tier classifier
two_year_fppg,24.603834528124946,2.2477843461601377,RB,Fantasy tier classifier
age_squared,24.54026061904042,2.2419762906108676,RB,Fantasy tier classifier
age,24.199165835690614,2.2108141758724456,RB,Fantasy tier classifier
draft_round,22.829963750240957,2.0857250963273275,RB,Fantasy tier classifier
two_year_carries_pg,19.766743180553355,1.8058720011722336,RB,Fantasy tier classifier
career_games_before,19.44651063314098,1.7766158416747497,RB,Fantasy tier classifier
prior_wopr,18.888477606452128,1.7256344427957369,RB,Fantasy tier classifier
prior_target_share,17.558931597965792,1.6041683070208823,RB,Fantasy tier classifier
prior_targets_pg,16.84226527376643,1.5386943117737593,RB,Fantasy tier classifier
experience,14.395196226382202,1.3151322693451453,RB,Fantasy tier classifier
two_year_targets_pg,13.604983380251523,1.2429391295466818,RB,Fantasy tier classifier
two_year_games,13.321315755200517,1.2170235086960701,RB,Fantasy tier classifier
prior_rec_yd_pg,12.790250786396166,1.168505887497314,RB,Fantasy tier classifier
prior_yards_per_target,11.74740774551177,1.0732326787573339,RB,Fantasy tier classifier
prior_yards_per_carry,10.20073663073458,0.9319301872095185,RB,Fantasy tier classifier
prior_catch_rate,10.06258825171293,0.9193090746972679,RB,Fantasy tier classifier
fppg_trend,9.59188130428572,0.8763057084192903,RB,Fantasy tier classifier
weight,9.028260344627705,0.8248138009753986,RB,Fantasy tier classifier
rb_receiving_fit,8.466487451214482,0.7734907312129242,RB,Fantasy tier classifier
prior_rush_td_rate,8.372677325451226,0.7649203219151004,RB,Fantasy tier classifier
rec_prior_short_target_rate,7.537070433868627,0.6885800226704509,RB,Fantasy tier classifier
prior_air_yards_share,7.391784870317949,0.675306863354615,RB,Fantasy tier classifier
prior_games,7.300460064582787,0.6669635106746514,RB,Fantasy tier classifier
rec_prior_redzone_target_rate,7.244401063027121,0.661842010364846,RB,Fantasy tier classifier
rec_prior_route_screen,7.202388912265667,0.6580038177968474,RB,Fantasy tier classifier
height,5.102318456844366,0.466143256788224,RB,Fantasy tier classifier
receiver_context_available,4.755561557481491,0.4344638561882925,RB,Fantasy tier classifier
prior_rec_td_rate,4.625899918173747,0.42261808463588474,RB,Fantasy tier classifier
is_rookie,3.087504659600627,0.28207166791881666,RB,Fantasy tier classifier
prior_pass_td_rate,1.5065205085865778,0.13763436802906312,RB,Fantasy tier classifier
prior_pass_attempts_pg,1.4422026328634248,0.1317583443522044,RB,Fantasy tier classifier
two_year_pass_attempts_pg,1.050135901437037,0.09593947796603187,RB,Fantasy tier classifier
years_since_last_season,1.038316970546984,0.09485971099667426,RB,Fantasy tier classifier
prior_pass_yd_pg,0.5813704952086164,0.05311348915777666,RB,Fantasy tier classifier
draft_pick,24.21759710601606,4.689461189969167,RB,Breakout/upside classifier
draft_capital_score,23.7020288975301,4.589627292580716,RB,Breakout/upside classifier
career_fppg_before,22.798363797116494,4.414642862929499,RB,Breakout/upside classifier
age_squared,22.259512748276496,4.310300509324087,RB,Breakout/upside classifier
prior_fantasy_points,22.020754467525755,4.2640676941334235,RB,Breakout/upside classifier
age,21.787383075416464,4.21887798842667,RB,Breakout/upside classifier
peak_fppg_before,20.069215155743652,3.886174386913944,RB,Breakout/upside classifier
career_games_before,19.822501422261848,3.8384010891284297,RB,Breakout/upside classifier
recent_weighted_fppg,19.24647333942246,3.726859827335095,RB,Breakout/upside classifier
prior_fppg,17.98102430972356,3.481820070224635,RB,Breakout/upside classifier
draft_round,17.51576285611458,3.391727501571491,RB,Breakout/upside classifier
two_year_carries_pg,17.397933204548654,3.368911134793767,RB,Breakout/upside classifier
rb_prior_touch_opportunity,15.731591585545148,3.046243104710545,RB,Breakout/upside classifier
prior_target_share,15.426516569083672,2.98716881078029,RB,Breakout/upside classifier
prior_carries_pg,14.52807785117116,2.8131964104313822,RB,Breakout/upside classifier
experience,14.463959672133859,2.8007806570909226,RB,Breakout/upside classifier
prior_targets_pg,14.036506769819207,2.718009282739902,RB,Breakout/upside classifier
prior_rush_yd_pg,13.75671981535034,2.6638317333035264,RB,Breakout/upside classifier
prior_wopr,12.961439056771644,2.509834694036671,RB,Breakout/upside classifier
two_year_fppg,12.740215865553,2.4669973487377335,RB,Breakout/upside classifier
prior_catch_rate,11.767746365839978,2.278689732694353,RB,Breakout/upside classifier
prior_yards_per_target,11.595769256714137,2.2453883289556487,RB,Breakout/upside classifier
two_year_games,11.349603445944549,2.1977211301477824,RB,Breakout/upside classifier
