feature,importance,importance_pct,position,family
season_to_date_fppg,68634.6370079743,11.629933078618032,QB,legacy21
roll3_fppg,68186.74717206604,11.5540394912796,QB,legacy21
roll5_fppg,67048.91898525895,11.361237922794661,QB,legacy21
roll3_offense_snaps,46931.56700456197,7.952413057481734,QB,legacy21
roll3_pass_attempt_share,42297.86985812831,7.167246994560097,QB,legacy21
prior_game_fppg,38342.701450445194,6.4970555882782435,QB,legacy21
roll3_offense_pct,34200.64644852783,5.795196809966977,QB,legacy21
roll5_offense_pct,33338.62763793271,5.649130311814355,QB,legacy21
roll5_pass_attempts,23203.953706685967,3.931840256352706,QB,legacy21
roll3_pass_attempts,18524.092899834683,3.1388518998381336,QB,legacy21
preseason_prior_fppg,16559.49616176916,2.805956883761648,QB,legacy21
implied_team_total,15125.20276532327,2.5629201760155085,QB,legacy21
qb_pressure_matchup,9927.11574442049,1.6821199441601473,QB,legacy21
team_spread_line,6778.091470754515,1.148527239919226,QB,legacy21
def_pass_epa_allowed_roll8,4653.03262082621,0.7884424009782148,QB,legacy21
roll3_team_pass_attempts,4570.690964443729,0.7744898546392641,QB,legacy21
qb_pass_matchup,4480.0920748028875,0.7591381449274802,QB,legacy21
roll5_carries,4186.277391924225,0.7093521294642205,QB,legacy21
roll3_fppg_sd,4121.504240814748,0.6983765135721032,QB,legacy21
roll3_carry_share,4086.84016893152,0.6925027907142478,QB,legacy21
def_pass_success_allowed_roll4,4055.5411388724656,0.6871992640857006,QB,legacy21
def_pass_epa_allowed_roll4,3981.1184321405963,0.6745885599783751,QB,legacy21
roll3_team_carries,3915.52701864155,0.6634742919822139,QB,legacy21
opportunity_per_snap,3733.24366173177,0.6325869246903859,QB,legacy21
def_sack_rate_roll4,3697.3267503480497,0.6265009119424088,QB,legacy21
opp_pos_residual_roll4,3655.004170241284,0.6193294778704409,QB,legacy21
opp_pos_fppg_allowed_roll4,3641.7943134313023,0.6170911073133071,QB,legacy21
def_qb_hit_rate_roll4,3607.2302839783692,0.6112343363447611,QB,legacy21
def_explosive_pass_rate_roll4,3542.892740410115,0.6003325328420409,QB,legacy21
opp_pos_residual_roll8,3395.9553651680753,0.5754344359727566,QB,legacy21
season_week,3039.772191566667,0.5150802670968742,QB,legacy21
def_rush_epa_allowed_roll4,2947.101632193328,0.49937751917172946,QB,legacy21
def_deep_pass_rate_roll4,2874.8205727845125,0.4871297107702882,QB,legacy21
def_redzone_pass_td_rate_roll4,2721.240215905499,0.46110598061658054,QB,legacy21
def_rush_epa_allowed_roll8,2709.1958893126625,0.4590651056537621,QB,legacy21
