position,n,topN_recall,topN_precision
QB,2624,0.5208333333333334,0.5208333333333334
RB,6166,0.6224018475750578,0.6238425925925926
TE,4905,0.4412770809578107,0.4479166666666667
WR,9815,0.4565842438182864,0.45949074074074076
