position,feature,n,coverage,outcome_pearson,outcome_spearman,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
QB,projected_opportunities_232,633,1,0.5108939957755959,0.4889852728126124,0.10807103979066617,0.5,0.10807103979066617,0.2850782238619871,2023
QB,expected_fppg_232,633,1,0.5408738173678805,0.5199018297842989,0.048373052485930323,0.5,0.048373052485930323,0.26135068556759605,2023
QB,preseason_prior_fppg,633,1,0.4621323937814731,0.4743337902137,-0.06150561758664445,0.5,0.06150561758664445,0.24893197537896358,2023
QB,roll3_fppg,633,1,0.519709288899713,0.4980021179885389,-0.03193890382001728,0.5,0.03193890382001728,0.24587432326158254,2023
QB,season_to_date_fppg,633,1,0.5332981305209407,0.5056476168030614,0.02225604455386906,0.5,0.02225604455386906,0.24391220201476468,2023
QB,prior_yards_per_carry,633,1,0.3775265158233233,0.36683048010901015,0.08742900238312384,0.5,0.08742900238312384,0.23506038177199753,2023
QB,roll5_fppg,633,1,0.5196675969538004,0.49578054911091324,-0.009934069809930472,0.5,0.009934069809930472,0.23349757174045538,2023
QB,ngs_available,633,1,0.37827908135821003,0.3814631732103133,0.06314410475278576,0.5,0.06314410475278576,0.2235950730437476,2023
QB,projected_td_points_232,633,1,0.4785233459206682,0.47779792747136807,-0.007737557324320829,0.5,0.007737557324320829,0.2227256100906609,2023
QB,xfp_gap_vs_base_232,633,1,-0.07915804937415137,-0.07947090655536844,0.22531799980594827,0.5,0.22531799980594827,0.222709857567263,2023
QB,prior_game_fppg,633,1,0.465301767698486,0.4429182029152676,0.007790426798054893,0.5,0.007790426798054893,0.2161892372744898,2023
QB,roll3_offense_snaps,633,1,0.37431087602917207,0.35528206819737584,0.05084213873682768,0.5,0.05084213873682768,0.21297298217419128,2023
QB,roll3_pass_attempt_share,633,1,0.36848214123990597,0.2934121976087625,0.06429040621198585,0.5,0.06429040621198585,0.21189597255282683,2023
QB,projected_touch_opportunities_232,633,1,0.30769729439293547,0.2968698670073776,0.08281410704941283,0.5,0.08281410704941283,0.21155765590879075,2023
QB,roll5_carries,633,1,0.31344374596241326,0.2971152852465842,0.07902751287504742,0.5,0.07902751287504742,0.21053884058410055,2023
QB,roll3_offense_pct,633,1,0.3629743958740788,0.30800990885013485,0.059566769352012466,0.5,0.059566769352012466,0.21005830346295723,2023
QB,roll5_offense_pct,633,1,0.36224612242130705,0.29159337294889853,0.061843530120816566,0.5,0.061843530120816566,0.20920944835615218,2023
QB,direct_gap_vs_base_232,633,1,-0.10533527327087643,-0.08704054595140777,0.1874277975364316,0.5,0.1874277975364316,0.20749050334796407,2023
QB,roll3_carries,633,1,0.31480719078192093,0.2911569231432424,0.07388742667689603,0.5,0.07388742667689603,0.20724220979022764,2023
QB,roll3_carry_share,633,1,0.3349796303481489,0.3023528291747726,0.06012969872315941,0.5,0.06012969872315941,0.2046500072613772,2023
QB,season_to_date_pass_ypa,633,1,0.29985300288246697,0.31027408499457115,0.060148406345571365,0.5,0.060148406345571365,0.19928805420825685,2023
QB,roll3_ngs_time_to_throw,633,1,0.31744324291769993,0.2086959532036949,0.06768078386987285,0.5,0.06768078386987285,0.19440772923805943,2023
QB,season_carries_prior,633,1,0.3382666512062638,0.35864452329545493,0.025405318125435002,0.5,0.025405318125435002,0.1928982649815713,2023
QB,roll5_pass_attempts,633,1,0.35702895519251837,0.31910045515084007,0.027869191568527775,0.5,0.027869191568527775,0.19288532191544436,2023
QB,roll3_pass_td_rate,633,1,0.32773779406999676,0.33901693530282323,-0.025305275206382167,0.5,0.025305275206382167,0.18859273653244837,2023
QB,roll3_pass_attempts,633,1,0.3568174954151538,0.3189388655857067,0.0187760171344834,0.5,0.0187760171344834,0.18782662246897833,2023
QB,season_pass_attempts_prior,633,1,0.29887212345206154,0.33939280246828846,-0.03287528404933722,0.5,0.03287528404933722,0.18760552474470113,2023
