position,feature,standardized_coefficient,raw_unit_slope,lambda,target_year
QB,projected_opportunities_232,1.1359759275744412,0.13271024224421868,5,2024
QB,roll3_pass_attempt_share,1.673922657540186,4.30854779648834,5,2024
QB,roll3_ngs_time_to_throw,0.322063502968678,0.275841596942273,5,2024
QB,roll5_pass_attempts,-1.0580608389608543,-0.07502726907654472,5,2024
QB,direct_gap_vs_base_232,0.10823989168924882,0.036838843179523476,5,2024
QB,roll3_ngs_air_yards,-0.8477484645156225,-0.23977466602301203,5,2024
QB,xfp_gap_vs_base_232,1.3997611978299873,0.5394174789757554,5,2024
QB,expected_fppg_232,-2.208998115731466,-0.4378377788959873,5,2024
QB,season_to_date_fppg,0.5508223814080608,0.08418485816371542,5,2024
QB,roll5_carries,0.625547334163464,0.22843712880630945,5,2024
QB,roll3_ngs_aggressiveness,0.2578787779426264,0.03443260899260488,5,2024
QB,opp_pos_residual_roll8,0.8940280389573585,0.2489846312743201,5,2024
QB,roll3_carry_share,-0.8597884700115999,-9.257625853493224,5,2024
QB,season_to_date_rush_ypc,0.10055226961685908,0.041096730342828694,5,2024
QB,tw_draft_capital_log_24,0.2862502781020535,0.1816524855825736,5,2024
QB,is_home,0.9028477605327889,1.8050008941432485,5,2024
QB,tw_combine_athleticism_z_24,0.5343543265554029,1.0733133849547825,5,2024
QB,season_to_date_pass_ypa,-0.04402845595535594,-0.014935744602372627,5,2024
QB,matchup_role_interaction,0.10710684484674547,0.0018790887298859868,5,2024
QB,prior_game_fppg,0.3153587733745426,0.03759483401998367,5,2024
QB,opportunity_per_snap,0.21338397135373613,1.0040384404668814,5,2024
QB,projected_touch_opportunities_232,0.040476586020878835,0.02107071381954185,5,2024
QB,opp_pos_fppg_allowed_roll4,-0.03701105339251924,-0.008607110226879374,5,2024
QB,rb_rush_matchup,-0.44457118956805713,-0.6702701649316958,5,2024
RB,roll3_carry_share,0.3368015153162567,1.438366573684603,500,2024
RB,roll3_offense_pct,0.2361693738394702,0.9519195841783812,500,2024
RB,projected_opportunities_232,-0.2988438435492776,-0.05227303503814145,500,2024
RB,direct_gap_vs_base_232,0.6139857162912594,0.3444227843068254,500,2024
RB,roll3_ngs_time_to_los,0.1530663052035471,0.10980224883051744,500,2024
RB,season_to_date_fppg,-0.03453079880905566,-0.00639516027532734,500,2024
RB,xfp_gap_vs_base_232,0.4168733796341802,0.21409229283957418,500,2024
RB,season_carries_prior,-0.12637904271585726,-0.0021190283470752212,500,2024
RB,roll3_ngs_box_rate,0.019683527175550834,0.0013716203248899477,500,2024
RB,roll5_targets,-0.05097335249925651,-0.027750517284551777,500,2024
RB,talent_prior_fppg_24,0.3026012185090951,0.07489198455049562,500,2024
RB,favorite_rush_interaction,0.19901149896827378,0.005393868260561234,500,2024
RB,tw_draft_capital_log_24,0.11221652650010729,0.09226261637824824,500,2024
RB,roll3_target_share,-0.17834292467287455,-3.1081980091858936,500,2024
RB,season_targets_prior,0.1730503722842332,0.010271335202896843,500,2024
RB,season_to_date_rush_ypc,0.04095378334595409,0.019641035598138318,500,2024
RB,roll3_rush_ypc,0.08619191888808275,0.03756592772765861,500,2024
RB,roll3_rush_td_rate,-0.3108495859245287,-5.614088136203373,500,2024
RB,season_to_date_catch_rate,-0.006988832283747115,-0.020129987556752067,500,2024
RB,opportunity_per_snap,-0.2069041350048278,-1.0655177961801836,500,2024
RB,role_fppg_trend,-0.018832433647209948,-0.011190372737981173,500,2024
RB,roll3_catch_rate,0.050357137722273355,0.13352557051620675,500,2024
RB,tw_college_missing_24,0.13369062130226206,0.6742660165466292,500,2024
RB,prior_rush_td_rate,-0.24875369342291317,-11.02223617016533,500,2024
WR,direct_gap_vs_base_232,0.6459001018999865,0.4118288789293302,500,2024
WR,projected_opportunities_232,0.01382580822766941,0.005604425595715623,500,2024
WR,roll5_targets,0.016174063814968182,0.005048395135988214,500,2024
WR,xfp_gap_vs_base_232,0.37092988377826686,0.23667282975624934,500,2024
WR,roll5_offense_pct,0.04390975683169015,0.1367684012462823,500,2024
WR,roll3_ngs_air_yard_share,0.20475052735004268,0.01157065126100906,500,2024
WR,roll3_ngs_cushion,-0.07749423627907161,-0.02367076946088524,500,2024
WR,roll3_ngs_separation,0.04851081774698339,0.030924226117223334,500,2024
WR,role_fppg_trend,-0.051505512790630585,-0.03273356248047534,500,2024
WR,roll3_rec_td_rate,-0.2665009543205935,-3.12669577335258,500,2024
WR,talent_prior_fppg_24,0.06588071977509925,0.024891525679845594,500,2024
WR,tw_draft_capital_log_24,-0.06362069537821785,-0.055627639554297635,500,2024
WR,rb_receiving_matchup,0.1395424693298533,0.017637535621365028,500,2024
WR,season_to_date_rec_td_rate,-0.15104675700088938,-2.146652618541206,500,2024
WR,matchup_role_interaction,0.2122818596395383,0.020424647260000674,500,2024
WR,season_to_date_catch_rate,0.12157690329783685,0.449119230021024,500,2024
WR,tw_early_declare_heuristic_24,0.15104594986622538,0.4929760523577037,500,2024
WR,prior_yards_per_target,-0.13169128634226485,-0.0370783102589372,500,2024
WR,implied_team_total,0.26085009878977505,0.06968103574507956,500,2024
WR,prior_catch_rate,-0.06986147870730931,-0.2570540763180528,500,2024
WR,opp_pos_residual_roll8,0.1003283110645897,0.07690944955293241,500,2024
WR,tw_age_at_draft_24,0.13200556777743516,0.01743995697723807,500,2024
WR,opp_pos_residual_roll4,-0.17215161824076927,-0.11509591931424946,500,2024
WR,tw_combine_height_in_24,0.08039873432599187,0.003218164868259077,500,2024
TE,direct_gap_vs_base_232,0.4328983416966056,0.31713158565818805,500,2024
TE,roll5_targets,0.22728593772829037,0.09710194801621203,500,2024
TE,roll3_offense_snaps,0.1272964184618241,0.0069231771605934665,500,2024
TE,tw_draft_capital_log_24,0.1872967920686694,0.18981031169923537,500,2024
TE,season_targets_prior,-0.04842982576325531,-0.002121662574521346,500,2024
TE,xfp_gap_vs_base_232,0.4567640662990923,0.3627279312676139,500,2024
TE,role_fppg_trend,-0.2733154301781005,-0.22044343868970528,500,2024
TE,roll3_ngs_cushion,-0.0939986062953512,-0.030936860475868286,500,2024
TE,tw_college_missing_24,0.025394789610950524,0.2011254138207495,500,2024
TE,roll3_rec_td_rate,-0.05124469617707013,-0.4301549814936545,500,2024
TE,projected_td_points_232,-0.4125847214792928,-0.49486627070223155,500,2024
TE,season_to_date_rec_td_rate,-0.14624065210161788,-1.371397025015575,500,2024
TE,tw_combine_missing_24,-0.046238988975508814,-0.11906907234600023,500,2024
TE,wr_volume_matchup,0.048033309968900845,2.5149245180046176,500,2024
TE,favorite_rush_interaction,0.15444579422383015,0.08216489212626998,500,2024
TE,implied_team_total,0.21765686876267534,0.05993092371839126,500,2024
TE,tw_draft_overall_24,-0.11735034453882469,-0.0020873106263167114,500,2024
TE,team_skill_questionable_count,0.1516844149753578,0.1522864501927552,500,2024
TE,roll3_target_share,0.17499969203953986,2.3732762335440434,500,2024
TE,is_home,0.09455838563700517,0.1890832356954375,500,2024
TE,def_pass_epa_allowed_roll4,0.07807062768883369,0.47757616315667095,500,2024
TE,team_spread_line,-0.02825998592658764,-0.0047433228291718236,500,2024
TE,prior_rec_td_rate,0.03965210639158463,0.6286761816522958,500,2024
TE,prior_yards_per_target,-0.08999061310618313,-0.028651243777145202,500,2024
QB,roll3_pass_attempt_share,0.37422157057257593,0.9569994773824003,500,2025
QB,projected_opportunities_232,0.378081328434756,0.04378652968064055,500,2025
QB,roll3_pass_attempts,0.030642706772991135,0.002180747188591877,500,2025
