position,feature,n,coverage,outcome_pearson,outcome_spearman,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score
QB,projected_opportunities_232,2624,1,0.5192570805615491,0.4805189738030519,0.07780887579735887,1,0.07805422642783451,0.34394796810904
QB,roll3_pass_attempt_share,2624,1,0.438496376729553,0.3856258904800311,0.09933866095464826,1,0.09176799009913347,0.32908365110842835
QB,ngs_available,2624,1,0.4300603602313921,0.42957296004396545,0.09224679574608494,1,0.08383573066636921,0.3288542511993015
QB,roll3_offense_snaps,2624,1,0.43593342905068816,0.3961948979777689,0.0972980285145882,1,0.09049031095464677,0.3288445489134855
QB,roll3_offense_pct,2624,1,0.43186273438839223,0.3687688339786389,0.09767055236552165,1,0.08950191480157066,0.32488949231198905
QB,roll5_offense_pct,2624,1,0.42773515393138134,0.367999434970391,0.09070796188342294,1,0.08291167402209067,0.320262010153845
QB,roll3_pass_attempts,2624,1,0.4164778048745872,0.3755220354210881,0.08945575924482758,1,0.09419547881999263,0.319703288670128
QB,roll5_pass_attempts,2624,1,0.4126343521244282,0.3666425667372305,0.083151542422844,1,0.0796633116431392,0.31365581664545844
QB,roll3_ngs_time_to_throw,2624,1,0.3978784932504871,0.31821908209353533,0.09439112518474625,1,0.08434061734411566,0.3107144867038593
QB,projected_td_points_232,2624,1,0.4414256587528436,0.45519988353155694,-0.025274929155150044,1,0.019015456073786546,0.29735586832649485
QB,roll3_ngs_air_yards,2624,1,0.3733942717738509,0.31344944873386443,0.07770230494060296,1,0.06467275701184189,0.29625821569181243
QB,prior_game_fppg,2624,1,0.4302280187930817,0.4312298527199877,0.030460058865243854,1,0.02624577855504094,0.29552023005401706
QB,roll3_ngs_aggressiveness,2624,1,0.29736294917374784,0.26751330297164444,0.07590485712086373,1,0.06135763923115361,0.275919876835376
QB,expected_fppg_232,2624,1,0.5186548519225734,0.49862953957220135,0.016988721614291,0.75,0.017594195769226585,0.275097762398081
QB,season_to_date_fppg,2624,1,0.504906833540864,0.49332334601103006,0.020479526285966356,0.75,0.03201849392858127,0.27499966778022206
QB,season_carries_prior,2624,1,0.33522560418156294,0.3802609765937386,0.03465973403256464,1,0.01968680375190184,0.2735374866337742
QB,season_to_date_pass_ypa,2624,1,0.29587004524140353,0.3292553322890593,0.04654235785909357,1,0.05643270493408145,0.26935457954813996
QB,season_to_date_rush_ypc,2624,1,0.2675393861175432,0.295787813733521,0.05595969995613707,1,0.04771477460697747,0.2636049695901397
QB,roll3_pass_ypa,2624,1,0.2903620043081697,0.3063778116501195,0.04043259491796386,1,0.04284253015134502,0.26150941890170315
QB,projected_touch_opportunities_232,2624,1,0.30163278482477224,0.3231534288172304,0.03006281713237282,1,0.012703867442786811,0.2578709671803731
QB,roll3_rush_ypc,2624,1,0.24424401626697298,0.2759675757201776,0.047650080234199615,1,0.04725083156377702,0.253247651276244
QB,preseason_prior_fppg,2624,1,0.43292903367359115,0.43485928199168494,0.00767003660501284,0.75,0.04251568895216515,0.2503134252677209
QB,roll5_carries,2624,1,0.33126275376190784,0.3445257913441468,0.054222885807842056,0.75,0.0657510014153895,0.2444457893935089
QB,roll3_carry_share,2624,1,0.33090285693842064,0.3378308294561105,0.04624741364554327,0.75,0.06279023340730427,0.23969257326487386
QB,roll3_carries,2624,1,0.32173915867873554,0.33303658450505785,0.045983832694165803,0.75,0.05908552215642667,0.2369787156307966
QB,prior_pass_td_rate,2624,1,0.16690948807581873,0.19826729606867388,-0.05016615350175854,1,0.05111250709690408,0.23152180316736998
QB,season_pass_attempts_prior,2624,1,0.31880536603721926,0.36748493881194677,0.027615817413595443,0.75,0.03634148114955452,0.23004442449520648
QB,roll5_fppg,2624,1,0.49447822099924926,0.48172246441169964,0.0042157057490224865,0.5,0.02496747035975784,0.22620659013230474
QB,roll3_fppg,2624,1,0.4932006056258505,0.48252864822249075,0.0029229034204560135,0.5,0.028894289548662563,0.22588428229342344
QB,direct_gap_vs_base_232,2624,1,-0.03570552088201948,0.0056215096434005345,0.11224877991795441,1,0.10025333426113145,0.2176388593051642
QB,prior_yards_per_attempt,2624,1,0.12470718450265696,0.167905238931922,-0.037550358175528445,1,0.0355449677361414,0.2130480798349108
QB,model_disagreement_23,2624,1,-0.07446849792368228,-0.08801040946313102,-0.06214067798304105,1,0.07063378733013045,0.20899226258722003
QB,opp_pos_residual_roll8,2624,1,0.07341795975716056,0.07671628698763445,0.060964062656052344,1,0.058726830465129956,0.2057276984365416
QB,season_to_date_pass_td_rate,2624,1,0.23705452092126778,0.3648349254034315,0.010118030746704703,0.75,0.021485039372843254,0.2056516225875414
QB,calibrated_matchup_delta_23,2624,1,0.102490325211331,0.11059836354658198,0.03777053756596799,1,0.06369076108605284,0.2050858801769203
QB,is_home,2624,1,0.05129385906267374,0.04992896164452795,0.06757269691600712,1,0.062417729679880754,0.2018738566088159
QB,favorite_rush_interaction,2624,1,0.248129847410313,0.2458239414038345,0.02488240757241461,0.75,0.0393777094782892,0.20179709985773198
QB,qb_pressure_matchup,2624,1,0.3102948138151136,0.3232791108787305,0.05626680872839447,0.5,0.06486479323430536,0.20145310304337616
QB,opportunity_per_snap,2624,1,0.18972618873257016,0.15655263129370953,0.05624523625881314,0.75,0.049295646662014,0.19567695070977506
QB,implied_team_total,2624,1,0.23472117458080025,0.2322539436859648,0.020758189531374392,0.75,0.024374326884854823,0.19439890264446377
QB,matchup_abs_232,2624,1,-0.057914438085275695,-0.0501793111190922,-0.04047236417293062,1,0.0225186803708915,0.1869105481045486
QB,prior_catch_rate,2624,1,-0.05689586106929098,-0.08689552085569122,-0.028499011476927835,1,0.02775977119698807,0.18626924977947165
QB,legacy_gap_vs_base_232,2624,1,-0.02594327307590579,-0.027082360597624255,0.05235882816525642,1,0.0421388687621748,0.18569503197596082
QB,def_pass_success_allowed_roll4,2624,1,0.0432520747986637,0.0400158851899172,0.04153692510723906,1,0.032830596027737566,0.18456195558758084
QB,games_played_prior,2624,1,0.28536998472527914,0.30229468340289717,0.031009937762825523,0.5,0.02693113039982139,0.17928954429215152
QB,rb_receiving_matchup,2624,1,0.03316802426801993,0.03169546682256797,0.029664323818483645,1,0.025819817537999702,0.17570462785906935
QB,model22_gap_vs_base_232,2624,1,0.009182308903175385,0.008395353400313534,0.03828924129503656,1,0.0173090302257407,0.1716213196159497
QB,injury_risk,2624,1,-0.00531849273881256,-0.002933542777533091,-0.03630705632880362,1,0.03520691577461844,0.1711682207517137
QB,roll3_fppg_sd,2624,1,0.24818268210966804,0.2705216750418959,0.024760418760005773,0.5,0.04661117516974561,0.16793878974374493
QB,matchup_role_interaction,2624,1,0.08289680002196832,0.08469307503380163,0.051130545207534905,0.75,0.07248859827032418,0.1678421981784336
QB,role_5_vs_prior_232,2624,1,0.2902067766121665,0.2864550751307173,-5.986321766215168e-4,0.5,0.038727157053721845,0.16575392899072788
QB,roll3_pass_td_rate,2624,1,0.23801748563051897,0.3550653748500582,0.0031973428167408695,0.5,0.03607523407278265,0.16549732007031204
QB,def_deep_epa_allowed_roll4,2624,1,0.01431651996442416,0.007875348509448425,0.01924571614968609,1,0.02106329854498524,0.16428891753658742
