player_id,player_display_name,position,current_team,dynasty_value,year1_fppg,year3_fppg,elite_probability,starter_probability,breakout_probability,confidence,overall_rank,age,is_rookie,projected_fppg,model_version,gsis_id,normalized_name,dynasty_replacement_fppg,dynasty_year1_surplus,dynasty_career_surplus_points,dynasty_career_projected_points,dynasty_elite_multiplier,dynasty_format_multiplier,dynasty_age_survival_year4,dynasty_value_method,model_dynasty_value,model_dynasty_rank,sleeper_id,market_rank_proxy,market_value_proxy,model_market_gap,model_market_gap_pct,value_signal
00-0039075,Puka Nacua,WR,LA,973.8264705764932,14.539056789751507,14.539056789751507,0.8224034779177342,0.9349944451027792,0.10643130155166285,High,18,25.259411362080765,0,14.539056789751507,2.2,00-0039075,pukanacua,8.41620867380963,6.122848115941878,378.43230986787717,1081.8289706114583,1.9,1,0.9645185996582797,career_surplus_v2,20000,1,NA,NA,NA,NA,NA,MODEL
00-0038543,Jaxon Smith-Njigba,WR,SEA,937.4809723249896,13.29707385253668,13.29707385253668,0.7534942022914112,0.8008226161770149,0.0798715645954408,High,23,24.54483230663929,0,13.29707385253668,2.2,00-0038543,jaxonsmithnjigba,8.41620867380963,4.880865178727051,326.49141802357747,1061.5246774147058,1.8481675579911607,1,1,career_surplus_v2,16890.641757599537,2,NA,NA,NA,NA,NA,MODEL
00-0036900,Ja'Marr Chase,WR,CIN,920.4647307205717,14.469795306449871,14.02690768809146,0.7203704783552609,0.8281449303475483,0.07011809502464342,High,25,26.50239561943874,0,14.469795306449871,2.2,00-0036900,jamarrchase,8.41620867380963,6.053586632640242,323.29802702063216,961.0979805965661,1.8520657864337378,1,0.8112112970359302,career_surplus_v2,16153.12882217626,3,NA,NA,NA,NA,NA,MODEL
00-0038542,Bijan Robinson,RB,ATL,1059.774277771523,19.176955333962873,15.254695126457111,0.7406013104560439,0.9486167813490272,0.16186709155133647,Medium,9,24.58590006844627,0,19.176955333962873,2.2,00-0038542,bijanrobinson,10.235634182500744,8.941321151462128,311.38984276435593,878.5032621773278,1.8459028934703134,1,0.5615654635907379,career_surplus_v2,14873.736992407894,4,NA,NA,NA,NA,NA,MODEL
00-0039139,Jahmyr Gibbs,RB,DET,1066.692357209153,18.911071653351932,15.474519752389536,0.6338566222658436,0.9612707256829612,0.16146805024558142,Medium,8,24.451745379876797,0,18.911071653351932,2.2,00-0039139,jahmyrgibbs,10.235634182500744,8.675437470851188,313.6466299209184,893.9758012014441,1.8319194791851385,1,0.5786305019669057,career_surplus_v2,14777.077319177955,5,NA,NA,NA,NA,NA,MODEL
00-0037744,Trey McBride,TE,ARI,831.009614580865,11.798329032318494,11.798329032318494,0.6566016250440058,0.8968075005165839,0.05472630732607206,High,30,26.77618069815195,0,11.798329032318494,2.2,00-0037744,treymcbride,6.865775431248695,4.932553601069799,300.77969353842315,864.3240619348791,1.8249220521541951,1,0.9055418406019679,career_surplus_v2,14315.264426091602,6,NA,NA,NA,NA,NA,MODEL
00-0041027,Jeremiyah Love,RB,ARI,974.5742178267272,15.300439151030428,15.75945232556134,0.2744688582228724,0.8851238763765272,0.4439245738108513,Rookie-Low,17,21.253935660506503,1,15.300439151030428,2.2,00-0041027,jeremiyahlove,10.235634182500744,5.064804968529684,318.6566644200217,1168.71265834958,1.7133727436131028,1,1,career_surplus_v2,14310.853830261938,7,NA,NA,NA,NA,NA,MODEL
00-0039338,Brock Bowers,TE,LV,613.6112739627048,10.502494074873727,10.76505642674557,0.3882705170304024,0.6287235939991077,0.08830754790902923,Medium,63,23.718001368925393,0,10.502494074873727,2.2,00-0039338,brockbowers,6.865775431248695,3.6367186436250325,295.8525027755028,944.1535469872753,1.812905438369059,1,1,career_surplus_v2,13807.075728538319,8,NA,NA,NA,NA,NA,MODEL
00-0039851,Drake Maye,QB,NE,1308.6220248490802,18.15929001092006,18.524291740139553,0.15408670431196583,0.3081918584035911,0.11987987730272578,Low,1,24.005475701574262,0,18.15929001092006,2.2,00-0039851,drakemaye,16.104734588130846,2.054555422789214,173.16206943899695,1732.4317212108997,1.7473598613474166,1.03,1,career_surplus_v2,12357.070325667519,9,NA,NA,NA,NA,NA,MODEL
00-0036389,Jalen Hurts,QB,PHI,1267.8223470683745,18.595960036247902,18.595960036247902,0.2517616134269801,0.5085109587813379,0.123761877174656,Low,3,28.0684462696783,0,18.595960036247902,2.2,00-0036389,jalenhurts,16.104734588130846,2.4912254481170564,152.40387193492333,1610.3211815395966,1.769398076942928,1.03,1,career_surplus_v2,11309.010340030616,10,NA,NA,NA,NA,NA,MODEL
