feature,importance,importance_pct,position,component
draft_pick,0.23520355109386837,4.284012107652557,RB,target_share
draft_capital_score,0.23394067561917103,4.261010015214328,RB,target_share
two_year_fppg,0.1930996642693752,3.5171292944616304,RB,target_share
age,0.15842008104402103,2.8854732087655885,RB,target_share
draft_round,0.15159907985946622,2.7612350689711636,RB,target_share
age_squared,0.15116632533176,2.7533528510891934,RB,target_share
prior_games,0.13174560167117383,2.3996225825010224,RB,target_share
career_games_before,0.12495640679694761,2.275963764821054,RB,target_share
experience,0.11002352185813655,2.003975269823723,RB,target_share
fppg_trend,0.06470768827529023,1.178589858615351,RB,target_share
two_year_games,0.05742404608956588,1.0459251468525634,RB,target_share
rec_prior_short_target_rate,0.050156990612694755,0.9135625464364071,RB,target_share
rb_receiving_fit,0.046489958627422445,0.8467709977927128,RB,target_share
rec_prior_route_screen,0.04037513337703424,0.7353951903824412,RB,target_share
rec_prior_redzone_target_rate,0.03684169836254467,0.6710369852733882,RB,target_share
is_rookie,0.031091950677154374,0.5663107233372798,RB,target_share
receiver_context_available,0.01435590716347203,0.2614793859132918,RB,target_share
prior_target_share,4.8398099933926595,13.712553487988435,WR,target_share
prior_wopr,4.631265769053919,13.121688591482151,WR,target_share
recent_weighted_fppg,4.309542779871323,12.210156175229306,WR,target_share
prior_targets_pg,4.3094932360984135,12.210015803678163,WR,target_share
prior_fppg,4.269574637641617,12.096915099879531,WR,target_share
prior_air_yards_share,3.9271953862555824,11.126857638074638,WR,target_share
two_year_fppg,1.664663900459926,4.716464655790926,WR,target_share
two_year_targets_pg,1.4424119291221882,4.086761826766591,WR,target_share
draft_capital_score,0.7562343977872382,2.1426263930342904,WR,target_share
draft_pick,0.703681528501852,1.993729218970239,WR,target_share
prior_games,0.5674677128029306,1.607796871187073,WR,target_share
draft_round,0.5104814977976886,1.4463387721285976,WR,target_share
age,0.5096979674347633,1.4441188085296661,WR,target_share
age_squared,0.5089391233209004,1.441968788071302,WR,target_share
experience,0.342760412532521,0.9711373993677047,WR,target_share
rec_prior_ngs_avg_separation,0.33676700010786753,0.9541563632194191,WR,target_share
career_games_before,0.3301890003234075,0.9355190253876595,WR,target_share
