captured_at,model_version,week,player_id,player_display_name,position,team,opponent,projection,incumbent_projection,controller_projection_232,floor,ceiling,expected_abs_error,projection_confidence,weekly_position_rank,matchup_grade
2026-09-25 10:28:22 +0000,2.5,3,00-0035645,Gunner Olszewski,WR,NYG,TEN,1.2612211500652175,1.5587521054757207,1.5587521054757207,0,5.068464256822871,2.953609688195244,High,180,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040629,Dalevon Campbell,WR,LAC,BUF,1.2534447230724302,1.5625713728911028,1.5625713728911028,0,4.979038557198618,2.953609688195244,High,181,Neutral
2026-09-24 15:52:29 +0000,2.5,3,00-0040948,J. Michael Sturdivant,WR,GB,ATL,1.304992519748428,1.7348436695539595,1.7348436695539595,0,4.708233637379137,2.953609688195244,High,181,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040154,Tai Felton,WR,MIN,TB,1.2490345348238892,1.6018699191212564,1.6018699191212564,0,4.657146229815733,2.953609688195244,High,182,Neutral
2026-09-24 15:52:29 +0000,2.5,3,00-0037091,Bo Melton,WR,GB,ATL,1.287914706442746,1.667569400823766,1.667569400823766,0,5.313653712391265,2.953609688195244,High,183,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040120,Jimmy Holiday,WR,KC,MIA,1.2481449403194396,1.5625713728911028,1.5625713728911028,0,5.273883946267959,2.953609688195244,High,183,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0037156,Irvin Charles,WR,SEA,WAS,1.2382581537333597,1.5371720899090944,1.5371720899090944,0,4.641499271364069,2.953609688195244,High,184,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0035045,D.J. Montgomery,WR,IND,HOU,1.2379678868593076,1.5467779476346737,1.5467779476346737,0,4.588307252505036,2.953609688195244,High,185,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0039710,Jeshaun Jones,WR,MIN,TB,1.2359479223821437,1.5457952478087404,1.5457952478087404,0,4.491109701665425,2.953609688195244,High,186,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0040894,Malik Benson,WR,LV,NO,1.2346664867083896,1.5966761048106135,1.5966761048106135,0,4.465731570171502,2.953609688195244,High,187,Neutral
2026-09-25 10:28:22 +0000,2.5,3,00-0041051,Zavion Thomas,WR,CHI,PHI,1.2260989174334114,1.7002687429533907,1.7002687429533907,0,4.840944949902052,2.953609688195244,High,188,Neutral
