week,player_id,player_display_name,position,team,opponent,projection,incumbent_projection,actual_fppg,error,abs_error,incumbent_error,incumbent_abs_error,floor,ceiling,expected_abs_error,projection_confidence,starter_cohort,relevant_cohort
2,00-0034857,Josh Allen,QB,BUF,DET,22.841314961002084,22.841314961002084,40.82,17.978685038997916,17.978685038997916,17.978685038997916,17.978685038997916,16.57225190717092,28.753587437649987,6.02852928967903,Medium,TRUE,TRUE
2,00-0036963,Amon-Ra St. Brown,WR,DET,BUF,13.44989717536296,13.44989717536296,30.700000000000003,17.250102824637043,17.250102824637043,17.250102824637043,17.250102824637043,10.250296929356388,16.82141283473809,2.953609688195244,High,TRUE,TRUE
2,00-0033106,Jared Goff,QB,DET,BUF,16.579597169098328,16.579597169098328,29.779999999999998,13.20040283090167,13.20040283090167,13.20040283090167,13.20040283090167,10.651677769060605,23.13212678417803,5.774060225635582,High,TRUE,TRUE
2,00-0034827,DJ Moore,WR,BUF,DET,9.37117496021215,9.37117496021215,-0.1,-9.47117496021215,9.47117496021215,-9.47117496021215,9.47117496021215,6.048913338244466,12.896401394877774,4.973519690779636,Low,TRUE,TRUE
2,00-0038933,Dalton Kincaid,TE,BUF,DET,9.877119696386035,9.877119696386035,19,9.122880303613965,9.122880303613965,9.122880303613965,9.122880303613965,7.1730575219818515,12.21991502280932,2.8419404727693593,Medium,TRUE,TRUE
2,00-0036988,Josh Palmer,WR,BUF,DET,5.364718266780299,5.364718266780299,10.8,5.435281733219702,5.435281733219702,5.435281733219702,5.435281733219702,2.197012065830632,8.9238555947801,4.973519690779636,Low,TRUE,TRUE
2,00-0039065,Sam LaPorta,TE,DET,BUF,8.900787133715564,8.900787133715564,14.2,5.299212866284435,5.299212866284435,5.299212866284435,5.299212866284435,6.0751108149710475,11.326604588910095,2.8419404727693593,Medium,TRUE,TRUE
2,00-0037248,James Cook,RB,BUF,DET,15.210310905382755,15.210310905382755,20.4,5.189689094617243,5.189689094617243,5.189689094617243,5.189689094617243,11.78474292085355,19.03392514211486,4.1906550461485725,Medium,TRUE,TRUE
2,00-0039901,Keon Coleman,WR,BUF,DET,4.3740551586743806,4.3740551586743806,9.3,4.92594484132562,4.92594484132562,4.92594484132562,4.92594484132562,1.0716664037008643,8.324306612947721,3.83141508023352,Medium,TRUE,TRUE
2,00-0037240,Jameson Williams,WR,DET,BUF,8.442219593093798,8.442219593093798,4.300000000000001,-4.142219593093797,4.142219593093797,-4.142219593093797,4.142219593093797,5.133942407225348,11.847245117770669,3.83141508023352,Medium,TRUE,TRUE
2,00-0035689,Dawson Knox,TE,BUF,DET,3.4424493200410335,3.4424493200410335,7.5,4.0575506799589665,4.0575506799589665,4.0575506799589665,4.0575506799589665,0.7101643815155254,5.774066240755711,1.9902699491608615,High,TRUE,TRUE
2,00-0039875,Ray Davis,RB,BUF,DET,2.430663274181945,2.430663274181945,0,-2.430663274181945,2.430663274181945,-2.430663274181945,2.430663274181945,0,5.99502223335549,4.1906550461485725,Medium,TRUE,TRUE
2,00-0036754,Brock Wright,TE,DET,BUF,1.953189842884312,1.953189842884312,0,-1.953189842884312,1.953189842884312,-1.953189842884312,1.953189842884312,0,4.4323661107179,2.8419404727693593,Medium,TRUE,TRUE
2,00-0037524,Tay Martin,WR,DET,BUF,1.2435790540595388,1.2435790540595388,0,-1.2435790540595388,1.2435790540595388,-1.2435790540595388,1.2435790540595388,0,4.762920959704682,2.953609688195244,High,TRUE,TRUE
2,00-0039139,Jahmyr Gibbs,RB,DET,BUF,19.082283913158125,19.082283913158125,20.3,1.2177160868418753,1.2177160868418753,1.2177160868418753,1.2177160868418753,15.714283798195378,23.367317995627175,5.339770194966193,Low,TRUE,TRUE
2,00-0038896,Jacob Saylors,RB,DET,BUF,1.1315298318367528,1.1315298318367528,0,-1.1315298318367528,1.1315298318367528,-1.1315298318367528,1.1315298318367528,0,4.864388845905016,3.0109528980360203,High,TRUE,TRUE
2,00-0040363,Keleki Latu,TE,BUF,DET,1.0700672995069826,1.0700672995069826,0,-1.0700672995069826,1.0700672995069826,-1.0700672995069826,1.0700672995069826,0,3.710277733867138,2.8419404727693593,Medium,TRUE,TRUE
2,00-0037261,Khalil Shakir,WR,BUF,DET,6.368735764422371,6.368735764422371,5.300000000000001,-1.06873576442237,1.06873576442237,-1.06873576442237,1.06873576442237,2.8353326376039742,9.871654574443474,2.953609688195244,High,TRUE,TRUE
2,00-0039364,Sione Vaki,RB,DET,BUF,2.843879787259708,2.843879787259708,2.5,-0.3438797872597079,0.3438797872597079,-0.3438797872597079,0.3438797872597079,0,7.2104248354234866,3.0109528980360203,High,TRUE,TRUE
2,00-0040669,Isaac TeSlaa,WR,DET,BUF,3.842598123300363,3.842598123300363,3.6,-0.2425981233003629,0.2425981233003629,-0.2425981233003629,0.2425981233003629,0.6786804310903379,8.005301688191357,4.973519690779636,Low,TRUE,TRUE
