captured_at,model_version,week,player_id,player_display_name,position,team,opponent,projection,incumbent_projection,controller_projection_232,floor,ceiling,expected_abs_error,projection_confidence,weekly_position_rank,matchup_grade,player_display_name_actual,position_actual,team_actual,actual_fppg,error,abs_error,sq_error,incumbent_error,incumbent_abs_error,incumbent_sq_error,projected_position_rank,actual_position_rank,starter_cutoff,starter_cohort,relevant_cohort,within_interval,within_expected_error
2026-09-17 20:14:33 +0000,2.5,2,00-0034857,Josh Allen,QB,BUF,DET,22.841314961002084,22.841314961002084,NA,16.57225190717092,28.753587437649987,6.02852928967903,Medium,NA,NA,Josh Allen,QB,BUF,40.82,17.978685038997916,17.978685038997916,323.2331157314875,17.978685038997916,17.978685038997916,323.2331157314875,1,1,12,TRUE,TRUE,FALSE,FALSE
2026-09-17 20:14:33 +0000,2.5,2,00-0033106,Jared Goff,QB,DET,BUF,16.579597169098328,16.579597169098328,NA,10.651677769060605,23.13212678417803,5.774060225635582,High,NA,NA,Jared Goff,QB,DET,29.779999999999998,13.20040283090167,13.20040283090167,174.2506348980768,13.20040283090167,13.20040283090167,174.2506348980768,14,2,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0033077,Dak Prescott,QB,DAL,WAS,17.547428608057064,17.45949296404002,18.199842428804615,11.447025367621976,24.683791823863316,5.774060225635582,High,7,Neutral,Dak Prescott,QB,DAL,29.76,12.212571391942937,12.212571391942937,149.14690000330305,12.300507035959981,12.300507035959981,151.30247334170102,8,3,12,TRUE,TRUE,FALSE,FALSE
2026-09-20 23:35:31 +0000,2.5,2,00-0033873,Patrick Mahomes,QB,KC,IND,20.39308224896053,20.17793140667863,19.99780155934224,14.124019195129364,26.305354725608428,5.774060225635582,High,1,Neutral,Patrick Mahomes,QB,KC,28.98,8.586917751039472,8.586917751039472,73.73515646311678,8.80206859332137,8.80206859332137,77.47641152153443,3,4,12,TRUE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0037834,Brock Purdy,QB,SF,MIA,20.251143212743976,20.405971465891923,20.88415442913817,14.137714611026322,26.27558607426912,6.02852928967903,Medium,3,Neutral,Brock Purdy,QB,SF,28.48,8.228856787256024,8.228856787256024,67.71408402516954,8.074028534108077,8.074028534108077,65.18993676959143,4,5,12,TRUE,TRUE,FALSE,FALSE
2026-09-21 17:08:27 +0000,2.5,2,00-0026498,Matthew Stafford,QB,LA,NYG,14.61330847236253,15.372033674258075,14.220627023787438,8.499879870644875,20.63775133388767,5.774060225635582,High,2,Neutral,Matthew Stafford,QB,LA,26.979999999999997,12.366691527637467,12.366691527637467,152.93505933974032,11.607966325741922,11.607966325741922,134.7448822195584,19,6,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0039150,Bryce Young,QB,CAR,ATL,15.970528124320076,15.758349697435095,14.069312444055836,9.606882333968263,22.36759042444567,6.02852928967903,Medium,15,Neutral,Bryce Young,QB,CAR,24.080000000000002,8.109471875679926,8.109471875679926,65.7635341024437,8.321650302564906,8.321650302564906,69.2498637581786,17,7,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0040743,Tyler Shough,QB,NO,BAL,14.246882568893106,14.207815996685769,13.800347467450091,7.807456249895829,20.5596682688971,5.774060225635582,High,19,C,Tyler Shough,QB,NO,22.38,8.133117431106893,8.133117431106893,66.14759914817478,8.17218400331423,8.17218400331423,66.784591384025,21,8,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0035704,Drew Lock,QB,SEA,ARI,12.467534570032711,12.354495137502582,14.124181020909775,6.548387409011733,19.392506286145483,5.774060225635582,High,26,C,Drew Lock,QB,SEA,21.4,8.932465429967287,8.932465429967287,79.78893865756068,9.045504862497417,9.045504862497417,81.82115821746441,26,9,12,FALSE,FALSE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0029604,Kirk Cousins,QB,LV,LAC,12.271876408770888,12.389855583643456,13.83591135944838,6.06327694432351,18.437950956427592,5.774060225635582,High,27,Neutral,Kirk Cousins,QB,LV,20.220000000000002,7.948123591229114,7.948123591229114,63.17266862145279,7.830144416356546,7.830144416356546,61.3111615809996,27,10,12,FALSE,FALSE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0040676,Cam Ward,QB,TEN,PHI,12.753513381760756,12.667703738261018,14.490287011983126,6.268361805646897,18.7515670543455,5.774060225635582,High,24,Neutral,Cam Ward,QB,TEN,20.02,7.266486618239243,7.266486618239243,52.80182777304999,7.3522962617389815,7.3522962617389815,54.056260320381,25,11,12,FALSE,FALSE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0033537,Deshaun Watson,QB,CLE,TB,11.816052043028208,11.67146799095417,11.835918813742186,5.626081872452678,18.025398279930812,5.774060225635582,High,32,Neutral,Deshaun Watson,QB,CLE,19.72,7.903947956971791,7.903947956971791,62.472393306518555,8.048532009045829,8.048532009045829,64.77886750063529,31,12,12,FALSE,FALSE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0039163,C.J. Stroud,QB,HOU,CIN,16.616695441099235,16.475850317165232,17.447326496276233,10.017091082932629,22.943300128050197,5.774060225635582,High,12,Neutral,C.J. Stroud,QB,HOU,17.020000000000003,0.4033045589007678,0.4033045589007678,0.16265456723014285,0.5441496828347709,0.5441496828347709,0.29609887732918183,13,13,12,FALSE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0036442,Joe Burrow,QB,CIN,HOU,13.797900008650757,14.07078983864613,13.878304746048908,7.587367015779305,20.265591321988587,5.774060225635582,High,21,Neutral,Joe Burrow,QB,CIN,16.18,2.382099991349243,2.382099991349243,5.674400368786063,2.10921016135387,2.10921016135387,4.448767504758417,23,14,12,FALSE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0036389,Jalen Hurts,QB,PHI,TEN,18.67239664501844,18.3971058166132,18.63566802834553,12.716828787785149,25.226309084167205,5.774060225635582,High,5,D,Jalen Hurts,QB,PHI,16.160000000000004,-2.5123966450184376,2.5123966450184376,6.312136901899901,-2.237105816613198,2.237105816613198,5.0046424347246035,6,15,12,TRUE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0030565,Geno Smith,QB,NYJ,GB,12.0506112950109,12.17765565678916,13.47540719443696,5.663499346326238,18.56756067798676,5.774060225635582,High,29,C,Geno Smith,QB,NYJ,15.580000000000002,3.5293887049891026,3.5293887049891026,12.456584630904654,3.4023443432108422,3.4023443432108422,11.575947029778817,29,16,12,FALSE,FALSE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0034796,Lamar Jackson,QB,BAL,NO,20.07599522594393,19.810198245373204,18.73137397819567,13.955951697323917,26.341857440176163,5.774060225635582,High,4,D,Lamar Jackson,QB,BAL,14.8,-5.27599522594393,5.27599522594393,27.836125624183143,-5.0101982453732035,5.0101982453732035,25.102086457940725,5,17,12,TRUE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0039910,Jayden Daniels,QB,WAS,DAL,16.25631969464707,15.92224152523966,16.28686185777644,10.328400294609343,22.808849309726774,5.774060225635582,High,13,Neutral,Jayden Daniels,QB,WAS,14.74,-1.516319694647068,1.516319694647068,2.299225416374578,-1.1822415252396592,1.1822415252396592,1.3976950240009958,15,18,12,FALSE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0039732,Bo Nix,QB,DEN,JAX,15.792012177571351,16.505056505886593,18.027295711770744,9.563800708381102,22.46655222292406,5.774060225635582,High,16,Neutral,Bo Nix,QB,DEN,14.12,-1.672012177571352,1.672012177571352,2.795624721946894,-2.3850565058865936,2.3850565058865936,5.688494536271967,18,19,12,FALSE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0036264,Jordan Love,QB,GB,NYJ,17.358509624947473,17.286714540917924,15.481676375757525,11.25816560789204,23.923443471154513,5.774060225635582,High,9,Neutral,Jordan Love,QB,GB,13.8,-3.5585096249474724,3.5585096249474724,12.6629907508438,-3.486714540917923,3.486714540917923,12.157178289848483,10,20,12,TRUE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0038128,Malik Willis,QB,MIA,SF,12.04619380861624,11.80874972518874,10.09035707025916,5.845933586568215,18.14203754744082,6.382462858778202,Low,30,D,Malik Willis,QB,MIA,12.479999999999999,0.4338061913837592,0.4338061913837592,0.1881878116828827,0.6712502748112588,0.6712502748112588,0.4505769314341904,30,21,12,FALSE,FALSE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0034855,Baker Mayfield,QB,TB,CLE,17.544866466281945,17.188945433390064,18.817704971367103,11.444522449226511,23.55715208307376,5.774060225635582,High,8,Neutral,Baker Mayfield,QB,TB,12.180000000000001,-5.364866466281944,5.364866466281944,28.781792201036513,-5.008945433390062,5.008945433390062,25.08953435467916,9,22,12,TRUE,TRUE,TRUE,TRUE
2026-09-20 23:35:31 +0000,2.5,2,00-0035710,Daniel Jones,QB,IND,KC,14.20732118990548,14.845398144471032,14.757515224692137,8.086452051302093,20.84584023721654,5.774060225635582,High,11,Neutral,Daniel Jones,QB,IND,11.4,-2.8073211899054797,2.8073211899054797,7.881052263292319,-3.4453981444710315,3.4453981444710315,11.870768373924427,22,23,12,FALSE,TRUE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0032268,Marcus Mariota,QB,WAS,DAL,11.21973141879202,10.940558368673056,9.418870961622892,5.0387503859665355,17.511409238281217,6.02852928967903,Medium,34,C,Marcus Mariota,QB,WAS,8.740000000000002,-2.479731418792017,2.479731418792017,6.149067909344271,-2.200558368673054,2.200558368673054,4.842457133937012,33,24,12,FALSE,FALSE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0039851,Drake Maye,QB,NE,PIT,16.93947782714721,17.18648439528377,18.54603031607789,10.896678799584926,23.35980804955797,5.774060225635582,High,10,Neutral,Drake Maye,QB,NE,8.02,-8.919477827147212,8.919477827147212,79.55708470897075,-9.16648439528377,9.16648439528377,84.02443616898087,11,25,12,TRUE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0036355,Justin Herbert,QB,LAC,LV,16.67615338399604,16.523856455608854,18.242342784595845,10.555284245392656,23.314672431307105,5.774060225635582,High,11,Neutral,Justin Herbert,QB,LAC,7.88,-8.796153383996042,8.796153383996042,77.37231435478503,-8.643856455608855,8.643856455608855,74.71625442517087,12,26,12,TRUE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0039918,Caleb Williams,QB,CHI,MIN,21.01033293220572,20.739100360556822,18.76556242871155,14.741269878374556,26.922605408853627,5.774060225635582,High,1,Neutral,Caleb Williams,QB,CHI,7.720000000000001,-13.29033293220572,13.29033293220572,176.6329494488719,-13.019100360556822,13.019100360556822,169.49697419825077,2,27,12,TRUE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0033119,Jacoby Brissett,QB,ARI,SEA,13.112921961129034,13.179035532685267,13.79251060014318,6.986741031682146,19.71819149293625,5.774060225635582,High,23,Neutral,Jacoby Brissett,QB,ARI,6.500000000000001,-6.612921961129033,6.612921961129033,43.730736863982656,-6.679035532685266,6.679035532685266,44.60951564687236,24,28,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0032950,Carson Wentz,QB,MIN,CHI,14.418492086259407,14.078487236742742,13.976623554579543,8.316703806260872,20.44749406794646,5.774060225635582,High,18,Neutral,Carson Wentz,QB,MIN,6.32,-8.098492086259407,8.098492086259407,65.58557407120624,-7.7584872367427415,7.7584872367427415,60.194124202700024,20,29,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0036971,Trevor Lawrence,QB,JAX,DEN,16.06287234864001,15.70216205355425,12.683827382773869,9.895511110058196,22.58697755227735,6.02852928967903,Medium,14,D,Trevor Lawrence,QB,JAX,6.16,-9.90287234864001,9.90287234864001,98.0668807534589,-9.54216205355425,9.54216205355425,91.05285665629067,16,30,12,FALSE,TRUE,FALSE,FALSE
2026-09-20 14:45:15 +0000,2.5,2,00-0023459,Aaron Rodgers,QB,PIT,NE,12.154496525855992,12.379028824184614,12.613128919056953,5.853376329483905,18.694650267637293,5.774060225635582,High,28,Neutral,Aaron Rodgers,QB,PIT,5.98,-6.174496525855991,6.174496525855991,38.124407347807704,-6.399028824184613,6.399028824184613,40.94756989274551,28,31,12,FALSE,FALSE,TRUE,FALSE
2026-09-21 17:08:27 +0000,2.5,2,00-0031503,Jameis Winston,QB,NYG,LA,6.809256261903468,7.280132455356476,4.312016521662931,0.8813368618657442,13.361785876983175,6.02852928967903,Medium,14,Neutral,Jameis Winston,QB,NYG,2.5400000000000005,-4.269256261903468,4.269256261903468,18.226549029801973,-4.740132455356475,4.740132455356475,22.468855694323807,35,32,12,FALSE,FALSE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0038416,Tyson Bagent,QB,CHI,MIN,3.0647288446985184,3.3300187944620845,0.42233979362259255,0,8.991077261357901,6.02852928967903,Medium,86,Neutral,Tyson Bagent,QB,CHI,2.16,-0.9047288446985182,0.9047288446985182,0.8185342824295155,-1.1700187944620843,1.1700187944620843,1.368943979394509,39,33,12,FALSE,FALSE,TRUE,TRUE
2026-09-20 14:45:15 +0000,2.5,2,00-0041194,Jack Strand,QB,ATL,CAR,6.760401666917888,7.256659761081124,4.515632021857726,0.5321901977276378,13.082434938375716,6.02852928967903,Medium,44,Neutral,Jack Strand,QB,ATL,1.96,-4.800401666917888,4.800401666917888,23.043856163748035,-5.296659761081124,5.296659761081124,28.054604624655955,36,34,12,FALSE,FALSE,TRUE,TRUE
