position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,standardized_coefficient,raw_unit_slope,lambda,permutation_years,oof_delta_MAE_if_permuted,oof_delta_RMSE_if_permuted,oof_delta_correlation_if_permuted,oof_delta_rank_correlation_if_permuted,unique_predictive_rank_24
QB,roll3_pass_attempt_share,2624,1,0.438496376729553,0.3856258904800311,0.13344561704589505,0.09792686501010542,1,0.08487180105040454,0.28070931738235605,0.30009614552932823,0.765853399848883,500,2,0.2732553648070186,0.21701309212744785,0.03892284272767771,0.028079791892247928,1
QB,projected_opportunities_232,2624,1,0.5192570805615491,0.4805189738030519,0.1473402108768333,0.07988211259999763,1,0.07652749378695249,0.2839942668494126,0.39557004343797597,0.045069721956885245,500,2,0.17849790042720093,0.11151411476371346,0.0193313379278436,0.014300230097802864,2
QB,expected_fppg_232,2624,1,0.5186548519225734,0.49862953957220135,0.06693206107201585,0.023218147807559267,1,0.019348261066023865,0.23747597431986325,-0.04315240280508535,-0.008340661793632284,500,2,0.06899111124964419,0.17874087737751765,0.00971364611420709,0.009371374097430319,3
QB,roll3_ngs_time_to_throw,2624,1,0.3978784932504871,0.31821908209353533,0.11883580919170049,0.09321652154102232,1,0.0787570207745922,0.26977199202563334,0.11429898871089154,0.09703832544994996,500,2,0.043969669416959345,0.012172602008319267,0.0028330364843908717,7.057500302161864e-4,4
QB,season_to_date_fppg,2624,1,0.504906833540864,0.49332334601103006,0.058279005908921516,0.022195446960851285,0.75,0.028518013932334316,0.19502261426964673,NA,NA,NA,2,0.042326712957422075,0.04733998036447688,0.004853332992746503,0.006187656927889677,5
QB,roll5_carries,2624,1,0.33126275376190784,0.3445257913441468,0.06710640955745723,0.0540217447327876,1,0.06325717126633461,0.2374350568965252,0.008742716839241844,0.003289468317046557,500,2,0.041644406949232625,0.026383687344160446,0.004869867136373218,0.005235492164905191,6
QB,prior_game_fppg,2624,1,0.4302280187930817,0.4312298527199877,0.05117040815443685,0.030057114212211078,1,0.02624577855504094,0.22956893085499328,0.03715208463695934,0.004321154994619597,500,2,0.029855473491293694,0.01624573880018317,0.0028989721015163137,0.003515035463351579,7
QB,tw_draft_capital_log_24,2624,1,0.3566693651603226,0.3327751390111577,0.10610800181426637,0.08780223058117234,1,0.08248145436626049,0.2631800101499227,0.2046784384921294,0.1300707534094876,500,2,0.027904443137755752,0.01742931054617432,0.0031721771195705184,0.003171317006626151,8
QB,talent_prior_fppg_24,2624,1,0.2499952768065393,0.2399667481740235,0.07191117777861174,0.06490507043503504,1,0.06221538707894335,0.23390051393725692,0.10058370919954426,0.018543236468300462,500,1,0.026112834940560898,0.016045217396223777,0.0032113484494414126,0.003360913276697445,9
QB,is_home,2624,1,0.05129385906267374,0.04992896164452795,0.06342144834229249,0.06344048287722799,1,0.05709417846564366,0.211381929299846,0.4649625887785038,0.929750395153437,500,2,0.018652303106713248,0.027150681642397867,0.004044134537677731,0.001643683358483731,10
QB,season_to_date_rush_ypc,2624,1,0.2675393861175432,0.295787813733521,0.06589612646835012,0.05787096433404833,1,0.04597193285960881,0.23128402184569163,0.018907738178682514,0.007082358348384759,500,2,0.016814352677677835,1.8967077575560154e-4,6.08287871684358e-4,-6.442124012561723e-4,11
QB,tw_combine_athleticism_z_24,2624,1,0.12491411575869625,0.12399531384008207,0.03260544327340368,0.030872153337960437,0.75,0.04556646257047732,0.15715080767826498,NA,NA,NA,1,0.016633012384197343,0.019818411126050428,0.0032666649690716496,0.0028549945143930464,12
