position,v2_0_MAE,v1_2_MAE,v2_0_RMSE,v1_2_RMSE,v2_0_correlation,v1_2_correlation,v2_0_rank_correlation,v1_2_rank_correlation,MAE_change_vs_1_2_pct,RMSE_change_vs_1_2_pct,correlation_change_vs_1_2,rank_correlation_change_vs_1_2
QB,3.7686357159185433,3.7750898468390894,4.748994181689225,4.77818685768011,0.6409939328374442,0.6359332240552216,0.6657300547409332,0.6627872543253619,0.17096628643024836,0.6109571864893171,0.005060708782222645,0.0029428004155712673
RB,2.6028802871585524,2.602938382210414,3.3464081558696264,3.375364723167106,0.7530208446225392,0.747833588469147,0.7291735635838327,0.7281742187022653,0.002231902693458001,0.8578796566407698,0.005187256153392106,9.993448815673878e-4
TE,1.5235856153112566,1.5235856153112566,1.970729341159436,1.970729341159436,0.7642973645538738,0.7642973645538738,0.7240495115278334,0.7240495115278334,0,0,0,0
WR,2.096681277413278,2.096681277413278,2.6735241096067206,2.6735241096067206,0.7858557409598717,0.7858557409598717,0.750345625811187,0.750345625811187,0,0,0,0
