position,cohort,n,MAE,baseline_MAE,RMSE,correlation,rank_correlation,MAE_improvement_vs_prior_pct
QB,All,2624,6.086455761173259,6.3172924952292195,7.597597266812038,0.5495064794159725,0.5300006218315946,3.654045371973633
QB,Relevant,1728,6.141509223490313,6.268744531895567,7.707768704697627,0.3200170217523274,0.3035829072071764,2.0296776772107523
QB,Starter,864,6.580384865042448,6.685997469532166,8.260761157047222,0.23684378316520777,0.2349658637680692,1.5796088013941114
RB,All,6166,4.168010287174353,4.256036238611762,5.807241244838289,0.6294059262810611,0.6941642918854513,2.068261323501354
RB,Relevant,4320,4.94969353539545,5.089036209758322,6.566597323811053,0.5328712554848558,0.5811638374694772,2.738095557183895
RB,Starter,1728,6.053024648014712,6.169917765665046,7.762875028977377,0.2660976427905015,0.27404867178603326,1.8945652452749397
WR,All,9815,3.9221635395977974,3.963225905314078,5.421618284521069,0.5721766574767351,0.6328640557120561,1.0360844094509523
WR,Relevant,5760,4.910937349199914,5.005607164458756,6.385011028109229,0.43250508673546856,0.4635658477271671,1.891275366773188
WR,Starter,2592,5.863628389872606,5.9595812535353625,7.423948588537723,0.2263196242565656,0.22282437903271843,1.6100604988955463
TE,All,4905,3.0343466031066018,3.101151806259173,4.298244139251541,0.5268389304485745,0.5625477929568357,2.154206157136059
TE,Relevant,2592,3.9062763570673766,4.034542602204601,5.200886319277816,0.39914781415893796,0.42577104286239925,3.1792016539157517
TE,Starter,864,4.8688073143735195,5.1080348136386124,6.374388978905241,0.22307925369066178,0.19850790461097106,4.683356868014055
