position,promoted_for_2026,failed_checks,starter_MAE_gain_pct,starter_RMSE_gain_pct,relevant_MAE_gain_pct,relevant_RMSE_gain_pct,all_MAE_gain_pct,all_RMSE_gain_pct,starter_MAE_year_wins,starter_RMSE_year_wins,years_tested,starter_bootstrap_p_improves,final_alpha_2026
QB,TRUE,,0.2855370492473783,0.3824674935950731,0.04429169306117841,0.2066406133420101,0.48587526602217684,0.40442237474356807,3,4,4,0.969,0.15
RB,TRUE,,1.0248611630651534,0.40692312080954346,2.012070986262225,0.4206635626082747,2.7219968323330623,0.4987234373803973,4,3,4,1,0.3
WR,TRUE,,1.2185241027411848,0.38283596635006745,1.7569006422438054,0.32850432586478123,2.667468596589827,0.3655269878633456,4,3,4,1,0.4
TE,FALSE,year_RMSE_stability,1.1770744439095941,0.09053644534583245,1.9553708702464887,0.2304396506662306,2.542908369776114,0.22263541548590587,3,2,4,0.995,0.25
