player_id,player_display_name,position,current_team,dynasty_year,projected_age,projected_fppg,projected_fantasy_points,confidence,elite_probability,starter_probability,breakout_probability
00-0034857,Josh Allen,QB,BUF,2026,30.28062970568104,19.124768925675426,312.6899719347932,Low,0.27089711830058477,0.40127465226773473,0.11458604796929224
00-0036389,Jalen Hurts,QB,PHI,2026,28.0684462696783,18.595960036247902,304.04394659265324,Low,0.2517616134269801,0.5085109587813379,0.123761877174656
00-0039851,Drake Maye,QB,NE,2026,24.005475701574262,18.15929001092006,308.70793018564103,Low,0.15408670431196583,0.3081918584035911,0.11987987730272578
00-0036971,Trevor Lawrence,QB,JAX,2026,26.90485968514716,17.0833197450296,290.4164356655032,Low,0.19346833592303153,0.2909220457671949,0.20456624617074565
00-0033873,Patrick Mahomes,QB,KC,2026,30.95687885010267,17.073766186628937,256.96018110876554,Low,0.2314784152188308,0.5515532678282711,0.12996703097519707
00-0034796,Lamar Jackson,QB,BAL,2026,29.648186173853524,16.9743460530391,244.43058316376303,Low,0.1615307702221381,0.3900163875007359,0.2251810855882833
00-0039918,Caleb Williams,QB,CHI,2026,24.78576317590691,16.91477762949131,287.5512197013523,Low,0.12400629454062384,0.3125858488695742,0.16410826187166494
00-0039732,Bo Nix,QB,DEN,2026,26.5160848733744,16.46830961614082,279.96126347439395,Low,0.2185259652053431,0.5754932944590282,0.1144498751016364
00-0036355,Justin Herbert,QB,LAC,2026,28.479123887748116,16.334585285451084,267.07046941712525,Low,0.30371694594695015,0.5095081871395232,0.24309808343816727
00-0037834,Brock Purdy,QB,SF,2026,26.680355920602327,16.312876403690645,192.49194156354963,Low,0.0970784225651303,0.3343886666773152,0.17746928239340692
00-0040691,Jaxson Dart,QB,NYG,2026,23.30458590006845,16.26164436018105,244.73774762072483,Low,0.1675636851651165,0.4037088985073664,0.23450401641481808
00-0039910,Jayden Daniels,QB,WAS,2026,25.70294318959617,16.1083112421549,169.13726804262646,Low,0.2609329400417436,0.4312905934757407,0.2650736314811217
00-0033077,Dak Prescott,QB,DAL,2026,33.09240246406571,16.10760103621803,273.8292176157065,Low,0.16136508924315782,0.4671774226533637,0.09576062450232375
00-0026498,Matthew Stafford,QB,LA,2026,38.56536618754278,16.104734588130846,273.7804879982244,Low,0.10257667709618624,0.27406636012643026,0.12033892083407338
00-0036442,Joe Burrow,QB,CIN,2026,29.724845995893222,16.040696342703026,178.85376422113873,Low,0.1083089350042634,0.43090628535391473,0.19699261924523292
00-0033106,Jared Goff,QB,DET,2026,31.88227241615332,15.600767129586677,265.2130412029735,Low,0.0982311846446125,0.3050560599054735,0.16701132461408258
00-0034855,Baker Mayfield,QB,TB,2026,31.38398357289528,15.430589365890263,262.3200192201345,Low,0.11171593703158876,0.3135136495876387,0.20424628183754567
00-0041562,Fernando Mendoza,QB,LV,2026,22.91854893908282,15.026296217667491,225.39444326501237,Rookie-Low,0.11774289891275308,0.24926864192097695,0.15138344724286296
00-0035710,Daniel Jones,QB,IND,2026,29.26488706365503,15.02228381342938,216.32088691338308,Low,0.09789748793120367,0.2365660266679155,0.1565229681077113
00-0034869,Sam Darnold,QB,SEA,2026,29.240246406570844,14.371899861507275,244.32229764562368,Low,0.06431076915281739,0.18357027275213408,0.21996791479963929
00-0036264,Jordan Love,QB,GB,2026,27.83025325119781,14.312297924720816,224.7030774181168,Low,0.06160021304499454,0.1474435714456381,0.11588722875731594
00-0039923,J.J. McCarthy,QB,MIN,2026,23.613963039014372,14.21263051722574,176.94724993946045,Low,0.05488721221494915,0.18829655548944668,0.22670176818900753
00-0039150,Bryce Young,QB,CAR,2026,25.10335386721424,13.681276378326595,223.68886878563984,Low,0.05131947335894568,0.15968818594551193,0.28013564891560533
00-0039163,C.J. Stroud,QB,HOU,2026,24.91170431211499,13.598113598296113,204.65160965435652,Low,0.07604722084256003,0.20048351113759655,0.17506944376739614
00-0035228,Kyler Murray,QB,MIN,2026,29.06776180698152,13.22483678918966,121.66849846054485,Low,0.1340487070887558,0.371583039352884,0.15357504852308854
00-0036212,Tua Tagovailoa,QB,ATL,2026,28.501026694045173,13.222361937592751,198.99654716077092,Low,0.0268132671966561,0.14546030017163533,0.21158442965186725
