position,season,week,week_phase_23,projection_tier_23,model_disagreement_23,honest_final_fppg,residual
QB,2022,1,W1-3,Starter,2.0684932208876323,21.909891390504143,-17.449891390504142
QB,2022,1,W1-3,Starter,1.2890959504259543,21.68912117893875,9.790878821061256
QB,2022,1,W1-3,Starter,0.9034240545260592,21.250610561417744,-0.6306105614177469
QB,2022,1,W1-3,Starter,1.1742866972801185,21.18922224575436,-10.809222245754361
QB,2022,1,W1-3,Starter,1.7186429742320863,21.185432142221785,2.0745678577782165
QB,2022,1,W1-3,Starter,1.4661896796985006,20.72349351514595,14.176506484854048
QB,2022,1,W1-3,Starter,2.037234844645987,20.702001051988976,-15.002001051988977
QB,2022,1,W1-3,Starter,1.7259118012169579,20.48553771865564,-0.26553771865564
QB,2022,1,W1-3,Starter,1.2860246933053214,20.247097653075215,-0.0270976530752165
QB,2022,1,W1-3,Starter,0.8996999355890382,19.753825509707475,-1.9538255097074746
QB,2022,1,W1-3,Starter,1.1755174200098044,17.67203640054006,1.40796359945994
QB,2022,1,W1-3,Starter,1.3906025554358066,17.302825745644373,-9.502825745644373
QB,2022,1,W1-3,Relevant,2.0043657080508495,16.159122931215734,1.1208770687842637
QB,2022,1,W1-3,Relevant,1.9962679005778026,16.110809940868485,3.229190059131515
QB,2022,1,W1-3,Relevant,0.8731704781516991,15.739214901556204,-1.9392149015562037
QB,2022,1,W1-3,Relevant,0.8745692664561168,15.34273463669134,12.37726536330866
QB,2022,1,W1-3,Relevant,0.919250648505096,14.798298450558896,9.921701549441103
QB,2022,1,W1-3,Relevant,3.582542470285984,14.655540592155663,-1.255540592155663
QB,2022,1,W1-3,Relevant,1.6840490697078292,14.51705687288351,0.9829431271164921
QB,2022,1,W1-3,Relevant,2.09652612973111,14.023274975746322,3.996725024253678
QB,2022,1,W1-3,Relevant,2.063905826631644,14.002535095360145,-0.36253509536014406
QB,2022,1,W1-3,Relevant,0.9160296409198878,13.661320339132075,-3.1413203391320756
QB,2022,1,W1-3,Relevant,1.1368286412161872,13.645399233589178,4.354600766410822
QB,2022,1,W1-3,Relevant,2.395648586636726,12.453807473320031,5.0461925266799685
QB,2022,1,W1-3,Fringe,2.361126067422083,11.558135981948723,3.2418640180512774
QB,2022,1,W1-3,Fringe,3.7659229418808264,10.69128263968058,1.9687173603194204
QB,2022,1,W1-3,Fringe,3.4911576829590683,10.505775001879092,11.294224998120908
QB,2022,1,W1-3,Fringe,2.5948372726319784,10.35030185940327,4.009698140596729
QB,2022,1,W1-3,Fringe,2.1263620762151096,9.449784893374598,7.750215106625401
QB,2022,1,W1-3,Fringe,1.683309391325558,8.951184262115879,-8.451184262115879
QB,2022,1,W1-3,Fringe,1.9246202496822407,8.063168026719564,-5.463168026719565
QB,2022,1,W1-3,Fringe,3.2008614792154217,7.712801236660478,-7.712801236660478
QB,2022,1,W1-3,Fringe,2.8303701167364923,7.712801236660478,13.947198763339518
QB,2022,1,W1-3,Fringe,2.1707756502433435,7.712801236660478,2.247198763339523
QB,2022,1,W1-3,Fringe,2.7481368098855254,6.264294895806809,-3.784294895806809
QB,2022,1,W1-3,Fringe,3.254779482325149,5.590080650275651,-3.0300806502756505
QB,2022,1,W1-3,Fringe,3.6857102871705885,4.0227090848772935,6.857290915122707
RB,2022,1,W1-3,Starter,1.4321955019139925,17.169526988720673,8.330473011279327
RB,2022,1,W1-3,Starter,1.937870518959841,16.28654467189995,-6.68654467189995
RB,2022,1,W1-3,Starter,2.7264577789020152,16.211482503066755,-10.111482503066753
RB,2022,1,W1-3,Starter,0.9282280376230073,15.821485808748,-2.121485808748
RB,2022,1,W1-3,Starter,1.4348722945695296,15.654028997590814,-3.354028997590813
RB,2022,1,W1-3,Starter,1.485587889555865,15.428952675509622,-7.228952675509621
RB,2022,1,W1-3,Starter,0.39635946913096565,15.021403690577404,-7.221403690577404
RB,2022,1,W1-3,Starter,1.2649796513671658,14.313182885762266,0.4868171142377342
