position,feature,feature_group
WR,qb_receiver_location_fit,position_context
WR,qb_receiver_route_fit,position_context
WR,wr_context_fit_score,position_context
WR,team_target_opportunity,position_context
TE,prior_fppg,core
TE,two_year_fppg,core
TE,recent_weighted_fppg,core
TE,fppg_trend,core
TE,prior_fantasy_points,core
TE,prior_games,core
TE,two_year_games,core
TE,prior_targets_pg,core
TE,two_year_targets_pg,core
TE,prior_carries_pg,core
TE,two_year_carries_pg,core
TE,prior_pass_attempts_pg,core
TE,two_year_pass_attempts_pg,core
TE,prior_rec_yd_pg,core
TE,prior_rush_yd_pg,core
TE,prior_pass_yd_pg,core
TE,prior_catch_rate,core
TE,prior_yards_per_target,core
TE,prior_yards_per_carry,core
TE,prior_yards_per_attempt,core
TE,prior_target_share,core
TE,prior_air_yards_share,core
TE,prior_wopr,core
TE,prior_pass_td_rate,core
TE,prior_rush_td_rate,core
TE,prior_rec_td_rate,core
TE,career_fppg_before,core
TE,peak_fppg_before,core
TE,career_games_before,core
TE,experience,core
TE,is_rookie,core
TE,years_since_last_season,core
TE,age,core
TE,age_squared,core
TE,height,core
TE,weight,core
TE,draft_round,core
TE,draft_pick,core
TE,draft_capital_score,core
TE,team_prior_pass_yd_pg,core
TE,team_prior_rush_yd_pg,core
TE,team_prior_pass_attempts_pg,core
TE,team_prior_carries_pg,core
TE,team_prior_points_pg,core
TE,context_available,position_context
TE,receiver_context_available,position_context
TE,qb_context_available,position_context
TE,team_prior_pass_rate,position_context
TE,team_prior_neutral_pass_rate,position_context
TE,team_prior_plays_pg,position_context
TE,team_prior_redzone_pass_rate,position_context
TE,team_prior_middle_throw_rate,position_context
TE,rec_prior_short_target_rate,position_context
TE,rec_prior_middle_target_rate,position_context
TE,rec_prior_redzone_target_rate,position_context
TE,rec_prior_route_in_break,position_context
TE,rec_prior_route_hitch,position_context
TE,rec_prior_route_screen,position_context
TE,rec_prior_ngs_avg_separation,position_context
TE,alignment_available,position_context
TE,rec_prior_inline_rate,position_context
TE,qb_prior_middle_throw_rate,position_context
TE,qb_prior_redzone_throw_rate,position_context
TE,qb_prior_te_target_rate,position_context
TE,qb_prior_ngs_time_to_throw,position_context
TE,te_middle_fit,position_context
TE,te_redzone_fit,position_context
TE,te_route_fit,position_context
TE,te_context_fit_score,position_context
TE,team_target_opportunity,position_context
