position,season,week,residual
QB,2022,1,-15.002001051988977
QB,2022,1,4.354600766410822
QB,2022,1,12.37726536330866
QB,2022,1,-7.712801236660478
QB,2022,1,-3.0300806502756505
QB,2022,1,-17.449891390504142
QB,2022,1,3.996725024253678
QB,2022,1,5.0461925266799685
QB,2022,1,-1.9392149015562037
QB,2022,1,7.750215106625401
QB,2022,1,6.857290915122707
QB,2022,1,9.921701549441103
QB,2022,1,13.947198763339518
QB,2022,1,0.9829431271164921
QB,2022,1,-8.451184262115879
QB,2022,1,-0.0270976530752165
QB,2022,1,4.009698140596729
QB,2022,1,-5.463168026719565
QB,2022,1,9.790878821061256
QB,2022,1,-0.36253509536014406
QB,2022,1,2.0745678577782165
QB,2022,1,1.40796359945994
QB,2022,1,-0.6306105614177469
QB,2022,1,-0.26553771865564
QB,2022,1,-3.1413203391320756
QB,2022,1,11.294224998120908
QB,2022,1,1.1208770687842637
QB,2022,1,-9.502825745644373
QB,2022,1,1.9687173603194204
QB,2022,1,14.176506484854048
QB,2022,1,-1.9538255097074746
QB,2022,1,3.229190059131515
QB,2022,1,-10.809222245754361
QB,2022,1,-3.784294895806809
QB,2022,1,-1.255540592155663
QB,2022,1,2.247198763339523
QB,2022,1,3.2418640180512774
QB,2022,2,-0.9355634533650097
QB,2022,2,-0.7536430554401914
QB,2022,2,11.276896735498475
QB,2022,2,-7.5128012366604775
QB,2022,2,8.29398941068769
QB,2022,2,-1.257967946770103
QB,2022,2,-5.746888022696279
QB,2022,2,3.422586495464685
QB,2022,2,-4.096367559620729
QB,2022,2,10.794419891829953
QB,2022,2,17.291542029180995
QB,2022,2,-1.3803511207235575
QB,2022,2,11.430792208949322
QB,2022,2,-7.158885737542516
QB,2022,2,3.6426141114745327
QB,2022,2,-3.6845572480994093
QB,2022,2,18.153788939915792
QB,2022,2,7.072983931586759
QB,2022,2,-5.168547430170131
QB,2022,2,2.0800771211115077
QB,2022,2,-8.964032987989427
QB,2022,2,4.688509178715172
QB,2022,2,22.159356442468326
QB,2022,2,-0.686821557338444
QB,2022,2,-8.255064409140696
QB,2022,2,3.875391404547072
QB,2022,2,-14.464205156414259
QB,2022,2,2.4680641680097892
QB,2022,2,0.5441501077894717
QB,2022,2,-4.7525409981010185
QB,2022,2,-8.510654368172398
QB,2022,2,-15.533546508912067
QB,2022,2,-8.77585766021489
QB,2022,2,3.96216633835893
QB,2022,2,-5.423476120723557
QB,2022,2,26.997939266358976
QB,2022,3,-2.9760008547410415
QB,2022,3,-3.3212618772912066
QB,2022,3,-9.090845870039052
QB,2022,3,-7.029096892311713
QB,2022,3,6.343059471651035
QB,2022,3,-0.5751609177938857
QB,2022,3,-2.6324685720725256
QB,2022,3,3.958762892485584
QB,2022,3,9.039549774133137
QB,2022,3,12.162173868537202
QB,2022,3,10.1632575089209
QB,2022,3,5.606473995213362
QB,2022,3,-1.8094837092178508
QB,2022,3,-2.918880961476207
QB,2022,3,3.1011081568763856
QB,2022,3,-5.063370260765156
QB,2022,3,5.343839042112265
QB,2022,3,-8.540809764980118
QB,2022,3,-7.013163615555198
QB,2022,3,1.3239704245611996
QB,2022,3,-8.265496081151916
QB,2022,3,16.884250603592296
QB,2022,3,2.665177224455187
QB,2022,3,5.532807810973239
QB,2022,3,2.361962618387217
QB,2022,3,-6.3997959183360535
QB,2022,3,4.035832855259528
QB,2022,3,-4.651588481056088
QB,2022,3,-9.695608226637324
QB,2022,3,3.774341923044357
QB,2022,3,-11.88544758033042
QB,2022,3,-4.518118074675419
QB,2022,3,10.281748268873523
QB,2022,3,-2.9816104853333396
QB,2022,4,-2.504563256117077
QB,2022,4,5.925832493655971
QB,2022,4,-0.27682332424519895
QB,2022,4,-5.865130699142222
QB,2022,4,-6.232801236660478
QB,2022,4,-9.9282155201219
QB,2022,4,10.924629532614377
QB,2022,4,7.351396111182332
QB,2022,4,1.6563258785512271
QB,2022,4,-4.72381071049352
QB,2022,4,20.95359210788701
QB,2022,4,7.921177845244446
QB,2022,4,-2.6769020113392052
QB,2022,4,17.590240372614975
QB,2022,4,0.7427489655730568
QB,2022,4,-0.07697643814780974
QB,2022,4,-0.4934308473622231
QB,2022,4,-0.4711970997901034
QB,2022,4,0.12609564777809368
QB,2022,4,0.5992143222076134
QB,2022,4,-4.114901162888168
QB,2022,4,1.9942486589810002
QB,2022,4,-11.250855235283739
QB,2022,4,-8.828525782600597
QB,2022,4,4.816880393188695
QB,2022,4,-7.1301560046818935
QB,2022,4,-9.886234397270417
QB,2022,4,1.9699890359888492
QB,2022,4,9.226937914897757
QB,2022,4,-0.854019644999223
