position,n,topN_recall,topN_precision
QB,2624,0.5243055555555556,0.5243055555555556
RB,6166,0.621824480369515,0.6232638888888888
TE,4905,0.4412770809578107,0.4479166666666667
WR,9815,0.4542840713053479,0.45717592592592593
