position,promoted_for_2026,model23_MAE,model232_MAE,model23_RMSE,model232_RMSE,model23_correlation,model232_correlation
QB,TRUE,6.081912763841297,6.061696759924365,7.596404340713128,7.612579574567496,0.5496683908757005,0.5478495918832471
RB,FALSE,4.180560245051397,4.146267468224547,5.799371579252324,5.820836712329024,0.6307982814521234,0.6274340837016302
WR,FALSE,3.918635168745684,3.902500132195562,5.409057947041024,5.4341042650431035,0.574702900360504,0.5700368122807858
TE,TRUE,3.0332823933310054,3.0228955877076835,4.310310414895011,4.291456777549768,0.5229281491466214,0.5289449703134398
