position,feature,n,rookie_fppg_pearson,rookie_fppg_spearman,standardized_ridge_coefficient,raw_unit_slope,lambda
QB,age_at_draft_24,147,-0.3313823452837317,-0.3012457232184978,-0.44320646197291635,-0.4279165584859358,100
QB,early_declare_heuristic_24,147,0.11721596122157849,0.12034264210208193,-0.26836881198002965,-1.0622013653672242,100
QB,combine_height_in_24,136,0.034354339370318225,0.006450618399322305,0.2020156201621687,0.010189310833627459,100
QB,combine_weight_24,136,0.08183837522337177,0.040962995927062124,0.2294307451243777,0.0038929656187880607,100
QB,combine_forty_24,90,-0.2799030805525337,-0.25988438807643355,-0.356573931904372,-0.1513933181816339,100
QB,combine_vertical_24,93,0.1931500166780961,0.20972752795876873,0.27823721338709945,0.018053327168455542,100
QB,combine_broad_24,89,0.30457643699238846,0.27659527501946934,0.2739508210595092,0.00490799502553071,100
QB,combine_cone_24,79,-0.15519959094922206,-0.1973226159266438,-0.33215626654432123,-0.09330503047865278,100
QB,combine_shuttle_24,81,-0.05251090128835325,-0.08385784846784458,-0.1986824620575829,-0.09192846341027967,100
QB,combine_speed_score_24,90,0.3351373261673477,0.2997333216558535,-0.10919370588892231,-0.0025981829765696443,100
QB,combine_bmi_24,136,0.060798344889602486,0.1208711828833312,0.20186364459462408,0.02736978403983862,100
QB,combine_athleticism_z_24,100,0.25897703187769516,0.2611517546090055,0.30749546904043856,0.4829044412654841,100
QB,draft_round_24,147,-0.6154421266002942,-0.6111785655927428,-0.8975706793690215,-0.4113547845543491,100
QB,draft_overall_24,147,-0.6283502287764987,-0.6252702089647008,-0.9951642360758701,-0.011938185229496263,100
QB,draft_capital_log_24,147,0.6750117746628815,0.6252702089647008,1.5417251629335367,1.0104446263277127,100
QB,combine_missing_24,147,0.05276201695087732,0.038980442557093375,0.15404762963165528,0.327379815332827,100
RB,age_at_draft_24,297,-0.22794802757523183,-0.23234398121628083,0.018080296119058106,0.018818319791515332,10
RB,early_declare_heuristic_24,297,0.2128550796161819,0.16952998419206836,-0.03354164570533662,-0.09096789708714274,10
RB,combine_height_in_24,258,0.026447895702832607,0.05041718860599253,-0.8671259540617159,-0.036252096411722626,10
RB,combine_weight_24,259,0.11267542230623814,0.14965847127686976,0.5153887587670487,0.007088209273338775,10
RB,combine_forty_24,228,-0.16665902555010273,-0.08997026080840326,-0.16447494447550803,-0.08565460262334627,10
RB,combine_vertical_24,222,0.12725244405588584,0.12262321194546935,0.1486630264065941,0.00965699524611612,10
RB,combine_broad_24,210,0.15058693872288192,0.16048200019176642,0.3212068132803619,0.005804504942160501,10
RB,combine_cone_24,107,-0.16975029076424783,-0.13599139514763006,-0.37662826826155427,-0.11107945107096583,10
RB,combine_shuttle_24,119,-0.06873528029485959,-0.08955489952794536,0.4339288460889684,0.206881838400408,10
RB,combine_speed_score_24,227,0.2779762385821724,0.222441410384999,0.05700368090850037,0.001299028080516023,10
RB,combine_bmi_24,258,0.12846367367419684,0.13318745275409835,0.3221226506625141,0.03121989713850866,10
RB,combine_athleticism_z_24,240,0.26790310242301746,0.22875001673878645,0.2415750622072031,0.3613613672952482,10
RB,draft_round_24,297,-0.6132038754456249,-0.5988380518971848,0.012873280186010702,0.007177531961265729,10
RB,draft_overall_24,297,-0.6231996988154789,-0.6052545853592828,-0.46222113589402114,-0.006822383281515771,10
RB,draft_capital_log_24,297,0.668922390270771,0.6052545853592828,2.5024397396279805,3.3782203139448903,10
RB,combine_missing_24,297,-0.22995920648944398,-0.2819204613335828,-0.23774652929669837,-0.6026917091253212,10
WR,age_at_draft_24,412,-0.18009594983887223,-0.297027413065678,-0.6488359044438965,-0.1767026604689809,10
WR,early_declare_heuristic_24,412,0.2956503603286631,0.2993244965869488,0.34945364728555944,0.9827444974873184,10
WR,combine_height_in_24,367,0.030920074945690178,0.0102112130885101,0.27922197789176934,0.012268930713056937,10
WR,combine_weight_24,367,0.028847522652262845,0.002668399025363046,-0.0673238773894804,-0.001050303501488656,10
WR,combine_forty_24,328,-0.10867641543530504,-0.1277796635676793,1.052503880311743,0.5835270821542066,10
WR,combine_vertical_24,318,0.14913746500611988,0.16171004695880606,0.21804726732069227,0.014144704380976864,10
WR,combine_broad_24,315,0.07589086622174714,0.10514968299508286,-0.17870562414764207,-0.0033835274108781747,10
WR,combine_cone_24,196,-0.005995380680680603,-0.008769289918697198,-0.08845893098228609,-0.02547351452191218,10
WR,combine_shuttle_24,210,-0.10631037791339015,-0.08337601514760573,0.039839426439083586,0.01881363358258321,10
WR,combine_speed_score_24,326,0.1254214202726641,0.1238563291478397,-0.38220403664748154,-0.009176569379508519,10
WR,combine_bmi_24,367,0.0031850139846469256,0.0029610856273526924,-0.13025572630527965,-0.015430680481502368,10
WR,combine_athleticism_z_24,337,0.11713148692330012,0.1539111280628646,-0.04157136882497352,-0.06444370042263202,10
WR,draft_round_24,412,-0.5622662023430217,-0.5656661366338188,-0.22125317383568244,-0.10979691728871473,10
WR,draft_overall_24,412,-0.5649572263025422,-0.5730944380479904,-0.5049060039083847,-0.0066817403410604805,10
WR,draft_capital_log_24,412,0.5874234882778072,0.5730944380479904,1.5068279533314626,1.6562904954484814,10
WR,combine_missing_24,412,-0.093975451082818,-0.13423839789342631,0.5485369414780715,1.4125341775890523,10
TE,age_at_draft_24,194,-0.20747696977986904,-0.3233316677505108,-0.3752577374521052,-0.18701413331079256,10
TE,early_declare_heuristic_24,194,0.27718043415388616,0.2548612729884515,0.14656448135375905,0.4918270718947071,10
TE,combine_height_in_24,171,-0.10123073994611174,-0.05410487981307817,0.24779675773266352,0.009973430699346234,10
TE,combine_weight_24,171,-0.1274391294843634,-0.037610035749791236,-0.16947674766363188,-0.002080235670947059,10
TE,combine_forty_24,141,-0.2282148512602824,-0.1602979088698105,-0.18908077861738956,-0.08983060794065036,10
TE,combine_vertical_24,128,0.029132448535710457,0.022668467614334754,0.21399397171886905,0.013136925447159395,10
TE,combine_broad_24,123,0.10071702525104234,0.10551829293145688,-0.4332069385361371,-0.007526373248925006,10
TE,combine_cone_24,98,-0.24483534832142978,-0.21860262845453077,0.01863676131205261,0.005212336402179878,10
TE,combine_shuttle_24,104,-0.09346011770530031,-0.03957998030324019,-0.06174334835787539,-0.028351446013436678,10
TE,combine_speed_score_24,141,0.21060780615386715,0.17014412691876285,0.019007511910250983,4.092301288231876e-4,10
TE,combine_bmi_24,171,-0.04070962480742096,0.015416233172464584,0.34607407656160316,0.03541839144197836,10
TE,combine_athleticism_z_24,149,0.19392996827901804,0.15841425638592171,0.08570574020487379,0.1342435352886201,10
TE,draft_round_24,194,-0.5345506030102555,-0.5562624239786691,0.0885604760088336,0.04815779482814752,10
TE,draft_overall_24,194,-0.5494009086310724,-0.5703011698583411,-0.4975234673979405,-0.00719727918498454,10
TE,draft_capital_log_24,194,0.580869215471947,0.5703011698583411,0.9904183707679985,1.335190989050132,10
TE,combine_missing_24,194,-0.040718982463181154,-0.0815388399873149,-0.03953320796357933,-0.09342049958357004,10
