position,selected_model_weight,selected_recent_weight,validation_MAE,validation_RMSE
QB,0.8,0.19999999999999996,3.8064404286866296,4.800598517311004
RB,0.5,0.5,2.6142794131011673,3.3777049221246407
TE,0.5,0.5,1.5306728450428992,1.982141482581305
WR,0.8,0.19999999999999996,2.1355998498900917,2.688956009736484
