position,matchup_bucket_22,n,predicted_matchup_delta,actual_matchup_delta,actual_mean,predicted_mean,MAE
QB,Difficult,830,-2.9243880746698223,-1.5322508832778443,13.177084337349397,13.065456755395523,5.826176134139481
QB,Favorable,478,2.6856736976981037,0.36454189248005414,15.212050209205021,15.780001606340887,6.272517990619498
QB,Neutral,1316,-0.08606451630735161,-0.013586558298367647,13.778130699088146,13.621496077828542,6.183032010992965
RB,Difficult,1066,-2.4557452658862777,-1.1206138107568038,10.245422138836773,9.885238635871293,5.23004721192777
RB,Favorable,499,2.53365343253103,0.7105162636079982,11.086052104208417,11.529662790848578,5.947553383759758
RB,Neutral,4601,-0.4600866450758486,-0.3515353115341237,5.80529015431428,5.8123575302022585,3.728948481700921
TE,Difficult,403,-2.471853587274845,-1.0661836048759423,7.850620347394541,7.766868584022567,4.513360640671784
TE,Favorable,318,2.4462400506295725,1.438117127303517,7.40566037735849,7.536633985641176,4.105599234328202
TE,Neutral,4184,-0.134170010071985,0.05961543826293813,3.8354541108986617,3.7531784759150923,2.8104696925264783
WR,Difficult,871,-2.3525712722871885,-1.3725143542686564,9.005579793340988,9.25534642415763,5.242606265989895
WR,Favorable,611,2.370799873972921,0.1371343410403106,9.046350245499182,9.79945259414981,5.205207676415404
WR,Neutral,8333,-0.20592560311148336,-0.10880742456967347,5.392182887315493,5.387654396032507,3.690068785933682
