position,intercept,slope,residual_sd,n
QB,-1.2764860654965378,1.0011096546733786,4.815778948419273,237
RB,0.22086630849298639,1.5,3.5124371443119746,494
WR,0.15942760902858566,1.5,3.0438816271327322,790
TE,0.5795533058412221,1.5,2.1897014994837454,415
