position,cohort,mean_MAE_gain,p_improves,lower_90,upper_90
QB,Starter,0.018825128701792267,0.979,0.0029836529719521197,0.035720548517287995
QB,Relevant,0.002719263464987694,0.651,-0.008611418892717677,0.01412052322894719
RB,Starter,0.061893117503685806,1,0.034454387673653324,0.08936420454929493
RB,Relevant,0.09964444957000125,1,0.08539805271738184,0.11285457779463547
WR,Starter,0.07105395224588083,1,0.051347460245315085,0.0898729610516686
WR,Relevant,0.08612916805557314,1,0.07515736691192047,0.09653386050770445
TE,Starter,0.05671453108027472,0.99,0.016531881091897526,0.09679649687886428
TE,Relevant,0.07582055234934644,1,0.05540091319532646,0.09597583742164592
