season,week,game_id,defense,rushers5_rate,avg_pass_rushers,pressure_rate,man_rate,zone_rate,cover0_rate,cover1_rate,cover2_rate,cover3_rate,cover4_rate,cover6_rate
2025,1,2025_01_ARI_NO,ARI,0.0967741935483871,2.2688172043010755,0.13978494623655913,0.39215686274509803,0.6078431372549019,0,0,0,0,0,0
2025,1,2025_01_ARI_NO,NO,0.13580246913580246,2.1604938271604937,0.13580246913580246,0.4146341463414634,0.5853658536585366,0,0,0,0,0,0
2025,1,2025_01_BAL_BUF,BAL,0.09523809523809523,2.238095238095238,0.13333333333333333,0.40350877192982454,0.5964912280701754,0,0,0,0,0,0
2025,1,2025_01_BAL_BUF,BUF,0.14285714285714285,1.4714285714285715,0.1,0.4782608695652174,0.5217391304347826,0,0,0,0,0,0
2025,1,2025_01_CAR_JAX,CAR,0.10126582278481013,1.7721518987341771,0.06329113924050633,0.24242424242424243,0.7575757575757576,0,0,0,0,0,0
2025,1,2025_01_CAR_JAX,JAX,0.11842105263157894,2.3947368421052633,0.18421052631578946,0.3023255813953488,0.6976744186046512,0,0,0,0,0,0
2025,1,2025_01_CIN_CLE,CIN,0.03409090909090909,2.409090909090909,0.17045454545454544,0.37735849056603776,0.6226415094339622,0,0,0,0,0,0
2025,1,2025_01_CIN_CLE,CLE,0.08823529411764706,1.8088235294117647,0.16176470588235295,0.3793103448275862,0.6206896551724138,0,0,0,0,0,0
2025,1,2025_01_DAL_PHI,DAL,0.08,1.84,0.21333333333333335,0.12121212121212122,0.8787878787878788,0,0,0,0,0,0
2025,1,2025_01_DAL_PHI,PHI,0.06944444444444445,2.2083333333333335,0.18055555555555555,0.5128205128205128,0.48717948717948717,0,0,0,0,0,0
2025,1,2025_01_DET_GB,DET,0.18333333333333332,1.8333333333333333,0.1,0.4583333333333333,0.5416666666666666,0,0,0,0,0,0
2025,1,2025_01_DET_GB,GB,0.06172839506172839,2.2222222222222223,0.2345679012345679,0.11363636363636363,0.8863636363636364,0,0,0,0,0,0
2025,1,2025_01_HOU_LA,HOU,0.1780821917808219,2.041095890410959,0.1095890410958904,0.4411764705882353,0.5588235294117647,0,0,0,0,0,0
2025,1,2025_01_HOU_LA,LA,0.11842105263157894,2.1184210526315788,0.14473684210526316,0.47368421052631576,0.5263157894736842,0,0,0,0,0,0
2025,1,2025_01_KC_LAC,KC,0.189873417721519,2.481012658227848,0.16455696202531644,0.5348837209302325,0.46511627906976744,0,0,0,0,0,0
2025,1,2025_01_KC_LAC,LAC,0.11538461538461539,2.5,0.1794871794871795,0.375,0.625,0,0,0,0,0,0
2025,1,2025_01_LV_NE,LV,0.14444444444444443,2.611111111111111,0.13333333333333333,0.14814814814814814,0.8518518518518519,0,0,0,0,0,0
2025,1,2025_01_LV_NE,NE,0.189873417721519,2.1139240506329116,0.11392405063291139,0.48717948717948717,0.5128205128205128,0,0,0,0,0,0
2025,1,2025_01_MIA_IND,IND,0.19642857142857142,2.7857142857142856,0.14285714285714285,0.2972972972972973,0.7027027027027027,0,0,0,0,0,0
2025,1,2025_01_MIA_IND,MIA,0.20481927710843373,1.963855421686747,0.08433734939759036,0.3235294117647059,0.6764705882352942,0,0,0,0,0,0
2025,1,2025_01_MIN_CHI,CHI,0.0821917808219178,1.7808219178082192,0.2191780821917808,0.7333333333333333,0.26666666666666666,0,0,0,0,0,0
2025,1,2025_01_MIN_CHI,MIN,0.1797752808988764,2.2134831460674156,0.20224719101123595,0.15217391304347827,0.8478260869565217,0,0,0,0,0,0
2025,1,2025_01_NYG_WAS,NYG,0.1566265060240964,2.144578313253012,0.1686746987951807,0.5121951219512195,0.4878048780487805,0,0,0,0,0,0
2025,1,2025_01_NYG_WAS,WAS,0.19753086419753085,2.7777777777777777,0.2222222222222222,0.5490196078431373,0.45098039215686275,0,0,0,0,0,0
2025,1,2025_01_PIT_NYJ,NYJ,0.16216216216216217,2.1621621621621623,0.10810810810810811,0.5277777777777778,0.4722222222222222,0,0,0,0,0,0
2025,1,2025_01_PIT_NYJ,PIT,0.15,1.5375,0.1,0.3076923076923077,0.6923076923076923,0,0,0,0,0,0
2025,1,2025_01_SF_SEA,SEA,0.06741573033707865,1.9325842696629214,0.19101123595505617,0.42857142857142855,0.5714285714285714,0,0,0,0,0,0
2025,1,2025_01_SF_SEA,SF,0.09230769230769231,1.7384615384615385,0.12307692307692308,0.19230769230769232,0.8076923076923077,0,0,0,0,0,0
2025,1,2025_01_TB_ATL,ATL,0.19444444444444445,2.3194444444444446,0.19444444444444445,0.3684210526315789,0.631578947368421,0,0,0,0,0,0
2025,1,2025_01_TB_ATL,TB,0.16483516483516483,2.4725274725274726,0.18681318681318682,0.47058823529411764,0.5294117647058824,0,0,0,0,0,0
2025,1,2025_01_TEN_DEN,DEN,0.14473684210526316,2.1184210526315788,0.19736842105263158,0.5555555555555556,0.4444444444444444,0,0,0,0,0,0
2025,1,2025_01_TEN_DEN,TEN,0.12087912087912088,2.241758241758242,0.06593406593406594,0.2708333333333333,0.7291666666666666,0,0,0,0,0,0
2025,2,2025_02_ATL_MIN,ATL,0.19047619047619047,2.0952380952380953,0.20634920634920634,0.5333333333333333,0.4666666666666667,0,0,0,0,0,0
2025,2,2025_02_ATL_MIN,MIN,0.10975609756097561,1.3902439024390243,0.0975609756097561,0.23076923076923078,0.7692307692307693,0,0,0,0,0,0
2025,2,2025_02_BUF_NYJ,BUF,0.09375,1.921875,0.203125,0.1935483870967742,0.8064516129032258,0,0,0,0,0,0
2025,2,2025_02_BUF_NYJ,NYJ,0.08045977011494253,1.6091954022988506,0.08045977011494253,0.4411764705882353,0.5588235294117647,0,0,0,0,0,0
2025,2,2025_02_CAR_ARI,ARI,0.08080808080808081,2.707070707070707,0.1414141414141414,0.23076923076923078,0.7692307692307693,0,0,0,0,0,0
2025,2,2025_02_CAR_ARI,CAR,0.14925373134328357,2.1940298507462686,0.08955223880597014,0.14705882352941177,0.8529411764705882,0,0,0,0,0,0
2025,2,2025_02_CHI_DET,CHI,0.05333333333333334,1.6533333333333333,0.08,0.4666666666666667,0.5333333333333333,0,0,0,0,0,0
2025,2,2025_02_CHI_DET,DET,0.13953488372093023,2.186046511627907,0.13953488372093023,0.4318181818181818,0.5681818181818182,0,0,0,0,0,0
2025,2,2025_02_CLE_BAL,BAL,0.09782608695652174,2.3369565217391304,0.22826086956521738,0.3076923076923077,0.6923076923076923,0,0,0,0,0,0
2025,2,2025_02_CLE_BAL,CLE,0.17333333333333334,2.1333333333333333,0.2,0.5277777777777778,0.4722222222222222,0,0,0,0,0,0
2025,2,2025_02_DEN_IND,DEN,0.3176470588235294,2.2941176470588234,0.15294117647058825,0.675,0.325,0,0,0,0,0,0
2025,2,2025_02_DEN_IND,IND,0.13333333333333333,2.1066666666666665,0.09333333333333334,0.3611111111111111,0.6388888888888888,0,0,0,0,0,0
2025,2,2025_02_JAX_CIN,CIN,0.047058823529411764,2.1058823529411765,0.10588235294117647,0.26666666666666666,0.7333333333333333,0,0,0,0,0,0
2025,2,2025_02_JAX_CIN,JAX,0.18072289156626506,2.6867469879518073,0.2289156626506024,0.3137254901960784,0.6862745098039216,0,0,0,0,0,0
