season,week,game_id,defense,blitz_rate_direct,avg_box
2023,1,2023_01_ARI_WAS,ARI,0.11494252873563218,4.149425287356322
2023,1,2023_01_ARI_WAS,WAS,0.13157894736842105,4.868421052631579
2023,1,2023_01_BUF_NYJ,BUF,0.07246376811594203,5.0144927536231885
2023,1,2023_01_BUF_NYJ,NYJ,0.09523809523809523,4.404761904761905
2023,1,2023_01_CAR_ATL,ATL,0.10989010989010989,4.9010989010989015
2023,1,2023_01_CAR_ATL,CAR,0.1044776119402985,4.8059701492537314
2023,1,2023_01_CIN_CLE,CIN,0.17045454545454544,5.238636363636363
2023,1,2023_01_CIN_CLE,CLE,0.15789473684210525,4.355263157894737
2023,1,2023_01_DAL_NYG,DAL,0.14285714285714285,5.4523809523809526
2023,1,2023_01_DAL_NYG,NYG,0.18571428571428572,5.442857142857143
2023,1,2023_01_DET_KC,DET,0.17721518987341772,4.822784810126582
2023,1,2023_01_DET_KC,KC,0.18604651162790697,4.872093023255814
2023,1,2023_01_GB_CHI,CHI,0.08974358974358974,4.9743589743589745
2023,1,2023_01_GB_CHI,GB,0.1348314606741573,4.044943820224719
2023,1,2023_01_HOU_BAL,BAL,0.14285714285714285,5.274725274725275
2023,1,2023_01_HOU_BAL,HOU,0.08860759493670886,5.367088607594937
2023,1,2023_01_JAX_IND,IND,0.03571428571428571,4.821428571428571
2023,1,2023_01_JAX_IND,JAX,0.11494252873563218,4.528735632183908
2023,1,2023_01_LA_SEA,LA,0.09090909090909091,4.348484848484849
2023,1,2023_01_LA_SEA,SEA,0.12371134020618557,5.360824742268041
2023,1,2023_01_LV_DEN,DEN,0.2318840579710145,5.231884057971015
2023,1,2023_01_LV_DEN,LV,0.11842105263157894,4.868421052631579
2023,1,2023_01_MIA_LAC,LAC,0.1927710843373494,4.759036144578313
2023,1,2023_01_MIA_LAC,MIA,0.15306122448979592,5.020408163265306
2023,1,2023_01_PHI_NE,NE,0.1111111111111111,4.728395061728395
2023,1,2023_01_PHI_NE,PHI,0.14583333333333334,4.90625
2023,1,2023_01_SF_PIT,PIT,0.047619047619047616,5.130952380952381
2023,1,2023_01_SF_PIT,SF,0.12658227848101267,5.1645569620253164
2023,1,2023_01_TB_MIN,MIN,0.2235294117647059,4.564705882352941
2023,1,2023_01_TB_MIN,TB,0.26582278481012656,4.89873417721519
2023,1,2023_01_TEN_NO,NO,0.125,4.7375
2023,1,2023_01_TEN_NO,TEN,0.04878048780487805,4.682926829268292
2023,2,2023_02_BAL_CIN,BAL,0.16666666666666666,5.222222222222222
2023,2,2023_02_BAL_CIN,CIN,0.12359550561797752,5.404494382022472
2023,2,2023_02_CHI_TB,CHI,0.06896551724137931,4.781609195402299
2023,2,2023_02_CHI_TB,TB,0.11764705882352941,4.617647058823529
2023,2,2023_02_CLE_PIT,CLE,0.0821917808219178,4.47945205479452
2023,2,2023_02_CLE_PIT,PIT,0.10679611650485436,5.339805825242719
2023,2,2023_02_GB_ATL,ATL,0.14705882352941177,4.4411764705882355
2023,2,2023_02_GB_ATL,GB,0.052083333333333336,5.25
2023,2,2023_02_IND_HOU,HOU,0.13513513513513514,4.635135135135135
2023,2,2023_02_IND_HOU,IND,0.07920792079207921,4.445544554455446
2023,2,2023_02_KC_JAX,JAX,0.1125,3.9
2023,2,2023_02_KC_JAX,KC,0.15853658536585366,3.9146341463414633
2023,2,2023_02_LAC_TEN,LAC,0.14457831325301204,4.891566265060241
2023,2,2023_02_LAC_TEN,TEN,0.13253012048192772,4.710843373493976
