season,week,player_id,ngs_rush_yoe_pa,ngs_box_rate,ngs_time_to_los
2025,1,00-0036158,0.6300781898520742,43.75,2.7167999999999997
2025,1,00-0033906,0.34228329406710856,18.181818181818183,2.4947777777777778
2025,1,00-0036973,4.24444363879322,18.75,2.6640625
2025,1,00-0035700,0.20401825964874043,42.10526315789473,2.9571764705882346
2025,1,00-0040122,-1.2031004239950986,21.052631578947366,2.9894615384615384
2025,1,00-0038134,-2.135565115794031,20,2.842428571428571
2025,1,00-0040179,-0.22733374879531412,16.666666666666664,2.648454545454545
2025,1,00-0039165,-0.058830178562313436,25,3.1112727272727274
2025,1,00-0039361,-0.3003105396624925,21.428571428571427,2.6693846153846157
2025,1,00-0036275,-1.3251756549610283,5.88235294117647,2.8208
2025,1,00-0033280,-1.2063345874661793,9.090909090909092,2.514777777777778
2025,1,00-0032764,3.010082769632047,16.666666666666664,2.8595333333333333
2025,1,00-0039384,-1.1105401552311753,10,2.9707500000000002
2025,1,00-0034844,0.43506605624674083,66.66666666666666,3.1942857142857144
2025,1,00-0036223,-1.1071003715924985,16.666666666666664,2.6069375
2025,1,00-0037248,-0.2285058998192157,30.76923076923077,2.65925
2025,1,00-0037228,-0.6527054541055293,9.090909090909092,2.9181818181818184
2025,1,00-0037263,-0.8213186298038494,30,2.536375
2025,1,00-0038120,1.309206456481465,31.57894736842105,2.75364705882353
2025,1,00-0036997,0.14706059795854382,26.666666666666668,2.5587142857142853
2025,1,00-0038597,-0.45048057989190293,33.33333333333333,2.7383125
2025,1,00-0035685,-1.0484501979584644,9.090909090909092,2.6442222222222225
2025,1,00-0040666,-1.6659330834727626,20,2.780416666666667
2025,1,00-0035261,-0.3642462241841302,16.666666666666664,2.830058823529412
2025,1,00-0034791,0.8316300085691549,15.384615384615385,2.547846153846154
2025,1,00-0040242,4.164245596413168,10,2.791555555555556
2025,1,00-0036555,-0.06379896387244122,0,2.6497499999999996
2025,1,00-0037525,0.8410763802527015,20,2.8519166666666664
2025,1,00-0033553,0.156092428488351,25,2.8308181818181817
2025,1,00-0040162,-1.0338052964617692,0,3.0104545454545457
2025,1,00-0037840,-0.2757366581794653,22.22222222222222,2.7076111111111114
2025,1,00-0038542,-1.2466536251347529,25,2.8334
2025,2,00-0037256,2.367018219534254,40,2.4858000000000002
2025,2,00-0038120,-1.5333951403158352,20,2.7203749999999998
2025,2,00-0037263,0.9755979922735913,31.25,2.597785714285714
2025,2,00-0036875,1.6613150984667326,36.36363636363637,2.5275000000000003
2025,2,00-0039040,-2.05677658148543,0,2.906111111111111
2025,2,00-0039165,-2.738807797828376,53.333333333333336,3.1906363636363637
2025,2,00-0037840,0.017450415480345427,35.294117647058826,2.7884375
2025,2,00-0039139,1.308432376335574,16.666666666666664,3.1284
2025,2,00-0037197,-1.5715487441435805,0,2.797375
2025,2,00-0038134,2.7450427726684214,61.53846153846154,3.0794615384615387
2025,2,00-0039361,-0.009190654303317976,23.52941176470588,2.8876249999999994
2025,2,00-0040122,-2.2139707339238583,18.181818181818183,2.6747000000000005
2025,2,00-0037248,1.8257091460643484,33.33333333333333,2.4621500000000003
2025,2,00-0034791,0.870604465115079,50,2.8207777777777783
2025,2,00-0036973,-0.29274881037405553,0,2.807923076923077
2025,2,00-0038597,-0.9775660640882191,0,2.5404
2025,2,00-0033280,-0.3524621867559689,30.76923076923077,2.903454545454545
2025,2,00-0035261,0.4789705981089682,5,2.7142000000000004
2025,2,00-0037228,0.5573981182017452,28.57142857142857,2.6907857142857146
2025,2,00-0036223,2.2392246900743453,24,2.6213333333333333
2025,2,00-0033906,-0.24385529014783797,0,2.4824736842105266
2025,2,00-0040715,0.34485089859614637,18.181818181818183,2.7221818181818183
2025,2,00-0036997,1.5866365163542904,16.666666666666664,3.0883529411764705
2025,2,00-0032764,-0.6157237693019759,54.54545454545454,2.980777777777778
2025,2,00-0036275,1.085925074306374,25,3.3345833333333332
2025,2,00-0034844,-0.8167854398865935,13.636363636363635,3.007473684210526
2025,2,00-0038542,1.5999760144265096,4.545454545454546,2.9182380952380953
2025,2,00-0033553,-0.9070435854237076,27.27272727272727,2.8001
2025,2,00-0035685,1.5490013402798626,54.54545454545454,2.6657
2025,2,00-0036158,0.21504592431716565,35.714285714285715,2.6228181818181815
2025,2,00-0035700,-1.5010944114388207,17.391304347826086,2.5822272727272724
2025,2,00-0036555,-0.6173135496237897,10,2.4763333333333333
2025,2,00-0040784,2.238141778306094,10,3.257222222222222
2025,3,00-0037228,-0.917486632338386,22.22222222222222,2.749769230769231
2025,3,00-0040666,0.29170317490166336,31.57894736842105,2.827823529411765
2025,3,00-0035685,8.642955405977071,41.66666666666667,2.4995454545454545
2025,3,00-0039361,-1.658973501282496,20,2.7161999999999997
2025,3,00-0038542,0.946232442500129,0,3.004
2025,3,00-0040122,0.3695737795820302,0,2.963466666666667
2025,3,00-0039040,-0.04187249446913436,16.666666666666664,2.737916666666667
2025,3,00-0036223,1.431497353169335,5.88235294117647,2.686117647058824
2025,3,00-0039299,-0.07901866221457646,30,2.6377777777777776
2025,3,00-0037525,3.1042356505173796,0,2.636625
2025,3,00-0034844,-0.6310404108718318,11.11111111111111,3.02525
2025,3,00-0040715,1.786523010058776,10,2.574625
2025,3,00-0033923,0.23291937606302965,30,2.5435
2025,3,00-0036555,0.1468216613580573,41.17647058823529,2.6107500000000003
2025,3,00-0036275,-0.9431164508489379,23.076923076923077,2.859090909090909
2025,3,00-0039139,-0.9151092521483858,27.27272727272727,2.8439500000000004
2025,3,00-0037840,0.7607553163340599,20,2.4026842105263153
2025,3,00-0035261,-0.247777899494928,12.5,2.6503571428571426
2025,3,00-0039921,0.8364388222491179,20,2.6373749999999996
2025,3,00-0038611,-0.2570262275323914,63.63636363636363,2.7451999999999996
2025,3,00-0036139,-2.4789567095913663,40,2.8676250000000003
2025,3,00-0040734,-3.1971010112746,18.181818181818183,2.905727272727273
2025,3,00-0036973,-1.0450120161592242,25,2.6723333333333334
2025,3,00-0032764,0.9996003740156432,58.333333333333336,2.659727272727273
2025,3,00-0033906,-1.4121194890263824,11.11111111111111,2.4598
2025,3,00-0037197,0.15108026781324496,0,2.680444444444445
2025,3,00-0040784,1.8892225276575476,38.88888888888889,2.441941176470588
2025,3,00-0036158,3.0715099251155222,36.36363636363637,3.0786666666666664
2025,3,00-0036997,2.585710266530884,10,2.9883999999999995
2025,3,00-0035700,-1.5820924073018534,25,2.6864285714285714
2025,3,00-0038134,-0.9413068234345228,31.25,2.8685000000000005
2025,3,00-0033280,-0.7402982673707821,23.52941176470588,2.614666666666667
2025,3,00-0037248,2.3265665208905024,26.31578947368421,2.6472631578947365
2025,3,00-0038597,-2.2604986461929357,20,2.6651666666666673
2025,4,00-0040784,-0.561772070142667,52.38095238095239,2.9460952380952383
2025,4,00-0040122,2.2474106741673574,4.761904761904762,2.8951874999999996
2025,4,00-0036555,-0.34599483394079156,10,3.006700000000001
2025,4,00-0033906,-0.8634141684160785,0,2.8085384615384617
2025,4,00-0037248,0.5235513579893004,13.636363636363635,2.651666666666667
2025,4,00-0035700,1.1123731351950967,9.090909090909092,2.6495263157894735
2025,4,00-0038551,0.3292054755575776,18.181818181818183,2.8280000000000003
2025,4,00-0037840,0.8031869323964418,0,2.580833333333333
2025,4,00-0039040,0.9883173670120928,20,3.030578947368421
2025,4,00-0035261,0.02450874406379303,28.57142857142857,2.4683333333333333
2025,4,00-0036973,2.0019339778371776,5.263157894736842,2.7700625000000003
2025,4,00-0040666,7.660322580498851,8.333333333333332,3.350727272727273
2025,4,00-0037263,-0.5188811255943833,12.5,3.239000000000001
2025,4,00-0033280,-2.3924744725940683,11.76470588235294,2.7471333333333323
2025,4,00-0040730,0.658218425191889,28.57142857142857,3.329428571428571
2025,4,00-0040583,1.2510557813779732,23.52941176470588,2.785357142857143
2025,4,00-0037525,-0.057305652451245415,18.75,2.9341428571428567
2025,4,00-0036997,-0.08841336273158049,35,2.8415789473684208
2025,4,00-0033923,-0.4850216442521456,23.076923076923077,2.514153846153846
