season,week,player_id,ngs_separation,ngs_cushion,ngs_yac_oe,ngs_air_yard_share
2024,1,00-0036244,4.14193343500243,10.06,1.375437392414069,3.9415562351342164
2024,1,00-0038117,3.628257198628011,9.16111111111111,-0.7655429267024598,34.238906240792026
2024,1,00-0038977,2.5935666288284542,8.961428571428572,1.139903772726393,44.8425667596652
2024,1,00-0039890,3.1592405100156085,8.469999999999999,-1.797615656317575,27.471510198869986
2024,1,00-0036252,1.94633571424654,8.1525,0.5290487534699988,24.189995850225042
2024,1,00-0037545,3.589928980778211,8.1425,1.0396273230501016,41.66593367930335
2024,1,00-0038544,3.304888481566588,7.94,0.36962645032890684,30.09333571131325
2024,1,00-0037816,2.430808612098047,7.852857142857142,1.3410757985333683,23.024298183533855
2024,1,00-0031544,2.6250042091372023,7.768888888888889,0.6121809103828397,46.518793996546684
2024,1,00-0036407,2.1796587512919134,7.714285714285714,0.027241476502226192,31.329525833444016
2024,1,00-0031588,3.645639894928133,7.69,0.21743771266796186,3.7943403746512554
2024,1,00-0038124,2.407059398757008,7.580000000000001,-0.15147375338158275,21.733562497893715
2024,1,00-0034407,3.011694447054063,7.526666666666666,-0.15596434163686013,45.43518764972052
2024,1,00-0036912,3.5814769114344127,7.4487499999999995,2.2826552824828283,27.478765817299365
2024,1,00-0037838,5.008181460874578,7.369090909090909,2.8232787426356687,39.2793795430042
2024,1,00-0039146,5.316873520594945,7.356,6.836887895112639,34.07474808748695
2024,1,00-0036980,4.180084979905732,7.166666666666667,-0.9621158413370263,5.990171337495018
2024,1,00-0039342,1.7572359421222856,7.132857142857143,-0.4166140884928504,35.325703415053226
2024,1,00-0039064,4.1672963512301235,7.088571428571428,-0.22945012082915728,20.074427016311336
2024,1,00-0037247,2.66589238784871,7.03,-1.3989910013556102,75.17132729421033
2024,1,00-0033908,3.1459456045309095,6.991578947368422,-0.7138352120190619,53.25857968059802
2024,1,00-0038619,2.3550492763023674,6.914999999999999,-1.7046854445115662,29.365275376636195
2024,1,00-0037744,2.7613091142028443,6.85875,-0.7153729078243544,40.794341675734486
2024,1,00-0031236,4.268855194542746,6.8514285714285705,-2.123590234175686,32.50404279139196
2024,1,00-0033921,3.7812065942790616,6.740000000000001,2.0859000328706987,23.456542118655413
2024,1,00-0034351,5.420265708301519,6.625,-0.5043556915713907,2.1754203501473386
2024,1,00-0033885,5.954396829513489,6.535,2.301507288875843,4.879798113959358
2024,1,00-0034837,2.3440804279150753,6.467142857142856,0.8613207898463413,69.37229940064118
2024,1,00-0031381,4.394798484060066,6.463333333333334,1.0744566401166793,43.56667139010913
2024,1,00-0037740,4.30489637911961,6.4290909090909105,0.3281464515999559,47.190613760981066
2024,1,00-0033009,2.38385434224624,6.338,-1.004406301066588,17.567253635645592
2024,1,00-0036554,1.8682709708877587,6.3062499999999995,1.2917291713058532,50.45436428856117
2024,1,00-0030279,2.7100130910263527,6.27,-0.5607716928645736,53.63366292732674
2024,1,00-0039424,4.350083257645863,6.255714285714286,-0.46400180781578637,6.419801208341452
2024,1,00-0035676,2.0261445675719427,6.239,8.24751345642001,48.275264343907104
2024,1,00-0035719,1.8441731413139095,6.116250000000001,3.487140309216896,22.77256527747473
2024,1,00-0035500,2.961068881132821,6.094285714285713,-0.10918475829785379,32.07290533188248
2024,1,00-0036900,4.429102123186631,6.034000000000001,1.8165767571043396,23.59224499876512
2024,1,00-0039062,3.3190880643569116,5.7299999999999995,-0.14416327060317258,11.69954895523304
2024,1,00-0034348,2.482587983933129,5.708333333333333,-1.8063901573096448,62.393295653868655
2024,1,00-0038041,4.076531360884603,5.65,2.2676024448949845,12.824978231123277
2024,1,00-0036963,2.5816172505926915,5.614,-0.08864582776993046,14.423685877137427
2024,1,00-0033943,2.1473220286968018,5.585000000000001,0.4052245994727386,26.13135840966674
2024,1,00-0039067,3.290941418378036,5.521428571428571,4.191837068922966,28.079672426955366
2024,1,00-0039337,3.8539147069224233,5.421666666666667,0.34248759166184684,27.326300901644178
2024,1,00-0032211,3.5678114816017517,5.421428571428572,-1.6722768751302441,44.292754395311675
2024,1,00-0037240,3.6456474210915246,5.417777777777778,2.3156953191977436,68.39772007599747
2024,1,00-0031408,2.257651688219459,5.383333333333333,-0.5024686117067161,53.48198741127628
2024,1,00-0039915,3.030219126268453,5.372857142857143,0.294061264641333,25.747577432970704
2024,1,00-0033040,3.696642852625381,5.246666666666667,4.980366189164639,64.84685807410249
2024,1,00-0039338,3.746331222213984,5.114,-0.11408270987869784,26.378064333286105
2024,1,00-0036322,3.076438790939379,5.078333333333333,-0.21278500454815763,33.340586411358316
2024,1,00-0036345,2.1715029917468756,4.958,0.0791391450180563,16.74755751654585
2024,1,00-0034521,1.6388158512053017,4.925555555555556,0.698241949781357,54.13595896468368
2024,1,00-0039901,2.66302342894287,4.834,-0.32818889178787725,28.870977516514152
2024,1,00-0034827,2.34225899776826,4.74,-1.9764220902623908,23.79727752405445
2024,1,00-0036259,3.195031926051777,4.695,-0.21870540557224571,20.27420176012801
2024,1,00-0036427,2.6686185391090094,4.274285714285714,11.654443083446983,12.640163098878693
2024,1,00-0039065,3.642335615657062,4.24,1.4725838524139299,19.57990289212582
2024,1,00-0033288,4.295388100281359,4.157500000000001,0.9256537052964244,9.00429122117972
2024,1,00-0036613,2.873320552964898,3.7560000000000002,1.0087215398452738,32.44020514786944
2024,1,00-0032775,2.522201983637937,3.7514285714285713,-0.5477062608442917,27.635066258919466
2024,1,00-0036358,1.565372413775982,3.5344444444444445,5.615028372956589,41.46452709706846
2024,1,00-0035216,2.5754164872888805,3.431666666666667,-0.31311620386996086,16.45853149642539
2024,1,00-0036261,1.6384376761035835,3.2980000000000005,-0.48247247778060753,26.634664339224674
2024,1,00-0036550,3.1320878126844365,2.492,1.5490057227343783,41.92258199144436
2024,2,00-0036290,4.2178875567533165,10.483333333333334,-0.990370621591536,16.848125397161624
2024,2,00-0033858,3.851367008830927,9.087499999999999,0.9568566101052234,10.87858560346383
2024,2,00-0038547,3.338106852843612,8.855,-0.3217372297315402,3.916320566066757
2024,2,00-0037238,3.2959648093489755,8.55,-0.3927707753856289,21.214882910013078
2024,2,00-0036912,1.8314924925425273,8.405555555555555,-1.3211292909947963,62.484375
2024,2,00-0037240,2.1692164619040684,8.390909090909092,0.8718273196433532,34.63275803545784
2024,2,00-0034407,2.37106468333591,8.175,2.5462996988531454,25.082220549193647
2024,2,00-0036980,2.5426416702269865,8.115714285714287,0.2246529561492494,16.25942105515818
2024,2,00-0037239,2.438232301783638,8.053333333333333,-0.1291117173594163,57.16454159077109
2024,2,00-0039338,4.028900743893497,8.01625,-1.0492789628057357,25.242250186346293
2024,2,00-0039064,4.579558713782421,7.927777777777777,0.3181317245840267,39.78184377199157
