season,week,player_id,ngs_cpoe,ngs_air_yards,ngs_time_to_throw,ngs_aggressiveness
2025,1,00-0040676,-9.893571428571427,10.901200000000003,2.8931428571428564,21.428571428571427
2025,1,00-0037834,11.957714285714296,7.474705882352939,3.0503714285714287,14.285714285714285
2025,1,00-0034855,-3.328437500000007,10.207,2.949468749999999,18.75
2025,1,00-0026158,2.833999999999989,5.142619047619046,2.8020666666666663,4.444444444444445
2025,1,00-0033873,-7.863076923076925,6.9586842105263145,2.3785,5.128205128205128
2025,1,00-0033106,8.287692307692296,4.45578947368421,3.0907948717948712,15.384615384615385
2025,1,00-0039923,-1.9745000000000061,8.6945,2.9396,10
2025,1,00-0039150,-13.501142857142874,8.529999999999998,2.6588000000000003,5.714285714285714
2025,1,00-0039910,-1.7793333333333266,9.354482758620689,2.733066666666667,10
2025,1,00-0039163,-0.9111111111111398,6.253333333333335,2.646333333333333,7.4074074074074066
2025,1,00-0036945,8.5,7.824285714285715,3.5310454545454544,18.181818181818183
2025,1,00-0034857,3.625434782608693,9.397555555555554,2.982733333333333,6.521739130434782
2025,1,00-0035228,-2.450000000000017,5.462068965517241,2.4809999999999994,10.344827586206897
2025,1,00-0034869,5.912173913043468,8.276363636363634,2.5970909090909093,13.043478260869565
2025,1,00-0039732,-0.45599999999998886,6.033783783783784,2.82785,10
2025,1,00-0039376,2.908043478260865,7.209512195121952,2.524522727272727,30.434782608695656
2025,1,00-0026498,7.268275862068961,7.781428571428571,2.418103448275862,10.344827586206897
2025,1,00-0039918,-13.609999999999985,7.602647058823528,3.046571428571428,5.714285714285714
2025,1,00-0034796,0.2510526315789434,9.05,2.696157894736842,15.789473684210526
2025,1,00-0036264,6.365909090909099,10.06545454545455,2.8421818181818184,18.181818181818183
2025,1,00-0039851,1.7519565217391175,7.993999999999999,2.8047826086956524,21.73913043478261
2025,1,00-0036212,-7.56217391304348,6.88608695652174,2.6399565217391303,13.043478260869565
2025,1,00-0023459,5.272333333333336,4.31,2.4343999999999997,20
2025,1,00-0039917,-7.142857142810044e-4,7.328095238095237,2.5588333333333333,26.190476190476193
2025,1,00-0036389,15.15304347826087,4.511500000000001,3.1711739130434777,4.3478260869565215
2025,1,00-0036355,3.173823529411777,9.569117647058825,2.879205882352941,14.705882352941178
2025,1,00-0030565,8.708823529411767,10.576666666666666,2.78669696969697,17.647058823529413
2025,1,00-0036971,-7.6193548387096754,7.18448275862069,2.742499999999999,9.67741935483871
2025,1,00-0033077,4.551470588235297,10.182121212121212,2.9506666666666668,26.47058823529412
2025,1,00-0036442,-6.725217391304355,7.458695652173914,2.7560869565217394,21.73913043478261
2025,1,00-0035710,6.91241379310344,6.746896551724136,2.5195517241379304,17.24137931034483
2025,1,00-0029263,-11.987567567567574,5.811875000000001,2.6889189189189193,18.91891891891892
2025,2,00-0036389,3.6704545454545467,6.6657142857142855,2.692727272727273,22.727272727272727
2025,2,00-0026158,-1.1280000000000001,6.706842105263158,2.8713555555555565,15.555555555555555
2025,2,00-0035710,14.95000000000001,9.853636363636362,2.7597058823529417,29.411764705882355
2025,2,00-0023459,-3.8375757575757845,7.181379310344827,2.872818181818182,15.151515151515152
2025,2,00-0039163,-2.870416666666685,8.640869565217391,3.1538749999999998,16.666666666666664
2025,2,00-0039376,3.5379411764705964,7.2023529411764695,2.6703529411764704,17.647058823529413
2025,2,00-0034869,0.8321212121211943,8.538000000000002,2.710878787878788,6.0606060606060606
2025,2,00-0035228,-3.4868000000000023,7.512800000000002,2.6326799999999997,12
2025,2,00-0036971,-8.007380952380956,8.002926829268297,2.680833333333333,14.285714285714285
2025,2,00-0039918,-3.135333333333321,9.376000000000001,3.1629666666666667,16.666666666666664
2025,2,00-0036355,-3.7351851851851876,9.337037037037035,2.9532222222222226,11.11111111111111
2025,2,00-0034857,-10.090399999999995,5.212173913043478,2.9375199999999997,12
2025,2,00-0036212,12.828124999999986,7.793437500000001,2.564812500000001,12.5
2025,2,00-0026498,9.451515151515153,8.427187500000002,2.669909090909091,21.21212121212121
2025,2,00-0036972,-1.8012820512820724,6.5181578947368415,2.8105526315789477,15.384615384615385
